rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,numSeats,numCands
7,3,2,5,4,8,1,9,6,11,10,1.0,11.0
11,4,7,8,3,10,1,9,2,6,5,,
3,4,3,3,11,11,2,11,1,11,11,,
11,11,11,11,11,11,11,11,11,11,11,,
4,7,5,6,11,10,1,8,2,3,9,,
1,10,3,2,11,6,9,8,4,7,5,,
3,5,7,6,11,10,4,10,1,2,10,,
2,11,11,11,11,11,11,11,1,11,11,,
11,11,11,11,11,11,1,11,2,3,11,,
11,11,11,11,11,11,1,3,2,11,11,,
2,1,4,3,11,8,5,7,6,10,9,,
11,11,11,11,11,1,2,11,11,11,11,,
5,9,4,6,11,7,2,3,1,10,8,,
11,11,11,11,11,11,1,4,2,3,5,,
3,11,9,9,10,9,1,9,2,5,9,,
11,1,11,11,11,11,2,11,11,3,11,,
2,4,10,5,6,7,1,8,9,11,3,,
11,2,11,11,11,11,1,11,3,11,11,,
11,11,11,4,11,3,1,2,5,11,11,,
11,4,9,8,6,7,1,10,3,2,5,,
11,2,3,11,11,11,1,7,4,1,5,,
10,6,8,3,1,7,2,4,9,11,5,,
11,2,11,11,11,11,1,11,11,4,3,,
11,11,11,11,11,11,11,11,1,11,11,,
9,8,10,7,11,6,1,4,2,3,5,,
2,11,11,4,11,11,3,11,1,11,11,,
4,2,11,1,11,11,1,11,11,3,11,,
11,6,1,11,11,5,3,11,2,11,4,,
11,11,11,11,11,11,1,11,2,3,11,,
11,10,2,11,11,11,3,11,1,9,11,,
8,5,4,6,11,10,1,8,2,3,9,,
5,8,2,3,10,7,11,6,1,9,4,,
4,11,11,11,11,11,2,11,1,11,11,,
10,10,3,10,11,7,1,10,2,5,4,,
4,1,2,3,10,9,5,11,6,7,8,,
3,4,8,9,11,7,1,5,2,10,6,,
