rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,numSeats,numCands
10,1,5,9,6,7,3,4,8,2,1.0,10.0
4,3,7,9,6,2,2,10,8,5,,
8,1,6,10,7,9,4,3,5,2,,
9,7,8,10,3,2,6,1,5,4,,
4,9,10,5,8,3,1,7,6,2,,
6,9,4,10,1,3,5,7,8,2,,
8,2,10,4,5,6,1,7,3,9,,
8,6,5,10,1,4,2,7,9,3,,
2,1,1,4,6,6,1,8,10,5,,
6,4,10,10,10,10,3,1,2,5,,
7,3,6,10,4,5,2,8,9,1,,
2,8,3,4,10,1,6,5,9,7,,
9,8,4,10,3,1,5,2,7,6,,
7,4,10,9,5,3,1,6,8,2,,
9,10,7,3,1,4,8,2,6,5,,
5,2,7,8,10,10,6,1,3,4,,
7,4,10,9,5,1,3,6,8,2,,
5,8,4,9,7,2,3,6,10,1,,
7,4,5,8,5,10,2,3,9,4,,
8,2,10,6,7,4,1,5,9,3,,
10,10,10,10,10,10,10,10,10,10,,
6,10,8,9,5,7,3,4,1,2,,
4,5,7,8,1,9,3,10,2,6,,
4,1,9,10,7,8,5,6,2,3,,
3,10,6,7,5,2,9,1,8,4,,
8,3,5,10,9,2,4,7,6,1,,
4,7,9,10,8,3,2,5,6,1,,
10,1,8,9,5,2,4,7,6,3,,
1,2,6,5,7,9,4,8,10,3,,
3,8,1,6,9,5,2,4,10,7,,
5,1,10,3,9,6,8,2,7,4,,
9,5,4,10,8,6,3,2,7,1,,
1,7,10,9,4,6,2,5,8,3,,
5,4,7,8,9,9,3,2,2,1,,
10,1,9,7,8,2,5,3,4,6,,
7,8,5,10,1,4,2,9,6,3,,
3,1,10,6,9,5,2,7,8,4,,
8,7,9,6,4,3,2,5,10,1,,
1,10,10,3,10,4,10,4,4,2,,
8,3,7,6,9,2,5,4,10,1,,
3,8,2,7,5,6,4,9,10,1,,
4,9,6,7,8,10,5,2,3,1,,
10,9,1,10,10,9,7,3,2,4,,
6,4,10,9,7,8,2,3,5,1,,
10,2,3,10,1,4,6,10,7,5,,
8,1,6,10,5,7,2,9,3,4,,
2,8,10,7,5,9,4,3,7,1,,
9,3,6,8,10,1,5,7,4,2,,
5,1,8,6,2,7,4,10,9,3,,
8,6,4,10,9,7,2,1,5,3,,
8,3,5,10,9,6,1,4,7,2,,
6,2,9,10,1,8,3,4,7,5,,
7,8,5,10,1,3,2,4,9,6,,
10,4,10,3,10,10,2,1,10,10,,
10,10,10,10,10,10,10,10,10,10,,
3,4,5,10,2,7,6,8,9,1,,
