rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,numSeats,numCands
13,13,4,2,13,1,8,3,6,13,7,5,13,1.0,13.0
7,11,5,3,1,6,10,2,9,8,12,4,13,,
4,5,5,5,3,5,5,5,5,1,5,5,2,,
10,9,12,1,4,7,13,5,3,6,8,2,11,,
6,3,9,4,5,7,10,13,12,2,11,1,8,,
13,11,3,2,6,4,11,5,11,12,11,1,11,,
12,13,11,11,12,11,13,10,13,12,13,11,13,,
4,10,8,1,9,12,7,3,13,11,5,6,2,,
9,3,7,13,6,7,4,13,2,8,5,13,1,,
8,13,5,2,3,4,13,6,13,7,13,1,13,,
11,3,2,5,7,6,4,13,8,12,10,1,9,,
13,13,13,13,13,13,13,13,13,13,13,1,13,,
10,7,4,2,5,3,13,11,6,9,8,1,12,,
13,13,13,13,1,13,13,2,13,13,13,13,13,,
13,3,8,1,2,4,12,7,6,5,11,10,9,,
5,1,13,12,8,9,4,11,3,6,7,10,2,,
13,1,13,13,13,13,13,13,13,13,13,13,13,,
2,13,13,13,13,13,13,13,13,2,13,1,13,,
13,13,13,13,13,13,13,1,13,13,13,2,13,,
3,13,7,2,13,6,13,1,13,4,13,5,13,,
12,4,10,5,3,11,7,1,9,13,6,2,8,,
13,13,13,13,13,13,13,13,13,13,13,13,1,,
9,2,5,1,8,13,11,4,6,7,10,3,12,,
6,12,1,2,5,13,10,7,8,4,11,3,9,,
13,13,13,13,13,13,13,2,13,13,13,1,13,,
5,13,13,13,13,2,13,4,3,1,13,6,13,,
4,13,13,13,5,13,13,1,13,3,13,2,13,,
13,13,13,13,1,13,13,13,13,13,13,13,13,,
13,2,13,3,13,13,13,13,13,13,13,2,13,,
13,13,13,13,13,13,13,13,13,1,13,13,13,,
1,4,10,8,2,10,7,6,9,1,11,3,5,,
13,13,13,13,13,13,13,13,13,13,13,1,13,,
9,13,3,5,13,4,2,13,13,6,13,1,13,,
8,10,3,5,6,2,12,1,9,7,11,4,13,,
13,2,1,2,1,1,2,11,2,13,2,2,2,,
13,13,13,13,13,13,13,13,13,13,13,13,13,,
13,5,6,9,11,8,2,10,13,7,4,1,3,,
8,13,6,4,3,6,13,1,13,8,13,2,13,,
