rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,numSeats,numCands
9,4,1,5,9,2,6,3,9,1.0,9.0
6,2,4,5,7,1,3,9,8,,
4,8,3,9,7,2,1,5,6,,
3,2,4,6,7,1,9,9,5,,
8,1,3,9,2,5,4,6,7,,
1,6,2,8,3,4,9,5,7,,
9,1,3,8,2,4,5,7,6,,
7,8,4,3,2,1,5,6,9,,
9,8,9,9,1,2,9,9,9,,
9,2,4,7,1,3,5,6,8,,
8,2,3,9,4,1,7,5,6,,
9,1,9,9,9,3,2,9,9,,
9,6,4,8,5,1,2,3,7,,
5,2,3,4,9,1,9,9,9,,
9,2,6,1,7,3,5,8,4,,
5,8,6,3,1,2,7,9,4,,
6,4,3,7,2,9,1,8,5,,
4,1,5,8,7,3,9,2,6,,
1,2,9,9,4,3,9,8,9,,
6,2,3,5,1,4,7,9,8,,
6,1,2,7,3,5,4,8,9,,
3,8,2,5,9,1,7,6,4,,
4,2,6,7,8,1,9,3,5,,
7,4,3,5,8,2,1,6,9,,
4,2,1,7,8,5,3,9,6,,
8,3,1,7,6,2,5,9,4,,
6,2,4,5,1,7,3,9,8,,
7,8,4,3,5,1,2,9,6,,
9,2,1,8,4,3,6,7,5,,
9,1,8,5,4,2,3,7,6,,
4,5,2,8,9,1,6,7,3,,
9,9,9,9,1,9,9,9,9,,
1,8,2,7,4,3,6,9,5,,
3,1,2,5,4,9,7,6,8,,
8,1,4,6,2,3,5,9,7,,
9,1,2,6,7,4,5,3,8,,
9,1,5,8,4,3,2,7,6,,
8,4,2,7,9,6,1,3,5,,
6,9,8,5,7,8,7,6,5,,
7,1,2,9,4,5,3,6,8,,
5,3,4,8,2,1,6,7,9,,
8,1,2,6,3,4,5,9,7,,
6,1,3,2,4,8,9,5,7,,
7,2,1,6,8,5,3,4,9,,
9,3,2,9,9,3,1,9,9,,
