rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,numSeats,numCands
11,3,6,11,4,1,7,6,2,11,11,1.0,11.0
11,11,1,11,11,11,11,11,11,2,11,,
8,7,3,9,5,1,4,6,11,10,2,,
11,11,1,11,11,2,11,11,11,11,11,,
11,11,2,11,11,11,11,11,11,1,11,,
8,10,2,6,9,1,3,5,4,11,7,,
11,1,11,11,11,11,11,11,2,11,11,,
9,11,1,10,5,2,7,4,8,6,3,,
10,3,5,8,9,1,7,2,4,11,6,,
10,5,1,11,2,4,8,3,6,9,7,,
4,2,1,7,10,9,5,3,8,6,11,,
11,11,1,3,11,5,11,4,2,11,11,,
5,6,11,9,7,8,2,4,1,3,10,,
9,7,1,3,8,5,4,8,11,9,2,,
5,11,1,11,6,4,3,7,10,2,9,,
1,11,11,11,11,11,11,11,11,11,2,,
11,2,4,11,3,1,11,11,3,11,5,,
11,3,2,11,4,1,8,7,6,5,11,,
11,11,1,11,11,11,11,11,11,11,11,,
4,5,1,7,2,11,3,8,9,10,6,,
7,4,1,8,6,2,11,3,10,9,5,,
2,11,1,10,4,3,5,6,7,9,8,,
11,11,3,11,4,1,11,11,11,11,2,,
11,11,1,11,11,11,11,11,11,11,11,,
1,7,11,11,3,4,6,5,11,11,2,,
11,11,5,11,3,1,11,4,11,2,6,,
11,2,3,11,6,4,5,11,1,11,11,,
8,10,1,9,4,2,6,3,7,11,5,,
11,4,1,11,3,1,2,3,1,2,11,,
11,11,1,11,2,11,11,3,11,11,11,,
10,3,1,11,9,5,4,7,8,6,2,,
7,11,1,4,2,3,5,9,6,10,8,,
11,11,1,11,11,1,11,4,11,11,3,,
11,6,2,3,9,1,10,4,5,8,7,,
5,4,7,9,1,11,3,2,6,10,8,,
11,7,2,6,5,1,3,9,4,8,10,,
7,2,1,4,6,9,5,10,3,11,8,,
5,2,1,10,6,3,8,11,7,9,4,,
10,9,2,4,6,1,3,5,7,8,11,,
11,11,11,11,11,11,11,11,11,11,11,,
6,2,5,10,7,1,9,3,8,11,4,,
8,3,6,10,4,1,5,9,2,11,7,,
11,11,1,11,11,11,3,2,11,11,11,,
11,11,11,11,11,11,1,11,11,11,11,,
9,1,11,10,2,7,8,5,3,6,4,,
11,3,1,11,11,2,11,4,11,11,11,,
6,2,7,8,4,1,11,3,10,9,5,,
7,6,2,11,8,1,5,3,4,10,9,,
9,2,6,10,1,5,8,11,4,7,3,,
6,5,1,2,4,8,11,3,10,9,7,,
6,5,4,3,8,1,11,2,10,7,9,,
4,5,10,3,10,1,6,4,6,11,2,,
7,3,2,6,5,1,10,11,8,9,4,,
