rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,numSeats,numCands
10,4,2,9,1,3,5,7,6,11,8,1.0,11.0
11,11,11,5,3,2,4,1,2,11,11,,
7,8,9,11,10,3,4,5,2,6,1,,
11,11,11,11,11,1,11,11,11,11,11,,
11,11,11,11,4,11,11,2,3,11,1,,
7,9,5,10,2,1,11,6,3,8,4,,
11,11,2,3,11,11,11,11,1,11,11,,
11,6,5,7,2,1,9,4,3,8,10,,
11,11,2,4,1,11,11,3,11,11,11,,
11,11,11,11,1,2,11,11,3,11,11,,
11,11,11,11,1,11,11,11,11,11,11,,
11,11,3,5,4,11,11,11,1,11,2,,
11,11,11,11,2,11,11,11,1,11,11,,
11,11,11,4,2,1,11,5,3,11,11,,
11,11,1,11,11,11,11,11,2,11,11,,
11,11,2,11,11,5,11,4,3,11,1,,
11,11,11,4,5,1,11,11,2,11,3,,
3,7,11,2,8,4,10,11,9,5,1,,
11,11,11,5,3,1,2,11,11,4,11,,
11,11,2,3,11,11,11,11,11,11,1,,
7,6,1,5,10,2,9,3,4,8,11,,
11,11,3,1,2,11,11,11,11,11,11,,
2,11,3,2,11,1,3,1,11,4,11,,
10,6,1,4,3,7,9,11,2,5,8,,
11,11,3,5,1,4,11,11,2,11,11,,
11,11,11,2,11,1,11,11,3,11,11,,
11,9,3,10,1,2,5,4,7,8,6,,
11,11,11,11,11,1,11,11,2,11,11,,
11,11,2,3,11,1,5,11,4,11,11,,
11,11,11,11,1,11,11,11,11,11,11,,
11,3,11,6,5,2,11,1,4,11,11,,
11,8,6,10,9,3,2,4,5,7,1,,
8,6,2,9,10,1,7,4,3,5,11,,
11,11,2,2,11,3,11,4,1,11,11,,
7,8,5,2,6,3,11,10,4,9,1,,
5,8,2,11,9,7,10,6,3,4,1,,
11,5,4,9,1,8,10,3,2,6,7,,
11,11,3,11,1,2,11,11,11,11,11,,
