rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,numSeats,numCands
2,12,8,15,4,3,11,13,9,10,5,17,7,1,6,14,16,1.0,17.0
2,17,17,17,17,9,17,3,6,17,8,4,17,1,17,5,7,,
17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,,
4,7,5,17,2,17,10,12,8,17,13,6,11,1,3,9,17,,
16,17,17,1,16,3,17,16,16,16,10,15,10,13,2,16,16,,
6,17,17,11,7,1,4,12,17,5,13,10,17,2,8,9,3,,
1,9,6,15,4,11,5,3,14,17,8,12,10,2,13,7,16,,
2,17,17,17,17,17,17,17,3,17,17,17,17,1,17,17,17,,
14,11,4,17,2,5,9,8,13,16,10,1,7,6,3,15,12,,
8,17,12,7,6,5,17,4,10,17,9,2,11,3,1,17,13,,
16,10,17,7,3,12,14,5,2,15,8,6,13,1,4,11,9,,
8,15,17,13,4,9,6,3,1,10,11,5,14,16,2,12,7,,
3,17,17,17,1,17,17,2,17,4,17,17,17,17,5,17,17,,
1,12,8,17,2,3,4,6,12,17,5,17,17,10,10,12,14,,
1,8,15,12,4,5,7,2,16,17,12,14,12,1,13,6,12,,
4,17,7,17,4,14,2,17,17,17,9,17,1,16,5,17,17,,
2,17,17,17,2,7,2,4,6,17,17,3,17,1,3,4,15,,
4,17,17,2,6,3,17,17,17,17,5,17,17,1,7,17,8,,
10,17,17,17,3,17,17,9,17,17,7,11,12,2,1,17,8,,
1,17,3,17,4,7,8,4,7,5,5,10,8,2,6,11,9,,
1,17,17,17,17,17,17,3,17,17,17,17,17,2,17,17,17,,
1,8,13,14,11,2,12,4,15,17,16,10,6,3,5,9,7,,
5,17,17,17,3,4,17,17,17,17,17,17,17,1,2,17,17,,
1,14,10,16,5,3,15,7,9,17,6,11,8,4,2,13,12,,
2,16,17,9,4,3,7,8,17,17,17,17,17,1,10,6,5,,
1,17,17,17,3,17,17,17,17,17,6,17,4,17,2,7,5,,
3,8,11,15,14,4,9,1,17,17,6,17,17,2,5,16,16,,
2,17,17,17,3,7,17,5,17,17,17,17,6,1,4,17,17,,
3,5,17,17,17,4,6,17,12,14,10,11,7,1,2,17,17,,
5,17,14,15,2,7,6,12,10,8,9,16,13,1,3,11,4,,
1,16,16,6,5,17,2,16,16,16,16,16,16,7,16,3,4,,
17,17,17,17,17,16,17,17,17,17,17,17,17,1,17,17,17,,
17,17,17,17,17,17,3,17,17,17,17,17,17,4,8,17,1,,
