rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,numSeats,numCands
6,5,2,7,4,3,9,1,8,Unknown,9.0
1,3,6,5,4,7,8,9,2,Unknown,
6,1,8,2,4,3,7,5,9,Unknown,
2,1,3,9,3,9,9,3,9,Unknown,
1,3,5,4,4,9,8,7,2,Unknown,
2,1,6,4,5,9,7,3,8,Unknown,
1,1,9,9,1,9,9,9,9,Unknown,
7,4,6,8,3,9,1,2,5,Unknown,
2,3,9,9,1,9,9,9,9,Unknown,
1,2,5,9,4,8,7,3,6,Unknown,
2,3,4,9,1,7,8,5,6,Unknown,
5,3,1,8,4,2,6,7,9,Unknown,
2,4,1,8,3,9,6,5,7,Unknown,
3,2,5,7,4,8,9,1,6,Unknown,
1,1,9,9,2,9,9,1,2,Unknown,
3,6,5,1,9,9,8,4,2,Unknown,
1,2,9,9,9,9,9,3,9,Unknown,
7,2,6,1,3,4,5,4,4,Unknown,
2,4,6,8,3,7,5,1,9,Unknown,
1,2,5,7,4,6,9,3,6,Unknown,
7,6,5,9,3,3,1,8,2,Unknown,
1,4,8,9,5,7,6,2,3,Unknown,
1,3,4,5,2,3,5,2,5,Unknown,
5,1,4,9,3,2,8,6,7,Unknown,
3,4,5,7,1,6,8,2,9,Unknown,
4,1,6,9,3,7,5,2,8,Unknown,
1,2,5,6,4,7,9,3,8,Unknown,
9,4,8,5,6,3,2,1,7,Unknown,
1,3,9,7,5,8,6,1,3,Unknown,
4,2,9,7,1,8,6,3,5,Unknown,
1,2,4,8,3,6,7,5,9,Unknown,
2,3,9,7,1,4,8,6,5,Unknown,
9,3,1,5,7,8,2,6,4,Unknown,
1,2,7,8,5,6,9,3,4,Unknown,
6,2,9,5,1,4,7,3,8,Unknown,
1,5,2,4,8,9,6,3,7,Unknown,
2,1,8,5,7,6,9,3,4,Unknown,
5,1,3,7,6,8,2,4,9,Unknown,
1,2,6,9,5,7,8,3,4,Unknown,
4,2,6,9,3,5,8,1,7,Unknown,
4,2,6,9,5,3,1,8,8,Unknown,
2,3,1,7,5,9,8,4,6,Unknown,
1,1,2,9,2,7,2,1,4,Unknown,
4,1,7,6,3,5,9,2,8,Unknown,
1,3,5,9,4,7,8,6,2,Unknown,
1,1,4,2,3,9,7,1,1,Unknown,
1,2,6,8,4,9,7,5,3,Unknown,
