rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,numSeats,numCands
1,10,4,10,10,3,10,10,10,2,1.0,10.0
7,10,8,2,7,4,5,10,3,1,,
10,1,1,4,2,2,10,5,3,2,,
7,5,3,1,7,9,10,5,5,3,,
3,1,10,10,10,10,2,4,10,10,,
10,5,10,1,4,3,10,6,7,2,,
4,1,3,10,10,10,10,2,10,10,,
10,1,10,5,10,10,6,10,10,7,,
9,4,1,4,2,10,8,8,8,3,,
1,10,3,10,10,2,4,10,10,10,,
9,7,4,3,2,10,1,8,5,6,,
1,6,9,5,7,2,8,3,10,4,,
9,1,10,5,8,4,6,3,7,2,,
2,1,10,10,10,10,10,2,10,10,,
5,1,9,6,7,10,8,3,4,2,,
5,9,10,4,1,10,10,7,2,2,,
1,2,10,9,8,6,5,3,4,7,,
10,8,1,3,1,10,9,10,6,2,,
2,1,10,3,10,3,4,2,10,3,,
5,1,10,10,10,2,4,7,6,3,,
1,5,4,8,10,3,2,6,7,9,,
3,1,6,10,8,7,4,9,5,2,,
10,5,1,3,10,10,2,10,4,10,,
2,3,10,3,10,6,1,7,5,4,,
5,1,10,2,8,6,7,9,4,3,,
2,1,9,10,10,3,4,10,10,10,,
4,10,8,6,9,3,2,7,5,1,,
10,4,7,5,9,2,8,6,3,1,,
10,1,10,10,10,2,10,10,10,10,,
2,3,1,10,10,10,10,10,10,10,,
10,10,10,1,10,10,10,10,10,10,,
9,2,1,5,3,6,10,8,7,4,,
