rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,numSeats,numCands
5,4,8,6,7,2,3,10,1,9,Unknown,10.0
6,5,9,8,3,7,1,10,4,2,Unknown,
1,3,9,6,7,2,8,10,4,5,Unknown,
4,5,8,7,9,3,1,10,2,6,Unknown,
7,2,4,6,8,1,3,10,5,9,Unknown,
1,6,9,2,8,3,4,10,5,7,Unknown,
1,1,3,1,10,1,2,10,1,2,Unknown,
6,2,5,3,9,4,9,10,1,9,Unknown,
2,10,5,4,9,3,1,9,7,8,Unknown,
7,8,4,6,5,10,3,9,2,1,Unknown,
6,9,8,4,1,7,2,10,5,3,Unknown,
1,10,1,1,1,1,1,9,1,1,Unknown,
10,10,10,10,10,1,2,10,3,10,Unknown,
1,8,5,7,6,3,9,10,2,4,Unknown,
2,4,5,9,7,6,1,8,3,10,Unknown,
10,10,10,10,10,1,10,10,10,10,Unknown,
1,6,6,2,3,6,4,10,5,6,Unknown,
2,7,8,3,5,4,10,9,1,6,Unknown,
3,9,7,4,1,6,2,8,5,5,Unknown,
3,4,5,1,7,3,3,7,2,6,Unknown,
2,9,3,8,7,4,5,10,1,6,Unknown,
8,9,5,9,9,5,8,10,5,1,Unknown,
1,10,10,3,10,10,10,10,2,10,Unknown,
5,9,7,6,2,1,3,10,4,8,Unknown,
4,3,8,2,6,10,7,5,1,9,Unknown,
4,2,10,10,10,3,10,10,1,10,Unknown,
5,10,2,2,7,4,1,10,3,10,Unknown,
1,7,9,2,4,5,8,10,3,6,Unknown,
5,7,6,1,9,1,1,10,1,8,Unknown,
4,7,9,8,2,6,5,10,1,3,Unknown,
1,10,10,2,10,4,3,6,5,10,Unknown,
1,1,2,1,2,1,9,10,10,8,Unknown,
2,3,8,9,6,4,1,10,5,7,Unknown,
1,3,6,4,8,2,5,10,7,9,Unknown,
2,3,3,2,5,3,2,10,1,3,Unknown,
2,4,8,1,2,9,5,6,10,3,Unknown,
5,3,4,7,9,6,2,10,1,8,Unknown,
2,7,6,3,1,4,5,9,10,8,Unknown,
3,10,10,5,10,10,2,10,1,10,Unknown,
2,10,1,6,8,4,7,9,3,5,Unknown,
2,7,5,1,8,3,4,9,10,6,Unknown,
1,5,9,3,8,4,2,10,6,7,Unknown,
1,5,6,4,9,3,8,10,2,7,Unknown,
2,5,6,7,9,1,4,10,3,8,Unknown,
5,1,9,8,7,4,3,6,2,10,Unknown,
5,8,4,3,7,1,6,10,9,2,Unknown,
1,4,10,3,10,10,2,10,5,10,Unknown,
10,10,10,10,1,10,10,2,10,10,Unknown,
10,10,4,5,10,3,1,10,10,2,Unknown,
1,10,10,10,10,3,2,10,4,10,Unknown,
2,4,6,10,6,6,1,6,4,4,Unknown,
6,5,10,7,10,1,4,8,2,3,Unknown,
5,4,7,8,1,9,6,10,3,2,Unknown,
1,10,4,10,2,2,10,9,2,4,Unknown,
4,6,2,1,8,5,9,3,7,10,Unknown,
7,2,6,9,10,8,3,5,1,4,Unknown,
1,10,10,2,10,3,4,5,10,10,Unknown,
1,2,3,2,2,1,2,10,1,3,Unknown,
5,6,7,2,10,1,4,8,3,9,Unknown,
1,1,4,1,2,1,5,10,1,3,Unknown,
3,2,10,5,10,4,10,6,1,10,Unknown,
5,4,6,2,7,8,10,9,1,3,Unknown,
10,3,8,2,6,1,5,4,7,9,Unknown,
4,3,10,4,10,4,2,10,1,10,Unknown,
1,4,8,9,6,2,3,10,5,7,Unknown,
10,10,10,10,10,10,10,10,10,10,Unknown,
6,2,8,9,10,4,3,1,5,7,Unknown,
2,3,7,9,8,5,4,10,1,6,Unknown,
10,10,10,10,10,10,10,1,10,10,Unknown,
1,9,6,8,7,2,4,10,3,5,Unknown,
2,1,9,7,5,5,2,9,2,7,Unknown,
1,5,9,8,4,3,2,10,7,6,Unknown,
1,10,10,5,10,3,2,10,2,10,Unknown,
1,2,2,4,5,1,1,10,1,3,Unknown,
2,6,9,1,3,8,7,10,4,5,Unknown,
