rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,numSeats,numCands
16,12,13,9,15,14,1,11,2,10,3,6,4,7,5,8,1.0,16.0
16,16,16,16,16,16,6,5,16,1,16,16,16,2,4,3,,
12,13,14,5,9,15,8,6,16,3,7,10,1,4,2,11,,
12,7,1,4,14,16,9,15,8,6,2,3,11,10,5,13,,
16,7,11,2,15,10,1,12,4,6,14,5,3,8,9,13,,
13,5,14,7,9,2,11,8,16,10,12,4,15,6,1,3,,
16,10,8,3,14,7,1,15,5,6,13,11,4,9,12,2,,
2,9,4,15,13,1,5,12,3,6,8,10,11,14,7,16,,
14,8,10,4,3,13,1,2,11,4,6,12,7,5,9,15,,
13,12,9,14,5,10,15,1,4,2,8,11,6,3,7,16,,
13,15,16,8,7,4,3,5,2,1,10,12,14,6,11,9,,
11,2,8,5,14,3,4,15,10,13,12,9,6,16,7,1,,
Skipped,Skipped,6,4,10,12,3,13,2,5,11,7,14,8,9,1,,
11,14,1,3,16,8,7,15,4,2,10,12,6,9,5,13,,
11,15,2,5,10,12,3,8,1,7,6,9,14,16,4,13,,
13,15,9,11,16,4,2,6,8,1,14,7,12,3,10,5,,
10,8,5,3,2,1,14,4,15,12,9,6,11,13,7,16,,
6,10,10,5,16,1,3,16,4,7,8,16,11,2,16,9,,
11,3,13,4,10,14,5,16,9,1,8,15,6,2,7,12,,
11,13,14,6,16,15,7,2,8,4,3,10,12,1,1,5,,
7,3,8,6,9,5,1,9,4,8,10,2,12,11,4,3,,
14,12,15,5,8,10,1,9,2,3,7,4,6,13,11,16,,
12,13,15,3,9,1,5,2,8,14,7,6,11,10,4,16,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,2,5,6,8,Skipped,3,9,4,7,1,,
8,7,4,10,11,16,5,12,2,1,14,9,15,13,3,6,,
6,Skipped,Skipped,Skipped,4,11,7,3,9,10,1,Skipped,Skipped,5,2,8,,
5,11,12,2,7,13,1,6,14,8,16,3,4,9,15,10,,
15,11,1,2,10,3,5,13,4,12,14,9,6,16,8,7,,
7,Skipped,3,8,Skipped,3,2,9,1,2,6,5,Skipped,4,Skipped,6,,
4,16,16,1,16,16,2,3,16,16,16,16,5,16,16,3,,
5,1,2,16,9,12,13,7,6,8,15,10,3,11,14,4,,
1,2,8,15,12,9,3,10,4,7,6,5,Skipped,13,11,14,,
16,15,2,1,6,13,14,11,10,4,12,8,7,9,3,5,,
3,8,9,7,5,16,6,4,16,16,2,16,16,16,1,16,,
16,12,11,4,9,6,10,1,5,3,7,13,14,8,2,15,,
4,3,2,15,8,16,10,11,1,7,12,14,9,6,5,13,,
7,11,1,5,13,2,4,12,8,6,15,3,10,14,9,16,,
7,10,1,6,5,1,11,5,8,2,4,9,7,13,3,14,,
7,8,1,15,13,2,14,12,4,3,16,11,6,10,9,5,,
