rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,rank21,rank22,rank23,rank24,rank25,rank26,rank27,rank28,rank29,numSeats,numCands
29,29,29,29,29,29,29,29,29,29,29,29,29,29,1,29,29,2,29,3,29,29,29,29,29,29,29,29,29,1.0,29.0
29,29,29,29,29,4,29,5,29,29,3,29,29,29,29,29,29,29,29,29,29,1,29,29,2,29,29,29,29,,
29,4,29,29,29,29,29,29,29,29,29,2,29,29,29,29,5,29,29,29,29,29,29,29,3,29,1,29,29,,
16,3,19,5,21,4,14,2,13,28,25,27,11,10,12,6,8,9,20,1,23,17,22,29,26,7,15,24,18,,
29,2,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,1,29,29,29,29,29,29,29,29,29,,
27,29,22,5,19,16,1,29,28,4,6,11,8,3,10,12,17,26,7,18,21,25,20,23,17,2,29,9,24,,
29,26,29,29,29,29,29,29,2,23,29,29,29,29,3,29,29,29,29,29,29,29,29,29,29,28,29,29,29,,
9,3,13,27,16,8,2,4,10,25,24,26,20,18,23,5,19,6,7,17,14,29,15,12,22,28,1,21,11,,
11,10,19,2,3,27,28,1,14,29,26,9,24,23,6,8,4,12,15,22,20,16,21,18,13,7,5,25,17,,
29,29,29,29,29,29,1,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,,
11,4,21,28,15,7,10,3,12,17,23,5,27,14,9,24,29,8,20,16,18,2,18,19,6,26,1,25,13,,
29,29,29,29,7,2,9,29,5,29,1,29,29,29,29,29,29,8,6,29,29,29,4,29,29,3,29,29,29,,
29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,2,29,29,2,29,3,29,29,,
29,29,29,1,29,29,29,2,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,,
29,29,29,29,29,29,29,1,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,2,3,29,,
29,29,29,29,29,4,29,1,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,3,2,29,29,,
29,29,29,29,2,29,29,29,29,29,29,3,29,29,3,29,29,1,29,29,29,29,29,29,29,29,29,29,29,,
29,29,29,29,29,29,29,29,29,29,29,29,29,29,1,29,29,29,29,29,29,2,29,29,29,29,29,29,29,,
29,2,29,29,29,29,1,3,29,29,29,5,29,29,29,29,29,29,29,29,29,29,29,29,29,6,4,29,29,,
29,29,29,1,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,,
15,6,20,29,24,11,9,3,14,28,13,10,5,21,8,4,12,1,16,25,22,17,23,19,27,7,2,26,18,,
29,4,29,29,29,29,5,29,29,29,29,2,29,29,29,6,29,29,29,29,29,29,29,29,1,29,29,29,29,,
29,29,29,29,29,29,29,1,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,,
29,1,29,29,29,29,29,29,29,29,29,29,29,29,29,2,29,29,29,29,29,29,29,29,29,3,29,29,29,,
21,8,14,28,7,20,18,16,12,15,26,6,11,24,27,1,2,4,22,23,17,19,10,13,29,5,3,9,25,,
11,28,26,25,18,20,1,8,24,3,29,4,16,15,9,2,21,6,5,14,13,22,17,12,10,7,27,19,23,,
28,23,28,14,28,9,24,1,28,28,7,21,17,29,28,18,27,29,23,28,28,28,28,28,28,28,2,28,20,,
29,2,29,29,29,29,29,1,29,29,29,3,29,29,29,29,4,29,29,29,29,29,29,29,29,29,29,29,29,,
29,29,29,29,29,29,29,3,29,29,29,29,29,29,29,29,29,1,29,29,29,29,29,29,2,8,29,29,29,,
3,5,29,29,29,29,1,29,29,29,29,29,29,29,29,28,2,6,29,29,29,29,29,29,29,4,29,29,29,,
12,20,16,27,18,8,24,6,11,25,23,26,1,5,22,28,2,10,13,9,3,14,17,7,21,29,4,19,15,,
29,29,29,2,29,3,29,1,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,,
9,6,17,24,18,26,1,2,5,28,27,16,23,15,21,7,19,4,14,22,12,10,20,13,8,29,3,25,11,,
29,29,29,1,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,,
29,6,29,29,29,3,29,29,29,29,29,29,29,29,29,2,29,29,29,29,29,5,1,29,29,29,4,29,29,,
29,29,29,29,29,4,29,29,29,1,29,29,29,29,29,3,29,29,29,29,29,29,29,29,29,29,2,29,29,,
29,3,29,29,29,29,29,2,29,29,29,29,29,29,29,1,29,29,29,29,29,29,29,29,29,4,29,29,29,,
29,29,29,29,1,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,,
29,3,29,29,29,29,29,1,29,29,29,29,4,29,29,29,29,29,29,29,29,29,29,29,29,29,2,29,29,,
29,1,1,29,29,29,1,29,29,1,1,1,29,29,29,29,29,29,29,1,29,1,1,1,29,29,29,29,1,,
29,29,29,29,29,29,29,1,29,29,29,29,29,29,29,5,29,29,29,29,29,29,29,29,29,29,29,29,29,,
1,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,,
29,29,29,29,29,29,29,29,29,29,29,29,29,29,1,29,29,29,29,29,29,29,29,29,29,29,29,29,29,,
29,29,29,6,29,29,29,2,29,29,29,29,10,29,3,7,1,4,29,5,29,8,29,29,29,29,9,29,29,,
29,29,29,1,29,29,29,29,29,29,29,29,29,29,29,5,29,29,29,29,3,29,4,2,29,29,29,29,29,,
29,29,29,29,29,29,29,1,29,29,29,29,29,29,29,2,29,29,29,29,29,29,29,29,29,29,29,29,29,,
29,29,29,29,29,29,29,2,29,29,3,29,29,29,29,29,29,1,29,29,29,29,29,29,4,29,29,29,29,,
29,29,29,3,29,4,29,1,29,29,29,29,29,29,2,6,29,5,29,29,29,29,29,29,29,29,29,29,29,,
28,5,28,28,28,28,4,1,28,28,28,3,28,28,28,2,29,28,28,28,28,28,28,28,28,29,29,28,28,,
29,29,29,3,29,29,29,1,29,29,29,29,29,29,29,2,29,29,29,29,29,29,29,29,29,29,29,29,29,,
29,29,29,29,29,29,29,1,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,,
9,5,11,18,19,23,25,20,7,29,14,1,2,22,24,26,16,28,8,17,12,6,15,13,21,27,3,4,10,,
29,5,27,1,29,29,29,9,6,29,29,20,29,10,8,24,1,2,29,4,1,29,7,28,3,29,11,12,29,,
29,29,29,1,29,4,29,2,29,29,29,29,29,29,29,29,3,29,29,29,29,29,29,29,29,29,29,29,29,,
29,9,19,4,16,28,27,6,25,5,1,25,11,14,7,2,13,24,23,15,18,22,17,20,8,3,12,10,21,,
25,3,19,4,16,29,27,6,26,8,5,2,12,14,9,28,13,20,24,15,18,23,17,21,10,7,1,11,22,,
21,12,13,6,17,10,5,2,27,29,26,28,24,16,25,7,9,3,14,23,15,20,18,19,8,11,4,1,22,,
29,29,29,29,29,29,29,1,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,,
29,29,29,29,29,1,29,4,29,29,2,29,29,29,29,29,5,29,29,29,29,29,29,29,6,29,3,29,29,,
28,4,1,8,19,7,15,3,27,23,20,12,11,13,5,2,18,9,10,24,17,16,22,26,14,25,6,29,21,,
29,29,29,3,29,2,29,1,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,6,4,29,29,29,,
29,29,29,29,5,29,29,1,29,29,29,2,29,29,29,29,29,3,29,4,29,29,29,29,29,29,29,29,29,,
29,29,29,29,29,29,1,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,,
29,29,29,3,29,29,29,1,29,29,29,2,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,,
29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,1,29,29,29,29,29,29,29,29,29,29,29,29,29,,
29,1,29,2,29,29,29,3,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,4,29,29,,
