rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,rank21,rank22,rank23,rank24,rank25,rank26,rank27,rank28,rank29,rank30,rank31,rank32,rank33,rank34,rank35,rank36,numSeats,numCands
30,30,1,3,1,2,33,31,3,1,2,30,30,3,1,30,35,1,1,2,36,30,30,34,3,1,30,30,1,2,3,2,30,2,1,30,1.0,36.0
36,36,36,36,36,1,36,1,36,36,5,36,36,1,36,36,5,36,36,36,36,36,36,36,36,1,36,36,36,36,36,36,36,36,1,36,,
35,23,31,5,26,15,33,24,18,2,1,14,21,28,4,30,29,27,32,7,34,3,22,11,10,8,19,36,17,16,25,13,20,6,9,12,,
14,20,16,22,4,15,33,9,7,8,2,17,23,18,5,25,29,3,32,10,34,21,19,35,31,1,12,30,13,6,24,27,28,11,26,36,,
36,36,36,36,36,36,36,5,36,36,36,36,36,3,1,36,4,36,36,36,36,36,6,2,36,36,36,36,36,36,36,36,36,36,36,36,,
4,24,6,36,7,5,36,16,18,5,2,25,36,36,11,21,36,7,36,14,36,17,36,36,36,1,20,36,6,36,19,12,22,13,3,15,,
18,25,15,17,20,7,36,25,27,8,2,25,20,27,9,36,36,25,27,15,36,25,12,36,27,1,6,28,5,12,20,15,25,4,3,15,,
17,21,10,20,7,4,36,16,36,6,2,36,36,36,11,18,36,8,36,15,36,36,36,13,19,1,3,35,9,36,36,14,36,12,5,36,,
31,22,16,13,20,12,29,32,10,9,14,26,18,24,4,7,3,19,11,2,28,25,34,23,15,1,27,36,17,33,6,30,21,8,5,35,,
8,36,36,9,36,7,36,14,36,36,36,36,13,36,36,36,3,36,1,36,36,4,36,36,36,36,6,36,36,36,36,36,10,2,11,5,,
3,9,6,15,35,4,20,20,7,20,15,9,35,15,1,13,35,15,5,13,15,6,35,15,20,5,35,36,8,35,20,15,20,2,15,35,,
6,28,10,32,9,17,33,22,24,5,3,21,15,23,11,19,20,8,31,2,34,18,27,14,1,12,25,16,7,26,13,36,29,30,4,35,,
1,34,12,34,12,18,6,15,18,12,36,36,36,36,6,34,36,18,36,6,34,18,36,36,34,18,36,36,12,18,36,15,36,12,18,36,,
36,36,36,6,36,7,36,36,36,36,5,36,36,4,1,36,2,36,36,36,36,36,36,2,36,36,36,36,36,36,36,36,36,36,36,36,,
11,15,3,22,3,7,36,11,7,3,4,12,12,10,20,9,30,4,15,21,36,27,17,36,15,3,8,28,6,10,10,5,27,16,1,36,,
5,14,8,16,4,3,18,4,3,8,2,10,12,6,16,4,11,2,16,16,16,6,7,16,16,1,4,17,2,13,9,16,15,16,3,18,,
36,11,12,36,36,1,36,36,36,9,2,6,36,36,15,36,8,36,10,13,36,36,36,36,14,3,36,36,36,4,36,36,36,5,7,36,,
4,35,4,5,4,4,35,5,35,4,4,35,35,5,1,35,35,4,2,4,35,35,35,3,35,4,4,36,4,35,5,4,35,35,35,5,,
1,36,2,36,10,25,36,36,36,5,30,20,36,36,3,36,36,36,36,1,36,1,36,36,1,20,36,36,1,36,36,1,36,3,35,36,,
7,20,3,32,11,6,34,22,2,8,15,18,10,31,9,12,17,5,29,25,27,16,24,35,33,1,19,30,4,13,21,28,22,26,14,36,,
24,9,23,19,16,2,36,5,18,17,14,8,26,22,3,1,33,20,21,15,36,12,29,32,13,10,7,36,30,6,31,28,11,4,25,27,,
10,11,11,11,5,11,11,7,11,11,1,11,11,3,1,2,11,11,11,11,11,11,8,10,11,1,4,6,11,11,11,11,9,11,11,11,,
5,36,36,36,5,36,36,3,36,36,36,36,36,2,1,5,5,36,36,36,36,36,36,2,36,36,36,35,36,36,36,36,4,5,36,36,,
3,28,7,22,9,13,36,12,13,11,6,28,22,13,17,22,30,10,20,18,32,22,22,33,22,1,8,35,2,20,13,30,19,5,4,33,,
36,36,9,15,8,3,36,6,10,5,2,36,27,27,1,36,36,9,25,1,36,12,36,36,25,1,36,35,8,36,10,36,36,2,4,36,,
9,29,18,32,13,1,31,14,17,11,8,26,27,16,7,4,24,15,30,20,34,23,28,10,6,3,22,36,16,2,19,12,25,5,21,33,,
