rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,numSeats,numCands
6,11,18,8,15,13,17,9,1,5,19,7,12,4,14,16,20,2,10,3,1.0,20.0
7,20,1,3,20,20,20,20,5,20,20,7,7,20,20,5,20,3,10,20,,
7,20,8,20,20,20,20,1,20,8,20,20,20,20,10,20,4,6,20,20,,
4,3,10,1,20,10,10,5,15,2,20,10,20,20,2,20,10,2,5,20,,
2,1,9,4,20,2,20,3,20,7,20,10,11,8,8,20,10,20,20,12,,
1,20,15,15,15,3,20,2,20,3,4,15,20,20,20,20,20,20,5,5,,
17,19,20,16,19,19,20,16,20,17,20,19,17,20,18,20,20,20,20,20,,
20,5,20,20,20,20,8,4,9,2,20,1,6,20,3,20,20,20,20,7,,
1,20,20,20,20,14,20,16,18,20,20,10,20,20,10,20,20,20,20,20,,
4,4,20,20,20,5,20,10,20,4,20,3,2,4,2,20,3,20,20,1,,
2,16,7,3,12,17,11,1,8,1,20,6,10,15,4,20,19,3,5,4,,
4,6,5,1,20,5,20,2,20,3,7,3,4,20,8,12,5,1,7,3,,
10,20,5,2,20,6,20,10,20,10,20,15,15,20,15,20,1,9,20,10,,
7,20,20,5,20,20,1,20,20,20,20,20,6,20,1,3,20,20,20,3,,
2,20,20,4,5,1,20,20,20,6,20,8,20,9,20,20,20,2,7,16,,
1,4,6,4,3,1,3,2,6,3,6,1,1,4,3,6,1,4,5,2,,
2,1,20,10,20,20,15,2,20,3,20,10,20,20,1,20,20,3,20,10,,
14,2,10,5,9,4,17,18,16,3,13,1,12,19,15,20,8,5,5,11,,
1,20,20,5,10,1,20,1,20,2,20,10,2,10,10,20,10,6,6,2,,
20,20,20,2,20,20,4,20,8,3,20,20,5,6,20,3,6,20,20,1,,
5,19,2,2,15,15,15,10,19,1,19,15,19,1,1,19,10,19,19,5,,
2,5,10,14,4,11,7,1,18,3,17,8,6,16,9,15,19,20,13,12,,
20,20,20,1,20,20,20,20,20,20,20,1,1,20,20,1,20,20,20,20,,
1,10,17,7,6,4,10,3,20,9,20,2,5,8,19,20,20,14,20,12,,
1,20,3,20,20,2,20,1,20,20,20,4,20,20,20,20,20,20,20,20,,
10,5,20,10,10,15,1,20,5,15,20,1,15,15,5,10,15,10,10,10,,
6,7,20,11,19,3,14,13,12,5,17,15,16,2,4,10,18,9,8,1,,
20,20,20,1,20,1,20,20,20,20,20,20,1,1,20,20,1,20,20,1,,
1,10,18,4,14,8,15,6,2,3,17,11,19,16,5,13,20,7,12,9,,
4,20,20,3,20,20,20,20,20,2,20,6,20,20,1,20,20,20,20,5,,
14,19,8,3,2,17,1,15,4,18,16,20,12,13,7,11,10,5,6,9,,
13,10,4,3,20,10,3,10,20,3,20,1,1,20,5,20,3,20,10,10,,
20,20,20,20,1,1,20,20,20,1,1,1,20,20,1,20,20,20,20,20,,
12,1,19,3,1,2,15,19,10,1,20,15,10,10,20,19,10,10,16,10,,
3,20,20,6,20,4,20,1,20,5,20,4,20,20,20,20,2,20,20,7,,
6,12,1,13,8,19,10,3,16,9,11,7,5,14,4,20,2,17,18,15,,
1,2,20,20,20,20,20,1,20,20,20,3,20,20,20,20,20,20,20,20,,
20,4,2,20,20,3,4,20,6,2,20,20,20,1,3,20,20,20,20,5,,
6,20,20,4,20,20,4,3,5,20,20,1,2,20,20,20,7,20,20,20,,
13,15,19,8,2,11,17,7,9,4,18,6,12,16,3,20,10,5,14,1,,
20,10,11,20,3,5,2,20,20,1,8,6,20,20,9,20,7,20,20,4,,
9,16,3,8,7,5,6,10,13,4,19,11,14,12,1,17,20,15,18,2,,
6,20,7,1,10,20,9,7,19,8,18,10,2,5,11,3,4,17,16,3,,
3,4,20,20,5,3,20,2,20,1,20,4,3,1,20,20,20,20,20,3,,
20,20,20,5,20,7,20,20,4,1,2,3,20,20,20,6,20,20,20,20,,
2,9,15,3,17,10,16,12,6,11,20,1,4,5,8,13,19,18,7,14,,
11,3,19,1,14,18,12,6,4,5,16,7,13,9,2,10,15,8,20,17,,
1,20,20,2,20,20,20,1,20,2,20,3,20,1,2,3,20,2,20,20,,
1,12,16,13,15,1,10,1,8,9,20,11,17,17,4,16,5,19,14,3,,
2,4,7,3,10,17,9,19,15,13,18,8,1,14,6,20,5,12,16,14,,
20,4,1,20,20,20,6,20,20,5,20,20,20,3,20,20,20,20,2,20,,
1,15,17,9,18,2,16,4,13,5,19,3,12,6,14,20,8,10,11,7,,
5,2,18,6,20,3,17,4,20,12,20,5,20,20,1,20,20,20,20,6,,
