rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,rank21,rank22,rank23,rank24,rank25,numSeats,numCands
25,25,2,25,25,25,25,25,25,25,25,25,25,25,25,24,25,25,25,25,1,3,25,25,25,1.0,25.0
25,10,2,11,13,15,25,25,1,3,25,25,25,25,9,6,25,25,8,4,25,7,14,5,12,,
25,25,1,25,25,25,25,25,25,25,25,25,25,25,25,5,25,25,4,25,2,3,25,25,25,,
25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,1,2,25,25,25,,
25,25,3,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,1,4,25,2,25,,
25,25,2,25,25,4,25,25,25,25,25,25,25,25,25,5,25,25,25,25,3,4,25,1,25,,
25,25,25,25,25,5,25,25,25,25,25,25,25,25,6,2,25,25,25,25,1,3,25,4,25,,
25,5,1,25,25,25,7,25,9,25,4,25,25,12,25,11,25,25,10,6,3,2,25,8,25,,
21,9,2,14,20,15,7,23,13,24,17,18,5,25,4,16,11,12,10,6,1,3,22,8,19,,
25,4,1,25,25,20,25,25,20,25,7,25,25,25,25,20,25,25,20,7,2,6,25,10,10,,
25,25,1,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,2,4,25,3,25,,
25,2,6,25,25,25,25,25,25,25,5,25,7,25,25,25,25,25,25,25,1,4,25,3,25,,
25,25,1,25,25,6,25,25,25,25,25,25,5,25,25,25,25,25,3,25,25,2,25,4,25,,
25,25,25,25,25,25,25,25,25,25,25,25,25,25,2,25,25,25,25,25,1,25,25,25,25,,
25,25,21,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,24,25,1,22,25,23,25,,
25,25,2,25,25,25,25,25,25,25,4,25,6,25,25,25,25,25,5,4,1,3,25,25,25,,
25,6,5,25,25,10,25,25,11,25,25,25,4,25,9,8,25,25,7,25,1,2,25,3,25,,
17,12,1,13,14,5,19,20,22,11,6,25,9,21,23,7,10,16,8,24,2,3,18,4,15,,
24,24,6,24,24,10,5,24,24,24,7,3,4,24,1,25,24,24,11,12,2,8,24,9,24,,
25,25,3,25,25,25,2,25,25,25,25,25,25,25,25,25,4,25,25,25,1,25,25,25,25,,
17,6,19,17,17,1,5,17,24,17,17,19,4,17,2,22,21,17,3,24,5,25,17,21,17,,
25,3,2,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,2,25,25,25,25,,
25,25,1,25,25,25,25,25,25,25,25,25,25,25,25,3,25,25,25,25,25,25,25,2,25,,
20,7,1,15,13,6,21,24,10,18,9,14,23,25,16,8,12,19,5,11,2,3,22,4,17,,
13,7,1,13,13,9,13,13,12,13,4,25,23,22,24,5,13,13,10,8,2,3,11,6,13,,
25,24,2,25,25,25,24,25,25,25,3,24,24,25,25,25,25,25,25,25,1,24,25,24,25,,
17,13,1,4,9,7,19,21,8,17,6,23,18,22,25,12,24,16,5,10,11,3,20,2,14,,
19,13,3,16,15,6,21,22,13,17,13,25,1,23,4,10,8,18,7,9,2,11,20,5,24,,
15,8,2,15,15,9,5,15,10,15,3,14,12,15,15,13,15,15,7,10,1,4,15,6,15,,
25,5,1,25,25,8,25,25,10,25,11,25,25,25,25,25,6,25,7,9,4,3,25,2,25,,
25,25,1,25,25,8,25,25,25,25,25,25,25,25,25,7,25,25,6,4,2,3,25,5,25,,
25,25,4,25,25,25,3,25,25,25,25,2,25,25,25,25,25,25,25,25,1,25,25,25,25,,
7,7,2,7,7,5,7,7,7,7,7,7,7,7,3,6,7,7,7,7,1,4,7,7,7,,
25,5,1,8,25,10,25,25,13,25,7,25,12,25,23,24,9,25,6,4,3,2,25,11,25,,
24,6,1,24,24,10,24,24,7,24,24,25,11,24,8,23,24,24,3,12,5,4,24,2,24,,
20,9,1,20,20,7,20,20,22,20,20,23,25,20,5,21,24,20,8,4,3,6,20,2,20,,
25,25,3,25,25,25,25,25,25,25,25,25,1,25,25,5,25,25,5,25,2,3,25,4,25,,
24,10,2,24,24,4,24,24,9,24,24,24,8,24,11,24,25,24,6,7,1,5,24,3,24,,
25,25,1,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,2,25,25,25,,
25,25,2,25,25,25,20,25,25,25,20,25,25,25,10,25,25,25,25,25,1,25,25,24,25,,
25,4,1,25,25,4,25,25,4,25,25,25,3,25,25,5,25,25,4,25,2,3,25,3,25,,
25,25,1,25,25,25,25,25,25,25,25,25,25,25,25,3,25,25,25,25,25,25,25,2,25,,
20,9,25,20,20,4,24,24,21,20,13,13,5,24,8,10,20,20,6,7,2,1,24,3,20,,
20,7,1,19,23,17,13,22,8,24,9,7,16,25,15,11,10,14,4,12,2,3,22,5,18,,
25,25,25,25,25,3,25,25,25,25,25,25,25,25,3,4,25,25,25,25,2,25,25,1,25,,
24,12,2,24,24,3,24,24,12,24,12,24,12,13,12,25,24,24,12,24,1,12,24,12,24,,
25,25,22,25,25,25,25,25,25,25,25,25,24,25,23,25,25,25,25,25,1,25,25,25,25,,
25,25,1,25,25,25,25,25,25,25,25,25,25,25,25,8,25,25,25,25,2,25,25,25,25,,
24,24,2,24,24,24,4,24,24,24,24,24,3,24,5,25,24,24,24,24,1,25,24,24,24,,
25,25,2,23,25,10,25,25,8,24,9,25,23,25,25,24,7,25,6,3,1,5,25,4,25,,
9,9,3,9,9,5,9,9,9,9,9,9,7,9,9,6,9,9,8,9,1,4,9,2,9,,
