rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,rank21,rank22,rank23,rank24,rank25,rank26,rank27,rank28,rank29,rank30,rank31,rank32,rank33,rank34,numSeats,numCands
15,6,5,32,2,3,11,31,28,34,1,33,22,16,18,4,19,10,30,23,8,24,21,17,27,9,29,26,7,20,12,13,25,14,1.0,34.0
34,3,34,34,34,1,34,34,34,34,34,34,34,5,34,2,34,34,34,34,34,34,34,34,34,4,34,34,34,34,34,34,34,34,,
18,13,9,5,15,6,21,4,29,31,32,34,8,28,2,11,1,26,25,10,20,12,27,23,24,30,3,7,14,22,33,16,19,17,,
Skipped,20,13,34,9,2,25,32,15,28,3,29,10,11,10,1,4,30,Skipped,27,16,6,8,3,26,3,18,19,7,12,5,17,14,10,,
34,34,34,34,34,2,34,34,34,34,3,34,34,34,34,1,34,34,34,34,34,34,34,34,34,4,34,34,34,34,34,34,34,34,,
34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,,
5,8,7,34,34,2,34,34,34,34,4,34,34,34,34,1,34,6,34,34,34,34,34,34,34,3,34,34,34,34,34,34,34,34,,
32,32,3,34,4,10,32,24,6,32,1,33,9,12,20,11,21,7,16,14,32,23,15,18,25,13,17,22,2,32,8,19,32,5,,
Skipped,Skipped,2,28,6,4,Skipped,18,25,Skipped,1,Skipped,13,16,9,8,12,5,23,21,24,14,20,17,Skipped,3,22,27,7,15,10,19,26,11,,
34,34,34,34,34,3,34,34,34,34,1,34,34,34,34,7,34,34,34,34,34,34,34,8,34,34,34,34,2,34,4,34,34,5,,
6,1,34,34,34,3,34,34,34,34,34,10,34,5,9,2,4,34,34,34,34,34,34,8,34,34,7,34,34,34,34,34,34,34,,
34,16,8,34,9,1,34,34,17,34,3,34,34,6,11,2,18,19,34,34,4,34,34,13,34,12,34,34,14,34,15,10,7,5,,
20,6,5,34,5,2,26,29,9,25,8,32,13,30,27,1,10,4,29,33,25,30,27,24,34,14,15,32,12,28,7,33,28,17,,
3,2,34,34,34,4,34,34,34,34,34,34,34,34,34,1,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,,
34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,,
6,8,34,4,34,1,14,34,3,17,34,34,34,10,19,7,20,34,16,18,5,34,12,34,11,34,2,34,34,15,34,9,34,13,,
14,10,25,34,28,4,Skipped,11,Skipped,Skipped,30,33,14,18,9,11,22,17,Skipped,16,29,19,26,24,Skipped,32,12,15,13,20,8,31,27,30,,
24,2,34,34,34,1,34,34,34,34,29,34,30,32,34,1,22,27,31,34,25,34,34,26,34,34,33,34,34,23,28,34,34,24,,
