rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,numSeats,numCands
Skipped,Skipped,2,10,Skipped,9,1,Skipped,8,Skipped,1.0,10.0
3,10,10,10,1,5,2,4,10,6,,
7,5,4,6,8,2,3,1,9,10,,
3,5,2,6,8,7,1,4,10,9,,
10,3,10,2,10,10,10,10,4,1,,
10,10,10,1,10,10,10,10,2,3,,
8,10,4,9,7,3,1,2,6,5,,
7,3,6,1,2,10,8,9,4,5,,
10,4,2,10,10,3,10,10,10,1,,
1,2,10,6,5,10,3,10,5,2,,
2,10,10,10,3,3,1,10,3,10,,
3,10,10,10,4,10,10,1,10,10,,
2,8,2,9,9,6,4,1,10,7,,
1,9,5,10,3,7,4,2,8,6,,
1,10,10,10,2,7,5,1,10,10,,
1,10,7,8,5,4,3,2,9,6,,
8,6,10,4,9,1,2,7,3,5,,
10,2,10,3,10,10,10,10,10,1,,
9,3,10,2,7,5,4,8,6,1,,
10,1,3,10,10,10,10,10,3,2,,
10,10,1,10,10,10,10,10,10,10,,
10,1,10,3,10,5,5,10,1,4,,
Skipped,3,Skipped,4,Skipped,Skipped,Skipped,Skipped,2,1,,
9,9,5,9,3,1,2,4,9,10,,
10,2,10,10,10,10,10,10,10,1,,
4,1,10,3,3,5,1,Skipped,1,1,,
10,10,10,10,10,10,10,1,10,10,,
9,2,7,3,8,5,6,10,4,1,,
Skipped,Skipped,Skipped,2,Skipped,3,1,Skipped,Skipped,Skipped,,
10,5,2,1,4,10,3,7,10,6,,
6,4,3,7,10,1,2,5,8,9,,
5,10,6,7,3,1,2,4,10,10,,
10,6,5,3,7,1,10,10,4,2,,
7,8,2,10,6,1,3,9,4,5,,
10,2,10,4,10,3,1,10,5,2,,
