rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,numSeats,numCands
3,6,4,2,9,11,7,8,1,5,10,1.0,11.0
1,7,5,4,6,9,3,11,2,10,8,,
1,9,4,3,10,8,7,11,2,5,6,,
3,4,6,5,8,9,2,10,1,7,11,,
1,3,11,5,11,11,11,11,2,4,6,,
1,2,11,1,4,3,11,5,1,4,11,,
1,7,8,4,10,9,3,11,2,5,6,,
1,5,11,2,9,9,10,6,3,4,7,,
7,3,7,1,9,11,8,5,4,10,2,,
6,1,2,7,9,4,5,11,3,10,8,,
1,2,10,9,8,7,3,6,4,5,11,,
1,6,8,2,5,10,3,9,4,11,7,,
1,8,6,3,11,10,7,5,2,4,10,,
1,1,11,1,11,11,11,2,3,11,11,,
2,5,7,3,10,9,6,11,1,4,8,,
2,3,8,1,10,11,5,7,6,4,9,,
2,2,11,11,11,11,11,11,3,4,11,,
1,9,6,2,10,11,4,7,3,8,5,,
1,11,10,7,9,6,2,5,4,8,3,,
1,9,10,7,5,6,2,11,3,4,8,,
1,2,7,3,9,11,8,11,7,5,4,,
9,3,7,8,5,11,4,10,6,1,2,,
2,5,10,7,9,6,3,11,1,8,4,,
1,10,5,4,7,6,2,8,3,9,11,,
4,6,8,3,5,9,2,7,1,10,11,,
1,6,5,11,11,7,11,2,4,7,3,,
3,5,4,2,7,11,6,11,1,8,11,,
1,8,7,2,4,6,9,10,3,5,11,,
1,8,8,3,4,11,11,8,2,9,8,,
3,4,6,3,7,11,6,8,1,10,9,,
1,3,10,3,8,11,6,9,1,2,4,,
1,10,7,4,6,3,5,11,2,8,9,,
4,5,6,2,11,9,3,7,1,8,10,,
3,1,2,4,8,11,6,11,5,7,11,,
4,2,7,9,11,10,5,6,1,3,8,,
2,7,3,4,11,5,1,10,8,9,6,,
2,5,6,1,10,10,3,8,7,4,11,,
2,10,7,8,4,5,3,11,1,6,9,,
4,7,2,1,9,8,3,11,6,5,10,,
1,8,9,7,2,11,3,10,5,6,4,,
1,9,7,3,5,10,6,8,2,4,11,,
4,1,5,8,7,3,6,11,2,9,10,,
2,3,11,11,11,11,11,11,1,11,11,,
7,8,11,5,6,9,1,10,2,4,3,,
1,1,11,11,11,11,11,2,11,11,11,,
1,5,9,3,11,7,2,8,10,6,4,,
1,5,11,10,2,9,8,7,3,4,6,,
1,10,9,2,5,11,3,8,4,6,7,,
1,6,8,3,11,9,5,7,2,4,10,,
6,3,7,4,11,10,6,9,2,1,8,,
1,8,3,4,7,9,5,11,2,6,10,,
2,6,8,3,5,11,1,10,4,9,7,,
3,7,8,4,1,10,2,11,5,6,9,,
3,8,10,1,6,9,5,11,4,2,7,,
1,4,6,7,8,11,3,10,2,5,10,,
5,4,7,1,3,10,6,11,2,8,9,,
3,9,2,10,9,11,9,4,9,1,9,,
2,4,5,6,7,10,9,8,3,1,11,,
1,2,6,8,10,9,11,3,5,7,4,,
1,7,6,2,8,9,3,10,5,4,11,,
4,6,9,3,11,9,5,9,1,2,9,,
11,6,9,1,11,2,3,10,5,11,8,,
1,10,10,3,10,11,4,10,2,10,10,,
1,5,8,2,10,6,3,9,4,11,7,,
3,7,5,1,9,8,4,11,2,6,10,,
1,6,7,2,5,11,3,8,4,9,11,,
1,6,4,3,5,8,9,7,2,10,11,,
2,6,7,1,11,9,4,10,3,9,5,,
2,1,9,4,10,8,5,11,7,6,3,,
2,7,6,3,8,10,4,9,1,5,11,,
1,7,4,3,10,5,8,11,6,8,2,,
6,9,3,7,5,4,10,11,2,1,8,,
1,3,6,5,2,9,7,10,4,8,11,,
2,5,8,3,11,7,1,9,6,4,10,,
1,4,11,9,10,7,2,5,8,3,6,,
5,3,2,1,9,8,7,4,6,10,11,,
1,8,9,5,10,3,4,11,6,7,2,,
2,5,8,1,9,6,7,10,3,4,11,,
4,7,8,5,11,10,3,2,1,6,9,,
2,10,5,1,6,9,3,7,4,11,8,,
1,2,6,3,9,11,8,4,5,10,7,,
1,7,6,5,11,10,4,9,3,2,8,,
1,3,11,2,9,8,4,10,5,7,6,,
1,4,11,2,9,11,5,8,3,6,7,,
2,10,5,4,6,1,10,11,3,10,11,,
1,5,4,6,9,3,8,7,2,10,11,,
1,10,5,3,6,11,7,9,2,4,8,,
