rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,numSeats,numCands
9,5,1,4,9,2,9,4,9,1.0,9.0
1,3,4,2,4,4,9,4,4,,
4,5,6,1,3,9,2,8,7,,
9,9,1,9,9,2,9,9,9,,
2,6,2,1,5,4,6,2,2,,
9,5,9,4,3,9,1,9,2,,
8,6,4,2,5,3,9,1,7,,
5,3,9,7,4,8,1,6,2,,
9,9,9,2,4,3,9,1,5,,
1,9,6,2,3,5,9,4,9,,
1,7,6,2,3,5,9,4,8,,
1,7,2,3,4,8,6,8,5,,
9,8,7,4,2,8,1,3,5,,
3,7,6,2,1,9,8,5,4,,
8,8,1,5,3,2,4,8,8,,
3,5,4,6,1,8,9,7,2,,
9,9,1,9,9,2,9,9,9,,
9,9,1,9,3,2,4,9,9,,
5,9,9,1,2,9,4,9,3,,
1,6,7,4,2,8,9,5,3,,
9,9,3,2,1,9,3,9,9,,
3,4,1,9,5,2,7,8,6,,
5,7,8,3,1,9,2,6,4,,
1,8,5,7,2,6,3,9,4,,
9,9,5,2,2,9,1,4,9,,
5,6,5,5,5,7,8,4,9,,
9,9,9,2,1,9,1,9,9,,
5,4,8,7,9,2,3,6,1,,
2,9,9,9,9,9,3,9,1,,
2,8,9,5,3,8,1,8,4,,
2,4,9,3,1,8,6,7,5,,
2,2,2,4,4,5,1,4,3,,
3,5,9,4,1,8,7,6,2,,
9,9,1,9,9,2,9,3,9,,
3,1,9,5,5,9,9,4,2,,
9,9,1,9,9,2,9,9,9,,
3,9,9,8,1,9,2,9,9,,
3,4,9,6,2,9,1,5,9,,
2,4,9,5,3,9,1,6,9,,
9,8,3,6,4,7,1,5,2,,
9,9,1,4,9,2,9,3,9,,
1,6,7,5,3,9,4,8,2,,
2,7,9,6,5,8,4,3,1,,
