rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,rank21,rank22,rank23,rank24,rank25,rank26,rank27,rank28,rank29,rank30,rank31,rank32,rank33,rank34,rank35,rank36,rank37,rank38,rank39,rank40,rank41,rank42,rank43,rank44,rank45,rank46,rank47,rank48,rank49,rank50,rank51,rank52,rank53,rank54,rank55,rank56,rank57,rank58,rank59,rank60,rank61,rank62,rank63,rank64,rank65,rank66,rank67,rank68,rank69,rank70,rank71,numSeats,numCands
71,71,71,71,71,31,33,71,35,7,27,71,71,14,71,34,71,71,71,24,23,20,20,9,71,18,4,32,71,71,71,27,71,1,12,3,71,71,71,20,71,71,5,11,36,6,71,2,36,71,17,15,71,71,71,24,19,71,71,71,71,26,10,16,28,71,71,13,27,8,71,1.0,71.0
71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,1,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,2,71,71,71,71,6,71,71,2,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,,
71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,,
71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,4,71,71,71,71,71,71,71,71,71,71,71,1,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,1,71,2,71,71,71,71,71,,
71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,10,71,4,71,71,71,62,71,71,71,9,71,71,3,71,6,71,71,71,71,71,71,7,71,71,5,71,8,71,71,1,71,71,2,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,,
19,61,33,50,68,55,40,68,48,45,9,49,52,42,54,37,57,22,46,20,22,44,5,6,69,24,13,71,58,41,38,32,51,1,2,14,70,39,35,53,65,59,10,10,60,12,36,7,62,63,3,18,27,3,66,29,16,34,43,47,30,31,23,15,26,28,64,21,25,11,56,,
41,53,42,36,71,35,17,63,42,12,18,18,39,19,45,36,52,55,33,50,55,43,35,11,60,28,13,13,71,31,37,30,40,2,4,8,71,17,38,59,24,51,3,14,36,5,12,1,37,43,9,26,22,6,64,33,29,26,25,58,29,14,11,7,27,32,44,12,34,24,10,,
71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,1,71,71,71,71,71,71,71,71,71,71,71,,
71,71,71,71,71,71,1,71,71,1,71,71,71,71,71,71,71,71,71,71,71,71,71,1,71,71,71,71,71,71,71,71,71,71,71,71,1,71,71,71,1,71,1,71,71,71,71,1,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,,
71,71,71,71,71,71,71,71,71,4,71,71,71,71,71,71,71,71,71,71,9,71,70,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,10,71,5,71,71,7,71,71,3,71,71,1,71,71,71,71,71,71,71,71,71,71,71,71,71,71,69,71,71,,
8,38,46,59,13,55,27,51,29,33,7,32,17,50,44,61,70,54,39,21,53,10,40,47,57,25,34,67,65,66,56,24,6,1,5,20,69,31,45,9,52,68,23,3,11,63,22,19,36,41,28,12,30,64,58,18,62,37,26,60,35,71,14,2,42,15,49,16,43,4,48,,
71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,6,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,4,71,71,71,71,71,71,71,71,71,58,71,71,71,1,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,,
71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,2,1,6,71,71,71,71,71,71,4,71,71,71,71,71,71,71,2,71,71,5,71,71,71,71,71,71,71,71,71,71,71,3,71,71,71,71,71,,
71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,2,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,1,71,71,71,71,71,,
71,71,71,71,71,71,71,71,71,4,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,2,71,71,71,71,71,71,71,71,1,71,71,71,71,5,71,71,3,71,71,6,71,71,71,71,71,71,71,71,71,71,71,71,71,5,71,71,71,,
71,71,71,11,71,18,71,71,71,9,71,71,71,71,71,71,71,71,71,71,13,71,71,9,71,71,71,71,71,71,71,71,71,71,1,71,71,71,71,71,71,71,2,6,71,5,71,71,71,71,3,71,71,6,71,71,71,71,71,71,71,71,10,71,71,3,71,5,71,71,71,,
68,68,68,68,70,68,68,68,68,5,68,68,2,68,3,68,68,68,68,68,68,68,68,71,68,68,68,68,68,68,68,68,68,68,6,68,69,4,68,68,68,68,68,68,68,68,68,1,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,,
32,71,71,71,71,71,71,71,71,27,22,39,71,31,71,6,71,42,71,71,22,29,31,27,71,71,11,71,71,44,71,71,71,5,17,8,71,30,71,44,71,71,3,11,71,20,71,5,71,71,1,12,37,16,71,71,12,71,71,68,38,52,40,20,32,8,71,20,71,25,22,,
71,34,71,27,71,71,71,71,38,11,9,71,71,71,17,40,71,41,26,29,36,43,20,15,71,39,25,45,71,71,71,21,31,2,6,7,71,18,71,44,71,71,1,12,71,24,71,4,71,37,71,19,32,16,71,10,22,42,71,35,71,14,33,13,28,3,71,8,30,5,71,,
3,71,71,71,71,71,14,71,71,71,71,71,71,71,71,1,71,71,71,71,71,71,12,71,15,71,4,71,71,5,13,71,71,9,71,7,71,71,71,71,10,71,71,71,71,71,71,71,71,71,71,2,71,71,71,71,71,71,71,71,71,71,71,6,71,71,8,71,11,71,71,,
14,71,71,71,71,71,71,71,71,10,21,71,71,13,71,2,71,71,71,71,71,71,71,71,71,71,6,71,71,71,71,71,71,9,19,4,71,11,71,71,71,71,5,18,71,1,71,7,71,71,71,71,71,3,71,15,71,71,71,16,71,71,20,71,71,71,71,17,71,8,12,,
38,54,34,48,17,67,40,44,68,28,4,45,29,58,51,10,70,31,59,35,32,52,5,21,37,65,30,63,61,60,33,15,50,9,36,14,49,25,24,26,53,1,6,39,64,12,16,23,66,56,43,22,55,2,57,20,19,69,62,27,18,46,13,11,41,7,71,3,47,8,42,,
29,30,71,71,71,71,71,17,71,11,16,71,71,23,7,71,71,71,24,71,19,71,8,12,71,71,32,71,71,71,10,71,27,9,3,6,71,71,71,71,34,71,5,71,71,71,71,2,71,26,35,31,71,20,71,18,71,28,71,25,21,71,22,13,33,4,71,1,71,14,15,,
71,71,71,71,71,71,71,71,71,71,3,71,71,71,71,71,71,71,71,71,71,71,5,2,71,71,71,71,71,71,71,71,71,3,2,71,71,71,71,71,71,71,71,71,71,71,71,1,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,4,71,71,71,,
70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,71,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,69,70,70,70,70,70,70,70,70,70,70,70,70,,
71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,1,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,,
71,71,71,71,71,71,71,71,71,71,3,71,71,71,71,71,71,71,71,71,71,71,71,8,71,71,71,71,71,71,71,71,71,9,6,17,71,18,71,71,71,71,1,5,71,71,71,71,71,71,4,11,71,71,71,71,71,71,16,71,71,2,19,71,71,71,71,71,71,10,71,,
