rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,numSeats,numCands
1,11,11,11,11,11,11,11,11,11,11,1.0,11.0
1,11,11,11,11,11,11,11,11,11,11,,
11,11,11,11,11,11,1,11,11,11,11,,
11,11,11,11,11,11,1,11,11,11,11,,
11,11,1,11,11,11,11,11,11,11,11,,
11,11,11,11,11,11,11,1,11,11,11,,
11,11,1,11,11,11,11,11,11,11,11,,
11,11,11,11,11,11,1,11,11,11,11,,
11,11,11,11,11,11,1,11,11,11,11,,
11,11,11,11,11,11,11,11,11,11,11,,
11,11,11,11,11,11,11,1,11,11,11,,
11,11,11,1,11,11,11,11,11,11,11,,
11,11,11,11,11,11,1,11,11,11,11,,
11,11,11,11,11,11,11,11,11,11,1,,
11,11,11,1,11,11,11,11,11,11,11,,
11,11,1,11,11,11,11,11,11,11,11,,
11,11,11,11,11,11,11,11,11,11,11,,
11,11,11,11,11,11,1,11,11,11,11,,
11,11,11,11,11,11,11,11,11,11,1,,
11,11,11,11,11,11,1,11,11,11,11,,
11,11,11,11,11,11,1,11,11,11,11,,
11,11,11,11,11,11,1,11,11,11,11,,
11,11,11,11,11,11,11,11,11,11,1,,
11,11,11,11,1,11,11,1,11,11,1,,
1,11,11,11,11,11,11,11,11,11,11,,
11,11,11,11,11,11,11,1,11,11,1,,
11,11,11,11,1,11,11,1,11,11,11,,
11,11,11,11,11,11,1,11,11,11,11,,
11,11,11,11,1,11,11,1,11,11,1,,
11,11,11,11,11,11,1,11,11,11,11,,
11,11,1,11,11,11,11,11,11,11,11,,
11,11,1,11,11,11,11,11,11,11,11,,
11,11,11,11,11,11,1,11,11,11,11,,
11,11,1,11,11,11,11,11,11,11,11,,
11,11,11,11,11,11,1,11,11,11,11,,
11,11,11,11,11,11,1,11,11,11,11,,
11,11,11,11,11,11,11,11,11,11,1,,
11,11,1,11,11,11,11,11,11,11,11,,
11,11,11,1,11,11,11,11,11,11,11,,
11,11,11,11,11,11,11,1,11,11,11,,
11,11,11,11,1,11,11,11,11,11,11,,
11,11,11,11,11,11,11,1,11,11,11,,
11,11,11,11,11,11,1,11,11,11,11,,
11,11,11,11,11,11,1,11,11,11,11,,
11,11,11,11,11,11,1,11,11,11,11,,
11,11,11,11,11,11,1,11,11,11,11,,
11,11,11,11,11,11,11,1,11,11,11,,
11,11,11,11,11,11,11,1,11,11,11,,
11,11,11,11,11,11,11,1,11,11,11,,
11,11,11,11,11,11,11,1,11,11,11,,
11,11,11,11,11,11,11,11,11,11,1,,
11,11,11,1,11,11,11,11,11,11,11,,
11,11,11,11,11,11,11,1,11,11,11,,
11,11,1,11,11,11,11,11,11,11,11,,
11,11,11,11,11,11,11,1,11,11,11,,
11,11,11,11,11,11,1,11,11,11,11,,
11,11,11,1,11,11,11,11,11,11,11,,
11,11,1,11,11,11,11,11,11,11,11,,
10,10,10,10,10,10,10,1,10,10,10,,
11,11,11,11,11,11,1,11,11,11,11,,
11,11,11,11,11,11,1,11,11,11,11,,
11,11,11,11,11,11,1,11,11,11,11,,
11,11,11,11,11,11,11,11,11,11,11,,
11,11,11,11,11,11,1,11,11,11,11,,
11,11,1,11,11,11,11,11,11,11,11,,
11,11,11,11,11,11,11,11,11,11,11,,
11,11,11,1,11,11,11,11,11,11,11,,
11,11,1,11,11,11,11,11,11,11,11,,
11,11,1,11,11,11,11,11,11,11,11,,
11,11,11,11,11,11,1,11,11,11,11,,
11,11,11,11,11,11,1,11,11,11,11,,
11,11,1,11,11,11,11,11,11,11,11,,
