rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,rank21,rank22,rank23,numSeats,numCands
23,2,1,23,11,6,7,3,14,9,13,4,23,5,23,16,15,12,10,8,17,23,23,1.0,23.0
13,3,15,4,23,11,17,6,14,22,9,2,1,20,19,16,18,7,12,5,10,21,8,,
23,23,23,23,23,23,23,2,23,23,23,3,23,23,23,23,23,1,23,23,23,23,23,,
22,22,22,6,22,3,1,5,22,22,6,22,22,22,22,23,Skipped,22,2,22,4,22,22,,
20,6,13,7,23,1,8,3,19,23,2,4,23,22,12,14,23,11,5,9,10,21,23,,
16,1,3,9,2,8,7,11,13,5,6,4,23,21,18,22,19,15,14,17,10,12,20,,
23,23,23,1,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,,
15,8,10,12,23,11,19,3,20,16,1,9,7,21,20,18,5,4,12,2,17,14,6,,
23,23,3,23,23,23,23,23,23,1,23,23,23,23,23,23,4,23,23,5,23,2,23,,
Skipped,9,7,Skipped,10,4,5,2,Skipped,Skipped,Skipped,6,Skipped,Skipped,Skipped,Skipped,8,Skipped,3,Skipped,1,Skipped,Skipped,,
20,16,18,10,22,4,2,15,5,13,6,8,Skipped,9,21,3,1,7,17,11,14,12,19,,
20,8,17,7,14,16,12,4,23,11,1,10,15,13,19,6,21,5,5,3,9,18,2,,
23,23,23,5,23,23,23,1,23,23,23,3,23,23,23,23,23,2,23,4,23,23,23,,
15,10,13,17,21,12,20,8,9,7,1,3,14,5,18,22,19,4,11,2,23,6,17,,
12,7,5,21,22,2,9,11,18,10,19,3,5,20,16,23,4,14,1,13,8,15,17,,
23,7,3,23,2,1,23,23,23,23,23,23,23,4,23,23,23,23,5,23,23,23,23,,
23,23,23,23,23,2,1,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,,
13,8,9,3,23,20,19,11,15,17,6,21,5,7,14,13,18,12,22,1,2,4,17,,
18,7,1,19,23,12,16,9,21,2,4,5,22,15,17,20,8,11,6,3,10,13,14,,
23,23,5,23,23,2,23,1,23,23,23,3,23,23,23,23,23,23,23,23,4,23,23,,
18,4,12,10,23,8,21,5,20,15,1,3,13,22,17,19,16,6,9,7,11,15,2,,
15,12,2,6,13,14,10,21,8,4,9,1,23,11,7,18,20,22,16,19,17,3,5,,
Skipped,6,9,Skipped,5,4,2,Skipped,Skipped,3,Skipped,10,22,7,1,Skipped,8,Skipped,Skipped,Skipped,Skipped,23,Skipped,,
Skipped,23,Skipped,4,23,10,Skipped,5,Skipped,Skipped,Skipped,3,2,22,Skipped,Skipped,Skipped,Skipped,1,5,Skipped,Skipped,Skipped,,
23,4,23,23,7,2,3,23,23,23,23,23,23,23,5,23,23,23,1,23,23,6,23,,
23,23,23,23,23,2,23,5,23,23,23,1,3,23,23,23,23,23,23,4,6,23,23,,
6,3,16,7,22,19,23,8,13,21,5,9,2,17,11,14,12,4,15,1,18,20,10,,
23,3,23,23,23,1,2,23,23,23,4,23,23,23,23,23,23,23,23,23,23,23,5,,
Skipped,Skipped,Skipped,5,Skipped,4,Skipped,6,Skipped,8,Skipped,3,9,Skipped,Skipped,Skipped,Skipped,Skipped,1,7,2,Skipped,Skipped,,
23,1,3,23,23,3,23,23,23,23,23,2,23,23,23,23,23,23,4,23,5,23,23,,
17,6,2,7,5,15,19,3,10,22,18,1,20,11,16,14,12,9,23,4,13,21,8,,
10,2,10,10,23,10,10,23,23,2,10,2,11,13,10,23,12,10,9,11,1,10,10,,
