rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,rank21,rank22,rank23,rank24,rank25,rank26,rank27,numSeats,numCands
27,27,27,27,27,27,27,27,27,1,27,27,27,27,27,27,27,27,27,27,10,27,27,27,27,27,27,1.0,27.0
27,4,27,27,27,27,27,27,8,2,27,27,6,1,27,5,27,27,3,27,27,27,27,27,27,7,27,,
27,27,27,27,27,27,27,27,27,27,27,27,27,27,2,27,27,27,27,27,27,27,27,27,27,27,1,,
27,2,27,27,27,27,27,27,27,27,27,27,27,1,27,27,27,27,27,27,27,27,27,27,27,27,27,,
26,2,14,8,5,16,24,24,27,1,3,6,24,10,25,9,25,26,4,24,24,8,13,24,7,24,12,,
27,27,27,1,1,27,27,1,1,27,27,27,1,27,27,27,27,1,27,27,27,1,27,27,27,27,27,,
27,27,27,27,27,27,27,27,27,27,1,27,27,27,27,27,27,27,27,27,27,27,27,27,1,27,27,,
27,27,27,27,27,27,27,27,1,27,1,27,27,27,27,27,27,27,1,27,27,27,27,27,27,27,27,,
27,3,27,27,27,27,27,27,27,2,27,27,1,27,27,27,27,27,4,27,27,27,27,27,27,27,27,,
27,2,3,27,27,27,27,27,27,4,27,27,27,27,27,27,27,27,27,27,27,27,27,27,1,27,27,,
27,2,27,27,11,27,7,27,3,1,4,10,6,27,27,27,27,27,5,27,8,27,27,27,9,12,27,,
2,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,1,27,27,27,27,,
27,3,27,27,9,27,6,8,27,5,2,27,27,27,7,27,27,27,1,27,27,27,27,27,4,27,27,,
1,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,1,27,27,27,27,,
27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,1,27,27,,
3,24,15,5,2,21,20,26,23,8,18,1,14,25,7,11,4,6,9,13,17,10,16,12,22,19,27,,
27,1,27,27,27,27,27,27,5,2,27,27,27,27,27,27,27,27,27,27,4,27,27,27,27,3,27,,
1,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,,
27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,1,27,27,27,,
11,3,11,11,11,11,11,11,11,9,11,11,10,11,6,2,11,11,1,11,7,5,4,11,8,11,11,,
2,3,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,1,27,27,27,27,,
27,27,27,5,3,27,27,8,11,2,27,7,6,27,10,27,27,1,27,27,9,27,27,27,27,27,4,,
27,3,27,27,27,27,27,27,27,1,27,27,27,27,27,27,27,27,4,2,27,27,27,27,27,27,27,,
