rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,rank21,rank22,rank23,rank24,rank25,rank26,rank27,rank28,rank29,rank30,rank31,rank32,rank33,rank34,rank35,rank36,rank37,rank38,rank39,rank40,rank41,rank42,rank43,rank44,rank45,rank46,rank47,rank48,rank49,rank50,rank51,numSeats,numCands
49,10,49,10,50,51,10,49,9,10,49,49,7,2,49,4,10,49,1,10,10,49,49,10,49,49,10,49,49,49,6,10,10,10,10,49,10,49,49,49,49,49,49,49,3,49,10,5,49,49,8,1.0,51.0
51,51,51,10,51,51,6,51,51,4,51,51,51,1,51,2,5,51,51,51,51,51,51,7,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,3,9,51,8,51,51,51,,
51,1,51,51,3,2,13,51,51,34,51,16,51,17,33,51,37,16,11,7,51,51,4,12,51,51,8,51,15,51,5,6,14,37,33,51,32,51,33,9,51,51,51,51,51,4,51,10,4,51,5,,
51,51,51,51,51,51,2,51,2,51,51,51,51,51,51,51,1,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,1,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,,
2,51,51,51,14,51,51,5,51,51,1,51,51,51,51,51,51,8,51,51,51,51,1,51,51,51,51,51,11,51,51,51,51,12,51,51,51,51,4,51,9,51,3,51,51,1,51,51,51,13,51,,
51,51,51,51,51,51,51,51,51,51,51,51,1,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,2,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,,
51,1,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,,
40,24,43,22,35,51,8,49,14,9,45,30,18,48,42,21,6,25,11,12,29,46,33,1,16,20,23,27,31,17,10,4,5,13,2,44,26,37,38,34,41,39,50,36,15,47,32,7,3,28,19,,
51,51,51,51,51,51,2,51,51,51,51,51,51,51,51,1,51,51,51,51,51,51,51,51,51,51,2,51,51,51,51,51,51,3,51,51,51,7,51,51,51,51,51,51,4,1,51,5,51,51,6,,
51,51,51,51,2,1,51,51,51,51,51,51,51,3,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,4,51,51,51,51,51,51,51,51,51,51,,
