rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,rank21,rank22,rank23,rank24,rank25,rank26,rank27,rank28,rank29,rank30,rank31,rank32,rank33,rank34,rank35,rank36,rank37,numSeats,numCands
14,37,21,20,30,1,32,26,3,5,28,12,2,9,10,16,34,11,7,13,17,27,22,8,29,33,35,6,31,15,4,25,18,19,36,24,23,1.0,37.0
23,34,19,27,35,26,31,13,32,2,35,3,8,18,6,25,28,20,9,21,7,1,11,10,35,16,29,17,5,14,33,22,15,24,30,4,12,,
12,36,37,37,37,16,37,5,2,37,37,37,37,8,17,37,35,18,1,14,37,19,37,4,37,6,34,11,3,15,13,37,7,9,33,10,37,,
37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,1,37,37,37,37,37,37,37,37,37,37,37,37,37,,
37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,,
37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,1,37,37,37,37,37,37,37,37,37,37,37,,
37,37,37,37,37,37,37,37,37,37,37,37,37,37,1,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,,
27,27,37,27,35,32,33,27,7,4,27,5,31,27,8,27,6,29,2,30,27,27,36,28,27,27,27,27,9,27,34,27,3,27,1,27,27,,
37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,,
1,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,1,37,37,37,37,37,37,37,,
37,37,37,37,37,37,37,37,37,37,37,37,1,37,37,37,3,37,37,37,37,6,37,37,37,7,4,2,37,37,37,37,37,37,5,37,37,,
37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,1,37,37,37,37,37,37,37,37,37,3,37,37,37,37,37,2,37,37,37,37,,
21,22,5,31,5,6,7,24,2,8,18,36,9,34,14,33,17,14,29,14,35,23,1,32,16,37,27,14,3,15,14,30,20,26,28,25,19,,
37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,2,37,37,37,37,37,37,37,37,37,37,37,37,37,37,1,37,37,37,,
4,36,36,36,36,36,36,36,36,36,36,36,36,5,36,36,36,36,36,36,36,1,8,6,36,36,36,36,8,2,36,36,36,3,36,36,37,,
37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,1,37,37,37,37,37,37,,
12,37,26,22,23,29,24,14,6,27,30,4,20,5,1,7,35,25,3,16,31,36,10,21,19,32,34,15,11,9,2,8,17,13,33,18,28,,
37,37,37,37,37,37,37,37,37,37,37,2,37,37,37,37,3,37,37,37,2,37,37,37,37,37,37,37,37,37,1,37,37,37,37,37,37,,
13,37,12,30,34,18,3,17,14,1,35,9,20,10,6,36,24,29,5,21,19,16,22,4,33,25,23,15,7,11,2,32,26,8,27,31,28,,
37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,1,37,,
8,13,16,21,36,20,18,9,15,18,37,2,18,4,1,26,29,24,5,18,32,29,22,12,35,31,31,6,10,7,14,11,3,17,31,34,33,,
37,37,37,37,37,37,37,37,37,1,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,,
37,37,37,37,37,37,37,37,37,37,37,37,1,2,37,37,37,37,37,37,37,5,37,37,37,4,37,37,37,3,37,37,37,37,37,37,37,,
37,37,37,37,37,37,37,37,37,1,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,,
37,37,37,7,37,3,37,37,37,37,37,37,1,37,5,37,1,37,1,37,37,37,37,37,37,37,37,37,37,37,1,37,37,37,37,37,37,,
37,37,1,37,37,37,37,37,37,37,37,1,37,37,37,1,37,37,37,37,37,37,37,1,37,37,37,37,37,37,1,37,37,37,37,37,37,,
37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,1,37,37,37,37,37,37,37,37,37,37,37,37,37,,
37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,,
37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,,
37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,1,37,37,37,37,37,37,37,37,37,37,37,,
24,36,16,24,16,10,9,25,6,12,37,36,14,3,16,7,36,24,2,16,5,8,15,24,27,36,36,16,13,24,1,4,11,24,36,36,36,,
37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,2,37,37,37,37,37,37,37,37,1,37,3,37,37,37,37,37,37,37,,
37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,,
