rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,rank21,rank22,rank23,rank24,rank25,numSeats,numCands
25,25,25,25,25,25,25,2,25,5,25,8,25,1,25,25,11,6,10,25,25,25,4,25,3,1.0,25.0
25,25,6,25,25,25,25,25,25,3,25,25,6,25,25,25,9,25,25,25,25,25,1,25,25,,
25,25,25,25,3,25,25,25,10,25,25,4,9,2,25,25,5,25,7,11,25,25,1,8,6,,
25,25,25,2,25,25,25,25,25,25,25,25,3,25,25,25,2,25,1,25,25,25,1,25,3,,
25,25,25,3,5,25,25,25,25,9,25,10,25,6,25,4,7,25,8,25,25,25,1,11,2,,
25,25,25,4,1,13,25,7,25,25,25,9,5,14,25,10,6,25,12,2,25,11,8,15,3,,
25,25,25,25,10,25,25,4,25,25,25,9,2,25,25,25,5,5,25,25,11,3,25,6,1,,
25,25,7,25,5,25,3,9,25,25,6,11,8,10,2,25,25,25,25,1,25,25,4,25,25,,
25,25,25,25,11,10,10,25,1,25,25,10,2,25,25,5,25,7,25,25,6,25,3,10,4,,
25,25,3,3,25,25,25,25,25,25,25,25,25,25,25,1,25,25,25,25,25,25,1,25,3,,
25,25,25,1,25,25,25,25,25,25,25,25,1,1,25,1,25,25,25,1,25,25,1,25,1,,
24,1,25,20,13,16,19,13,19,23,17,22,21,13,14,8,4,7,16,10,9,2,3,6,5,,
25,1,25,25,25,25,25,25,25,25,25,25,12,25,25,25,3,25,25,25,12,1,25,25,4,,
25,25,25,2,25,25,25,25,25,25,25,25,23,24,25,6,25,25,25,3,25,25,1,25,4,,
25,25,25,25,25,25,7,25,10,6,25,25,5,25,8,1,4,25,3,9,25,25,2,25,11,,
22,24,11,2,4,17,8,10,21,18,23,20,16,25,15,7,3,13,5,19,12,14,1,9,6,,
5,25,7,25,25,25,25,25,25,25,3,25,25,25,25,25,6,25,1,25,2,25,25,25,4,,
25,25,25,25,25,25,25,24,25,25,19,25,10,25,25,25,25,25,25,25,25,25,11,1,23,,
25,1,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,2,25,25,25,,
25,25,1,3,25,25,25,25,25,25,25,25,2,25,1,25,25,25,4,25,25,25,2,25,4,,
