rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,numSeats,numCands
2,6,9,7,8,5,3,4,1,1.0,9.0
5,6,1,3,9,8,2,4,7,,
3,7,8,9,1,5,4,6,2,,
1,9,5,6,4,2,3,8,7,,
8,6,4,7,5,3,2,1,9,,
9,3,9,9,9,4,1,9,2,,
1,9,4,9,2,3,2,2,9,,
3,4,9,4,5,1,2,9,9,,
9,9,3,9,1,9,3,2,9,,
1,9,9,9,9,9,9,9,9,,
9,8,8,1,7,6,8,7,9,,
3,9,5,4,7,2,8,1,6,,
3,5,8,1,7,2,9,4,7,,
9,1,8,3,7,5,4,6,2,,
1,9,9,9,9,1,1,9,1,,
2,1,6,7,8,3,4,9,5,,
1,9,6,5,8,2,7,3,4,,
7,9,1,3,5,6,2,4,8,,
3,8,9,1,2,2,7,6,4,,
5,6,3,8,5,4,8,4,8,,
7,9,1,3,6,2,4,5,8,,
5,6,4,8,1,9,3,2,7,,
2,6,9,4,8,5,9,1,9,,
9,3,9,9,9,9,2,4,1,,
7,8,9,1,3,5,6,4,2,,
9,9,9,4,2,1,9,3,9,,
9,9,1,9,9,9,9,9,9,,
3,5,4,9,6,4,1,2,7,,
4,8,9,1,3,6,5,2,7,,
2,1,9,9,9,9,9,9,9,,
5,9,4,8,6,2,3,1,7,,
6,9,6,9,2,6,9,1,6,,
9,4,3,9,2,9,1,9,9,,
5,1,7,2,4,6,8,9,3,,
9,9,3,9,5,1,4,2,9,,
6,8,7,5,2,4,3,1,9,,
3,7,8,9,4,2,6,5,1,,
2,6,4,8,9,3,1,7,5,,
9,4,9,9,2,3,1,9,9,,
5,9,9,6,9,9,9,5,9,,
4,1,9,3,9,2,9,9,9,,
3,7,9,8,1,4,5,2,6,,
4,5,7,6,6,2,2,6,1,,
