rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,numSeats,numCands
3,14,10,2,5,6,17,13,1,9,11,8,4,16,7,12,15,1.0,17.0
3,9,9,3,1,9,15,2,3,12,12,3,3,15,3,12,15,,
3,2,1,2,17,17,17,1,2,3,17,3,1,3,17,17,17,,
3,12,6,10,5,8,16,4,7,14,9,2,11,17,1,15,13,,
1,15,6,3,10,11,5,17,12,9,2,16,7,4,11,8,14,,
9,15,6,1,4,2,16,12,8,11,10,13,14,7,3,5,17,,
5,13,3,11,10,16,17,9,2,17,8,6,7,14,1,12,15,,
2,11,13,1,12,3,17,15,8,5,4,12,16,14,6,7,10,,
3,5,12,9,14,4,15,6,13,2,9,7,10,16,11,1,17,,
7,17,17,2,1,17,17,17,5,17,17,3,4,17,17,6,17,,
8,15,2,4,11,5,13,3,1,16,7,10,6,9,17,14,12,,
5,16,2,14,7,11,15,6,3,9,10,4,12,13,1,8,17,,
2,12,1,9,15,14,13,3,11,4,7,5,10,8,6,16,17,,
11,3,15,9,4,6,5,8,16,1,13,10,17,14,12,2,7,,
1,17,1,17,17,17,17,4,2,17,17,17,17,17,17,17,17,,
4,14,2,7,13,17,9,3,1,11,15,6,12,8,5,16,10,,
14,10,3,15,2,14,10,14,14,14,10,16,17,13,1,4,10,,
17,17,17,17,17,17,17,17,17,1,17,17,17,17,17,17,17,,
5,10,13,2,12,9,15,8,6,1,11,7,3,14,4,17,16,,
4,11,2,6,17,8,3,9,7,13,5,10,16,15,1,14,12,,
5,9,4,9,13,3,17,10,1,14,11,7,6,12,2,16,15,,
9,15,6,1,4,2,16,12,8,11,10,13,14,7,3,5,17,,
11,13,1,16,9,3,14,10,6,17,12,7,2,8,5,4,15,,
9,17,1,7,10,5,17,3,8,13,4,11,6,17,2,12,17,,
12,13,9,11,7,6,17,1,2,8,10,15,5,14,3,4,16,,
6,16,2,15,11,3,4,13,1,8,9,17,7,14,12,5,10,,
3,12,1,7,11,2,17,4,6,13,5,8,10,14,9,15,16,,
5,15,11,6,12,3,16,2,7,4,1,9,10,14,8,13,17,,
9,15,6,1,4,2,16,12,8,11,10,13,14,7,3,5,17,,
9,15,6,1,4,2,16,12,8,11,10,13,14,7,3,5,17,,
2,15,11,8,6,10,16,7,1,14,9,5,3,13,4,12,17,,
9,15,6,1,4,2,16,12,8,11,10,13,14,7,3,5,17,,
17,7,17,17,17,4,17,3,2,17,17,5,1,17,6,17,17,,
1,12,6,7,5,3,15,11,8,9,2,10,4,13,14,17,16,,
3,17,17,9,8,17,10,17,1,11,17,5,2,17,4,13,7,,
9,14,4,7,16,8,13,5,3,6,11,10,1,12,2,17,15,,
8,9,7,14,15,2,11,1,5,16,12,3,6,4,10,17,13,,
15,14,5,3,13,2,9,4,1,8,13,6,7,13,16,17,13,,
11,13,6,12,1,5,14,3,2,16,10,7,8,9,4,15,17,,
9,15,6,1,4,2,16,12,8,11,10,13,14,7,3,5,17,,
9,15,6,1,4,2,16,12,8,11,10,13,14,7,3,5,17,,
3,6,7,1,12,10,17,5,4,14,8,11,2,16,9,15,13,,
9,15,6,1,4,2,16,12,8,11,10,13,14,7,3,5,17,,
12,4,8,9,14,10,1,17,16,5,13,15,11,3,7,6,2,,
3,10,12,2,13,1,11,6,7,15,4,16,17,14,8,5,9,,
6,17,8,1,7,9,17,4,10,15,3,11,2,14,5,14,17,,
1,7,17,5,11,4,8,6,16,9,2,3,13,10,15,12,14,,
5,16,3,4,13,1,11,8,6,6,12,9,7,10,2,14,17,,
1,13,10,2,12,5,17,7,9,15,4,8,3,14,6,11,16,,
4,8,10,2,11,1,15,6,9,12,3,14,5,16,7,13,17,,
17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,,
4,15,17,8,9,13,14,5,7,16,11,2,1,10,3,6,12,,
2,8,1,15,17,6,13,5,12,11,10,7,14,3,16,9,4,,
11,9,7,8,14,3,6,5,1,10,4,13,12,16,17,2,15,,
6,10,3,8,13,17,7,5,9,14,2,1,15,11,16,4,12,,
12,6,8,10,4,3,15,1,13,14,17,7,2,9,11,5,16,,
5,14,3,1,11,2,17,10,6,15,9,8,7,12,4,13,16,,
8,13,2,10,14,5,15,4,3,17,6,9,7,16,1,12,11,,
17,17,17,3,5,16,17,1,17,17,15,4,17,17,6,2,17,,
3,12,2,6,1,11,15,8,10,13,7,4,9,14,5,17,16,,
5,12,2,6,4,8,17,13,1,9,10,7,4,17,3,11,17,,
4,6,8,10,5,17,11,13,9,14,12,2,1,15,3,7,16,,
2,15,17,4,10,5,15,11,17,17,4,1,3,15,16,2,15,,
9,15,6,1,4,2,16,12,8,11,10,13,14,7,3,5,17,,
9,15,6,1,4,2,16,12,8,11,10,13,14,7,3,5,17,,
6,14,4,2,5,7,9,8,3,13,16,11,1,17,10,12,15,,
6,15,17,9,14,13,2,11,12,3,8,4,10,1,7,5,16,,
17,17,2,17,17,17,17,17,1,17,17,17,17,17,3,17,17,,
3,2,7,5,6,12,15,13,16,4,1,9,11,8,10,14,17,,
15,14,1,8,9,17,10,12,3,13,7,4,5,16,2,6,11,,
7,13,1,2,17,3,16,11,4,9,12,6,10,13,5,8,15,,
9,15,6,1,4,2,16,12,8,11,10,13,14,7,3,5,17,,
4,15,5,8,7,2,14,1,9,17,12,6,11,16,3,10,13,,
13,9,15,10,5,16,8,3,7,1,2,12,4,14,17,11,6,,
17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,,
8,17,17,1,6,17,9,7,17,17,11,5,3,10,2,4,17,,
3,14,10,9,6,5,16,2,8,13,1,7,4,12,11,15,17,,
12,6,7,8,15,3,17,9,11,2,14,13,4,10,1,5,16,,
9,15,6,1,4,2,16,12,8,11,10,13,14,7,3,5,17,,
5,11,6,9,2,14,15,7,1,16,7,13,12,8,4,3,17,,
17,17,17,3,17,17,17,17,2,17,1,17,17,17,17,17,17,,
9,14,11,13,17,10,16,2,4,3,5,6,1,7,12,8,15,,
1,8,2,10,15,11,17,7,3,14,5,6,4,9,12,13,16,,
9,15,6,1,4,2,16,12,8,11,10,13,14,7,3,5,17,,
8,12,10,2,11,3,12,4,6,12,6,12,8,12,1,5,12,,
