rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,numSeats,numCands
5,6,3,7,4,8,1,2,1.0,8.0
6,1,7,3,5,2,8,4,,
8,1,8,8,8,8,8,8,,
8,3,8,8,2,8,8,1,,
8,8,8,8,8,8,8,8,,
8,3,8,8,2,8,1,4,,
1,8,5,6,2,4,3,7,,
7,3,8,4,6,5,2,1,,
8,3,8,8,1,2,8,8,,
6,1,8,7,5,3,4,2,,
8,1,3,7,5,6,4,2,,
8,8,8,8,2,8,1,3,,
8,8,8,8,2,8,8,1,,
8,2,7,6,5,4,3,1,,
8,2,5,6,3,4,7,1,,
2,8,6,5,4,7,1,3,,
7,8,1,6,3,4,5,2,,
2,7,8,3,1,5,6,4,,
4,1,7,3,6,8,5,2,,
6,1,8,5,4,7,3,2,,
4,3,1,7,6,8,5,2,,
5,6,1,7,2,8,4,3,,
8,8,1,8,8,8,8,8,,
5,2,4,7,8,6,3,1,,
8,3,4,7,5,6,2,1,,
8,2,5,6,1,7,3,4,,
2,7,4,5,6,8,1,3,,
8,1,8,8,8,8,8,8,,
8,5,4,2,1,6,3,7,,
6,2,8,7,5,1,3,4,,
7,5,8,6,4,3,1,2,,
3,7,1,6,5,8,4,1,,
8,2,8,8,8,8,3,1,,
2,5,3,4,6,7,1,8,,
8,8,8,3,3,8,3,1,,
8,8,8,8,2,8,8,1,,
7,5,1,4,8,6,3,2,,
4,6,5,7,3,2,1,8,,
1,5,2,8,6,7,3,4,,
7,2,3,8,4,6,5,1,,
5,8,4,6,3,1,2,7,,
5,4,8,6,2,7,1,3,,
5,7,3,8,1,6,2,4,,
5,6,1,4,7,8,2,3,,
5,7,6,4,3,8,1,2,,
7,2,8,4,5,6,1,3,,
6,8,2,4,5,7,1,3,,
5,2,6,7,4,3,8,1,,
