rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,numSeats,numCands
1,6,2,9,7,4,5,8,3,10,1.0,10.0
1,8,5,7,6,3,9,10,4,2,,
4,9,6,2,10,3,10,7,5,1,,
6,10,2,7,9,1,4,8,5,3,,
3,5,9,4,6,2,8,10,7,1,,
9,3,8,7,10,6,4,5,2,1,,
6,8,3,5,7,1,4,9,2,10,,
2,2,1,9,5,3,7,10,4,8,,
8,9,5,7,10,4,1,6,3,2,,
7,5,3,4,6,1,8,10,2,9,,
3,5,4,9,6,2,8,10,1,7,,
5,7,2,8,3,1,4,9,6,10,,
3,5,8,1,9,7,2,10,4,6,,
6,8,9,10,7,3,2,4,5,1,,
6,3,7,8,4,2,10,10,5,1,,
3,7,6,8,9,1,4,10,2,5,,
8,7,10,3,9,5,1,4,2,6,,
3,6,5,9,2,1,7,10,4,8,,
10,4,5,2,10,10,3,1,6,10,,
2,8,10,5,9,1,7,6,4,3,,
8,1,7,5,6,4,9,10,3,2,,
5,1,9,7,8,3,6,10,2,4,,
4,7,5,6,1,9,2,8,3,10,,
9,2,7,1,8,5,6,10,4,3,,
10,10,10,10,10,4,2,1,10,3,,
5,1,9,6,8,4,7,10,3,2,,
7,5,6,3,8,1,9,10,2,4,,
8,4,7,5,9,2,6,10,3,1,,
9,7,5,10,8,1,4,2,6,3,,
2,4,8,3,6,1,9,10,5,7,,
9,7,6,8,10,2,5,3,4,1,,
5,6,9,2,10,1,4,10,4,3,,
10,5,8,1,7,6,3,9,4,2,,
3,7,2,9,6,1,8,10,4,5,,
8,3,2,7,6,1,9,10,4,5,,
5,2,6,7,8,1,9,10,3,4,,
5,4,8,7,9,3,2,10,6,1,,
5,2,7,9,4,1,8,3,6,10,,
9,4,8,7,10,5,2,6,3,1,,
9,8,5,4,10,3,2,6,7,1,,
