rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,rank21,rank22,rank23,rank24,numSeats,numCands
19,11,9,10,5,21,6,22,8,1,4,18,7,12,13,3,15,20,24,14,17,23,2,19,1.0,24.0
2,13,10,23,16,22,3,20,6,24,18,21,14,12,4,17,15,9,1,11,7,19,8,5,,
24,24,24,24,24,24,24,24,24,24,24,24,24,24,2,24,24,3,24,24,24,24,1,24,,
4,10,3,7,19,20,6,11,1,8,13,21,23,15,5,24,14,2,17,22,18,12,16,9,,
24,24,2,24,24,24,24,24,24,24,24,24,1,24,4,24,24,24,24,24,24,3,24,24,,
24,24,24,5,24,24,3,24,24,1,24,24,4,24,2,24,24,24,24,24,6,24,24,7,,
3,24,9,2,24,24,24,7,10,1,8,24,24,24,24,24,24,24,24,6,12,5,4,11,,
3,1,24,23,20,24,24,24,24,2,24,24,19,24,4,24,24,22,24,24,5,6,24,24,,
2,24,24,24,24,24,24,24,3,1,24,24,24,24,24,24,24,24,24,24,24,24,24,24,,
6,23,23,23,23,23,1,23,23,2,23,23,3,24,23,23,23,23,23,23,7,23,4,23,,
4,24,24,24,24,24,3,7,24,24,5,24,2,24,1,24,24,24,24,24,6,24,24,24,,
24,24,3,24,2,24,4,24,24,5,24,24,24,24,24,24,24,24,24,24,24,24,1,24,,
24,24,24,24,24,24,5,24,24,4,1,24,24,24,2,24,24,24,24,24,24,24,3,6,,
24,24,24,24,24,24,24,24,24,1,24,24,24,24,24,24,24,24,24,24,24,24,24,24,,
3,11,2,11,2,5,12,1,12,23,12,5,1,10,12,3,12,24,10,12,4,10,2,12,,
3,12,13,6,10,5,22,22,22,11,2,22,24,4,22,9,8,1,22,7,22,23,22,22,,
4,24,2,24,8,18,3,13,16,11,5,24,24,15,7,10,24,17,14,19,12,6,1,9,,
1,24,24,2,24,24,24,24,3,4,24,24,24,24,24,24,24,24,24,24,24,24,24,24,,
4,9,15,21,22,10,8,1,11,24,16,20,2,19,7,5,14,23,12,13,3,17,18,6,,
24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,,
9,15,12,5,21,8,14,1,24,10,19,16,2,13,4,13,22,23,3,17,20,11,6,18,,
4,11,19,5,22,15,20,3,13,10,18,16,1,8,12,14,2,24,6,21,23,9,7,17,,
24,8,24,24,6,24,2,24,24,24,24,24,3,24,24,24,24,24,7,24,24,5,4,1,,
24,10,13,24,24,24,24,11,9,6,7,5,24,24,4,24,24,24,3,24,8,12,2,1,,
24,24,24,24,24,24,24,24,1,24,1,24,24,24,24,24,24,24,24,24,24,24,24,24,,
7,24,4,24,5,24,2,9,24,24,24,24,24,24,8,6,24,24,3,24,24,24,1,24,,
24,24,24,24,24,24,24,24,24,1,24,24,24,24,24,24,24,24,24,24,24,24,24,24,,
20,12,7,2,8,15,11,19,4,1,14,21,5,22,3,18,24,13,9,23,6,16,10,17,,
2,19,13,17,11,24,18,23,7,1,5,22,12,21,3,4,15,8,14,20,10,6,9,15,,
3,24,24,2,4,24,24,6,24,1,24,24,24,24,24,24,24,24,24,24,5,24,24,24,,
6,18,17,7,9,11,2,24,10,12,3,16,20,19,5,15,23,13,8,14,4,22,1,21,,
6,20,9,3,21,20,8,22,17,1,4,5,11,20,16,2,16,16,24,20,16,12,10,8,,
3,24,24,24,24,24,3,1,4,3,24,2,24,24,3,24,24,24,24,24,24,24,24,24,,
13,21,7,8,11,12,2,10,17,15,18,22,24,20,5,9,19,16,14,23,4,6,3,1,,
24,24,24,24,3,24,1,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,2,,
