rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,rank21,rank22,rank23,rank24,rank25,rank26,rank27,rank28,rank29,rank30,rank31,rank32,rank33,rank34,rank35,rank36,rank37,rank38,rank39,rank40,rank41,rank42,rank43,rank44,rank45,rank46,rank47,rank48,rank49,rank50,rank51,rank52,rank53,rank54,rank55,rank56,rank57,rank58,rank59,rank60,rank61,rank62,rank63,rank64,rank65,rank66,rank67,rank68,rank69,rank70,rank71,rank72,rank73,rank74,rank75,rank76,rank77,rank78,rank79,rank80,rank81,rank82,rank83,rank84,rank85,numSeats,numCands
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,5,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,3,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,1,Skipped,Skipped,4,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,6,Skipped,2,Skipped,Skipped,1.0,85.0
Skipped,21,Skipped,19,31,Skipped,Skipped,Skipped,32,Skipped,10,Skipped,14,18,41,22,Skipped,11,Skipped,Skipped,29,36,8,Skipped,Skipped,38,Skipped,Skipped,40,23,Skipped,27,33,3,Skipped,15,Skipped,1,Skipped,Skipped,12,Skipped,25,Skipped,2,Skipped,Skipped,7,Skipped,Skipped,39,Skipped,Skipped,28,Skipped,Skipped,37,13,42,Skipped,34,Skipped,35,6,Skipped,Skipped,Skipped,9,Skipped,4,Skipped,Skipped,26,16,Skipped,5,Skipped,Skipped,20,24,17,Skipped,Skipped,30,Skipped,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,15,Skipped,14,Skipped,Skipped,Skipped,5,Skipped,Skipped,Skipped,Skipped,Skipped,6,Skipped,17,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,4,Skipped,Skipped,11,9,Skipped,Skipped,Skipped,13,Skipped,1,12,10,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,7,Skipped,Skipped,8,Skipped,Skipped,Skipped,2,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,16,Skipped,3,Skipped,Skipped,,
Skipped,Skipped,Skipped,Skipped,Skipped,20,Skipped,Skipped,19,Skipped,Skipped,Skipped,Skipped,18,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,11,1,Skipped,Skipped,16,Skipped,Skipped,80,10,Skipped,Skipped,8,2,Skipped,Skipped,4,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,13,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,3,9,Skipped,Skipped,Skipped,Skipped,12,Skipped,Skipped,17,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,14,Skipped,15,7,Skipped,Skipped,21,5,Skipped,Skipped,Skipped,Skipped,,
Skipped,8,11,14,Skipped,Skipped,Skipped,Skipped,Skipped,21,Skipped,Skipped,Skipped,Skipped,Skipped,6,Skipped,Skipped,Skipped,Skipped,Skipped,20,3,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,4,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,7,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,2,Skipped,5,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,15,Skipped,Skipped,Skipped,13,Skipped,Skipped,Skipped,Skipped,Skipped,9,Skipped,17,Skipped,22,18,19,Skipped,Skipped,Skipped,Skipped,12,Skipped,Skipped,Skipped,Skipped,10,Skipped,1,16,Skipped,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,8,Skipped,Skipped,Skipped,Skipped,10,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,6,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,11,Skipped,Skipped,Skipped,Skipped,Skipped,7,Skipped,Skipped,3,Skipped,Skipped,Skipped,Skipped,Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,2,Skipped,Skipped,Skipped,Skipped,9,Skipped,Skipped,Skipped,4,Skipped,Skipped,Skipped,5,Skipped,Skipped,Skipped,Skipped,,
Skipped,Skipped,7,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,28,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,4,Skipped,24,16,19,12,6,37,Skipped,Skipped,Skipped,Skipped,33,Skipped,Skipped,Skipped,2,Skipped,26,5,23,18,Skipped,32,Skipped,25,1,Skipped,Skipped,Skipped,15,Skipped,Skipped,Skipped,36,Skipped,30,22,Skipped,Skipped,14,Skipped,38,Skipped,Skipped,Skipped,9,21,Skipped,8,3,Skipped,29,35,31,20,34,Skipped,10,27,Skipped,Skipped,Skipped,17,11,13,Skipped,Skipped,,
Skipped,Skipped,14,Skipped,Skipped,39,31,33,Skipped,53,15,34,27,42,Skipped,40,12,24,50,21,23,Skipped,7,20,35,57,47,26,38,36,19,Skipped,Skipped,2,55,Skipped,3,8,41,43,Skipped,44,30,1,11,6,32,17,13,Skipped,Skipped,45,Skipped,25,28,Skipped,Skipped,16,51,56,9,46,Skipped,18,54,Skipped,52,4,Skipped,Skipped,Skipped,Skipped,Skipped,49,Skipped,37,29,48,Skipped,Skipped,10,22,5,Skipped,Skipped,,
6,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,15,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,4,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,2,Skipped,Skipped,5,3,Skipped,Skipped,Skipped,17,Skipped,Skipped,10,7,18,Skipped,Skipped,Skipped,Skipped,19,Skipped,Skipped,13,Skipped,Skipped,14,Skipped,Skipped,9,Skipped,Skipped,8,Skipped,Skipped,11,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,16,12,1,Skipped,Skipped,,
Skipped,Skipped,Skipped,Skipped,26,Skipped,10,Skipped,Skipped,Skipped,4,Skipped,8,Skipped,26,Skipped,23,Skipped,Skipped,Skipped,Skipped,84,16,Skipped,11,Skipped,Skipped,27,50,Skipped,3,Skipped,24,7,50,Skipped,Skipped,5,Skipped,Skipped,Skipped,12,Skipped,1,Skipped,Skipped,Skipped,22,Skipped,Skipped,Skipped,13,Skipped,Skipped,Skipped,Skipped,Skipped,28,19,Skipped,Skipped,Skipped,85,Skipped,Skipped,Skipped,Skipped,2,17,Skipped,Skipped,20,14,Skipped,Skipped,Skipped,Skipped,Skipped,21,Skipped,18,9,6,Skipped,15,,
