rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,numSeats,numCands
15,2,15,15,4,1,3,7,6,15,15,15,5,15,15,1.0,15.0
7,10,9,4,3,2,10,10,6,1,10,10,5,10,8,,
15,8,13,5,6,15,2,10,1,9,12,4,11,3,7,,
3,4,1,14,15,13,8,12,6,2,11,7,9,5,10,,
1,13,12,15,9,14,6,5,2,11,10,8,3,7,4,,
10,13,9,14,5,7,2,6,4,1,12,11,8,15,3,,
9,11,6,14,7,15,10,5,1,8,12,13,2,3,4,,
5,12,3,14,13,1,7,9,2,15,11,4,6,8,10,,
11,8,5,15,13,12,1,10,7,14,9,3,6,4,2,,
4,12,15,9,11,13,1,3,14,5,7,2,10,8,6,,
3,12,11,5,6,1,8,2,13,14,4,15,7,10,9,,
2,15,15,4,15,1,8,3,15,15,15,5,6,15,7,,
3,15,15,2,6,1,15,4,15,5,7,10,8,11,9,,
15,15,15,15,15,2,15,3,15,1,15,15,15,15,15,,
15,9,14,4,12,2,13,11,6,3,11,5,7,1,8,,
8,5,4,11,6,1,7,3,10,15,13,14,2,12,9,,
11,5,4,15,3,10,1,9,7,14,12,2,6,13,8,,
9,6,5,14,15,12,4,10,1,7,13,11,8,2,3,,
14,10,15,3,9,12,8,5,11,2,7,4,13,6,1,,
4,15,8,15,6,3,2,5,15,1,7,15,15,15,9,,
12,7,3,15,9,13,4,14,6,5,11,10,8,2,1,,
9,13,10,8,5,15,1,7,12,3,4,2,11,6,14,,
5,6,1,15,13,14,7,12,2,9,11,10,4,3,8,,
13,14,7,9,11,12,4,15,10,1,5,8,6,3,2,,
9,10,13,14,6,5,1,7,12,15,11,4,3,8,2,,
2,15,11,9,10,3,12,4,8,1,6,13,7,14,5,,
13,7,2,15,10,9,1,11,6,14,12,4,5,3,8,,
4,12,3,9,10,2,7,1,11,14,8,15,5,13,6,,
7,13,11,6,12,8,9,5,2,1,10,14,3,15,4,,
13,11,4,8,9,3,5,15,1,14,10,7,2,12,6,,
13,5,3,7,14,15,6,9,1,4,12,11,8,10,2,,
15,15,1,2,15,15,15,15,5,4,15,3,15,15,15,,
1,10,15,4,6,2,5,3,12,13,8,12,7,11,9,,
11,7,6,13,15,10,2,8,5,14,12,9,3,1,4,,
11,6,13,12,4,9,3,10,5,15,14,2,1,7,8,,
15,5,1,2,15,15,4,15,4,15,15,15,15,15,3,,
