rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,numSeats,numCands
1,5,15,17,9,10,2,7,16,12,8,6,3,11,14,4,13,1.0,17.0
1,11,12,2,9,17,5,13,15,4,6,7,3,10,14,8,16,,
17,8,4,2,4,10,17,2,17,2,5,10,5,11,7,13,10,,
1,14,10,7,13,17,11,8,14,9,17,5,12,3,4,2,6,,
4,6,15,5,13,14,2,1,16,7,10,9,3,17,11,12,8,,
9,15,15,3,11,8,2,4,10,1,6,5,17,12,7,13,16,,
5,2,17,17,17,6,4,7,17,17,8,3,1,17,17,17,17,,
3,9,4,15,5,8,1,7,17,2,11,6,14,13,12,10,16,,
7,6,5,11,12,16,4,10,17,1,2,3,13,8,15,9,14,,
1,7,16,13,17,14,2,15,11,9,10,17,6,12,8,3,17,,
2,8,11,16,12,13,3,15,15,7,17,4,9,1,6,4,10,,
4,15,12,7,13,10,2,8,9,14,17,1,16,11,6,3,5,,
1,7,10,12,11,15,3,9,17,14,13,5,4,2,8,6,16,,
8,3,16,7,10,13,14,6,15,17,9,11,2,12,5,4,1,,
5,9,17,7,10,11,6,3,12,1,2,4,8,17,13,14,17,,
3,7,12,15,4,14,9,2,8,17,16,5,11,1,10,6,13,,
11,7,12,17,9,10,17,8,17,17,3,4,17,1,6,2,5,,
1,3,8,14,16,5,6,10,13,9,17,4,2,15,7,11,12,,
1,14,13,16,2,12,9,8,7,17,15,5,11,6,10,3,4,,
15,6,13,10,3,9,16,12,8,14,11,7,17,4,2,1,5,,
11,13,14,5,8,3,4,2,17,1,10,12,9,17,7,6,17,,
5,13,15,1,7,8,16,3,17,14,10,11,9,2,12,4,6,,
10,14,11,8,3,4,16,17,5,7,1,6,15,9,13,2,12,,
1,11,6,17,13,14,3,2,8,16,15,10,9,4,5,7,12,,
4,7,6,7,3,7,9,1,4,17,5,6,2,8,5,3,5,,
2,17,17,17,17,17,17,3,17,17,1,4,17,17,17,17,17,,
2,17,4,5,6,17,3,17,17,17,17,17,17,8,17,7,1,,
6,9,10,7,11,17,12,4,17,1,2,3,5,13,8,14,17,,
6,7,12,15,8,11,17,5,14,9,16,4,13,2,3,1,10,,
2,17,2,17,17,17,3,17,17,2,17,17,4,1,1,17,3,,
7,11,6,11,11,3,8,11,11,1,10,2,5,11,4,11,9,,
11,9,6,17,15,13,1,14,16,2,12,10,3,4,7,5,8,,
1,17,11,13,2,9,5,7,14,16,15,4,3,8,12,6,10,,
7,10,12,6,8,9,13,2,15,5,4,14,1,17,16,11,3,,
1,7,8,17,6,15,2,12,14,5,10,9,4,16,11,3,13,,
5,16,16,6,16,16,1,16,16,16,16,7,3,4,16,16,16,,
2,17,17,17,2,17,17,17,17,1,17,17,1,17,17,17,17,,
2,14,12,6,7,4,1,5,11,13,10,17,3,15,16,9,8,,
8,3,12,6,11,14,1,4,17,2,9,7,5,13,15,16,10,,
14,16,5,4,3,8,15,2,17,6,1,11,13,10,7,9,12,,
4,16,8,15,11,10,1,2,7,13,12,5,3,6,14,9,17,,
7,11,12,9,13,14,10,5,15,17,4,3,16,6,1,2,8,,
5,11,10,6,8,17,4,1,15,7,16,13,3,9,12,2,14,,
