rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,rank21,rank22,rank23,rank24,rank25,rank26,rank27,rank28,rank29,numSeats,numCands
7,29,29,5,29,29,29,2,29,29,6,29,29,29,29,29,29,6,3,1,29,29,29,29,4,29,29,29,29,1.0,29.0
16,7,4,11,25,20,23,13,21,27,14,28,3,17,24,29,6,5,1,9,19,8,26,12,2,18,15,22,10,,
15,17,10,29,29,25,18,5,21,20,16,11,1,6,13,12,24,8,9,2,26,22,23,19,29,7,4,3,14,,
12,12,10,12,29,29,29,29,10,29,1,10,1,10,11,3,29,29,1,2,29,1,29,20,29,29,2,10,29,,
29,29,29,29,29,29,29,1,29,29,29,29,28,9,29,29,10,12,29,29,29,29,15,29,29,29,29,29,29,,
20,5,16,9,23,19,11,15,21,28,22,25,3,10,18,27,5,13,1,2,14,6,24,7,8,12,29,17,26,,
22,27,12,11,20,25,28,1,23,14,2,26,4,18,24,21,8,7,3,5,10,15,29,9,6,19,17,16,13,,
Skipped,16,8,Skipped,Skipped,Skipped,10,Skipped,4,7,13,Skipped,1,Skipped,14,15,Skipped,3,2,5,Skipped,9,Skipped,Skipped,Skipped,6,11,12,Skipped,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,27,1,Skipped,Skipped,2,Skipped,9,Skipped,Skipped,28,Skipped,3,Skipped,Skipped,Skipped,29,Skipped,,
21,15,11,29,20,23,14,26,2,28,6,7,9,18,3,12,22,4,10,13,24,1,19,27,25,16,8,5,17,,
12,3,13,16,17,17,19,17,17,17,18,26,1,25,17,28,24,15,14,11,27,2,17,29,17,20,21,23,22,,
29,29,7,29,29,29,29,29,11,29,6,2,2,4,12,10,5,8,29,29,29,1,29,13,29,29,9,3,29,,
20,25,15,22,20,20,7,1,10,17,8,20,25,17,24,26,19,8,15,3,18,25,28,6,4,17,9,29,5,,
29,5,29,29,29,29,29,29,29,29,2,29,29,2,29,29,3,29,4,27,29,29,29,5,29,29,29,7,29,,
29,7,3,7,29,29,29,29,29,29,2,29,1,29,29,29,29,29,4,6,29,6,29,29,29,29,29,4,29,,
29,9,29,8,29,29,29,11,29,29,29,29,2,6,29,29,5,29,1,10,29,3,29,7,29,29,29,4,29,,
7,5,13,4,19,16,8,3,Skipped,Skipped,Skipped,Skipped,15,12,Skipped,Skipped,11,6,2,1,Skipped,14,18,10,17,9,Skipped,Skipped,Skipped,,
13,21,1,4,11,16,17,14,21,21,21,5,3,29,6,21,10,7,2,9,19,8,21,18,15,12,20,21,21,,
29,29,8,29,29,29,29,29,5,29,3,1,7,29,12,9,29,29,29,29,29,6,29,29,29,29,11,2,29,,
29,29,29,29,29,29,29,29,29,29,29,29,2,29,29,29,29,29,10,12,29,1,29,29,29,29,29,11,29,,
13,4,26,3,15,17,11,1,29,29,20,19,6,9,25,29,10,8,7,2,18,5,29,14,16,12,29,27,28,,
13,6,3,17,29,29,29,5,29,29,1,10,2,7,21,14,19,16,9,4,29,8,29,20,29,18,12,11,15,,
14,7,29,5,13,8,15,9,29,29,17,29,29,3,29,18,6,4,12,1,29,29,29,16,2,10,29,11,29,,
3,29,29,4,29,29,29,29,29,29,29,29,29,29,29,29,29,29,2,1,29,29,29,29,29,29,29,29,29,,
10,3,22,9,7,16,13,5,23,Skipped,20,Skipped,17,25,19,Skipped,12,4,1,2,15,18,Skipped,11,8,6,14,21,24,,
11,12,17,16,Skipped,Skipped,Skipped,Skipped,16,Skipped,18,5,2,Skipped,7,11,Skipped,16,11,3,Skipped,1,16,Skipped,Skipped,8,6,4,Skipped,,
29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,1,29,29,29,29,29,29,29,29,,
15,13,Skipped,7,Skipped,14,10,5,Skipped,Skipped,28,Skipped,2,3,Skipped,Skipped,6,4,1,8,Skipped,9,Skipped,11,Skipped,12,29,27,Skipped,,
22,29,4,29,29,22,6,29,23,22,22,22,2,22,3,22,22,22,22,22,22,1,29,22,22,5,22,22,22,,
2,18,26,19,7,12,4,1,25,24,21,22,26,15,29,9,13,6,5,11,3,26,20,14,10,8,17,23,17,,
29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,1,29,29,29,29,29,29,29,29,29,29,,
29,11,2,29,29,29,29,29,1,29,9,7,8,29,10,4,29,29,29,29,29,3,29,12,29,29,29,6,5,,
29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,,
29,11,9,10,29,29,29,9,3,29,4,29,5,29,29,29,29,6,1,7,29,5,10,12,29,29,29,29,8,,
14,6,13,17,19,17,8,1,16,28,12,24,3,11,21,29,7,7,3,2,9,6,20,23,10,5,15,24,25,,
29,5,8,10,29,29,29,7,29,29,13,29,11,29,29,29,12,6,2,1,29,4,29,14,29,9,3,29,29,,
7,6,29,10,29,17,4,2,15,29,29,29,29,13,29,29,14,5,1,3,8,29,29,16,9,11,29,29,29,,
8,2,Skipped,5,Skipped,6,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,3,Skipped,Skipped,Skipped,4,9,7,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
16,4,27,24,5,18,25,6,22,29,20,8,3,11,14,26,23,15,1,2,19,12,21,13,9,7,17,10,28,,
7,11,13,29,29,29,8,9,29,29,29,29,2,29,10,29,6,3,1,4,29,12,29,29,29,5,29,29,29,,
14,6,15,8,16,12,8,2,25,17,15,23,12,11,20,29,14,8,7,1,12,10,21,13,7,9,15,20,19,,
11,6,13,7,15,16,17,2,29,29,12,20,14,13,19,23,9,4,1,3,18,29,29,10,5,8,21,29,22,,
29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,,
9,13,18,5,25,17,20,3,28,21,27,29,8,6,12,19,15,4,1,2,26,24,22,7,23,10,11,14,16,,
11,11,7,8,12,Skipped,9,12,7,Skipped,6,Skipped,2,3,Skipped,Skipped,3,8,1,3,Skipped,2,Skipped,2,12,8,Skipped,10,Skipped,,
3,29,29,9,10,19,13,8,29,Skipped,16,12,7,4,18,Skipped,15,4,1,2,14,6,29,5,11,Skipped,29,17,Skipped,,
2,10,14,1,9,8,11,7,19,Skipped,23,25,13,15,22,26,6,5,3,17,18,20,Skipped,12,4,16,21,24,Skipped,,
5,9,17,14,8,23,15,12,26,29,19,24,16,7,20,25,11,3,1,2,18,4,27,10,13,6,22,28,21,,
29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,3,4,29,29,29,29,29,29,29,29,29,3,3,29,,
