rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,numSeats,numCands
13,1,5,13,13,13,13,13,4,13,6,3,2,1.0,13.0
4,2,13,5,6,11,7,8,4,9,12,10,1,,
6,2,3,13,13,5,13,8,4,13,1,7,13,,
13,4,13,3,1,13,2,13,13,13,13,13,13,,
13,1,13,13,13,13,4,13,13,13,3,2,13,,
5,1,4,13,13,13,13,13,13,2,13,13,13,,
8,13,11,6,12,7,3,1,10,2,5,9,4,,
12,12,13,6,12,1,1,4,12,5,12,3,7,,
13,13,2,5,1,13,13,13,13,13,13,4,3,,
13,6,13,1,1,13,3,2,2,3,4,5,3,,
13,13,13,13,13,13,13,13,13,1,13,13,13,,
4,13,8,1,10,7,3,6,11,2,12,9,5,,
13,1,13,13,3,13,5,13,4,13,13,13,2,,
13,13,13,13,1,13,2,13,13,13,13,13,13,,
11,2,1,5,10,13,6,9,4,12,7,8,3,,
13,13,13,13,13,1,13,2,13,13,13,13,13,,
11,7,1,4,2,10,5,12,8,9,13,6,3,,
13,13,13,13,13,13,1,13,13,13,13,13,13,,
13,13,13,4,3,13,13,13,13,13,2,1,13,,
13,13,13,13,1,2,13,13,13,3,13,13,13,,
11,3,12,4,11,13,13,13,5,13,1,2,6,,
12,5,3,11,7,13,4,9,8,10,2,1,6,,
13,13,13,13,13,13,1,1,13,13,13,13,13,,
4,1,11,12,5,8,13,10,2,7,9,6,3,,
13,13,13,13,13,13,13,12,13,13,1,2,13,,
10,1,11,13,7,4,8,6,5,12,2,3,9,,
6,2,13,11,3,8,1,10,9,5,12,7,4,,
3,1,13,3,13,13,4,13,13,13,13,13,1,,
5,6,13,9,10,12,8,4,2,1,11,7,3,,
10,2,7,13,3,9,6,12,5,8,11,1,4,,
10,3,1,6,9,13,8,11,2,13,7,4,5,,
13,11,13,7,6,4,11,13,11,9,3,1,10,,
1,3,11,10,6,12,4,2,8,5,9,13,7,,
3,10,12,6,5,2,8,1,7,4,11,13,9,,
5,6,2,9,1,7,10,3,8,4,12,13,11,,
13,13,13,13,13,13,13,13,13,2,1,13,13,,
5,13,7,12,10,8,11,4,1,9,3,5,2,,
13,13,13,13,13,13,2,13,13,1,13,13,3,,
