rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,numSeats,numCands
999,555,0,0,0,0,999,999,0,0,0,0,888,0,0,Unknown,15.0
0,6,2,4,3,0,0,7,0,1,5,0,0,0,0,Unknown,
0,0,0,0,0,9,0,0,0,0,10,0,9,8,0,Unknown,
0,0,0,0,0,300,0,999,0,300,0,100,0,0,0,Unknown,
999,999,0,0,0,899,0,999,0,299,899,0,499,0,699,Unknown,
50,0,0,500,0,0,0,0,0,100,0,50,0,0,0,Unknown,
0,450,0,550,400,0,800,600,500,0,0,0,700,0,900,Unknown,
0,0,0,0,0,5,10,0,0,15,0,0,0,0,0,Unknown,
25,0,0,0,0,0,0,0,0,0,0,50,0,0,25,Unknown,
0,0,0,0,0,0,0,999,0,999,999,0,0,999,0,Unknown,
555,0,0,777,0,444,0,999,0,222,111,0,888,666,0,Unknown,
150,135,130,165,180,110,185,200,162,145,140,170,190,160,100,Unknown,
0,0,0,0,20,10,0,0,0,0,0,0,40,30,0,Unknown,
999,0,910,900,0,999,0,0,0,0,888,777,0,0,111,Unknown,
3,0,7,0,1,0,0,5,0,0,0,4,0,0,2,Unknown,
998,0,0,0,900,999,0,0,0,0,0,998,0,0,0,Unknown,
1,80,1,70,1,1,1,1,1,1,100,1,1,90,60,Unknown,
500,0,0,0,0,0,500,999,0,0,0,0,0,899,0,Unknown,
0,0,0,800,0,0,700,800,0,700,0,0,0,0,900,Unknown,
999,0,0,0,0,0,0,999,0,999,0,0,0,0,0,Unknown,
0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,Unknown,
0,0,0,0,0,900,0,99,0,0,0,0,0,0,0,Unknown,
8,5,0,0,6,0,0,3,0,9,10,11,4,7,0,Unknown,
0,0,0,999,0,0,999,999,0,0,0,999,999,0,0,Unknown,
0,0,6,8,8,10,0,0,0,0,0,0,0,0,0,Unknown,
0,0,0,999,0,0,999,999,0,0,0,999,999,0,0,Unknown,
0,0,70,70,0,0,90,0,60,80,0,0,100,0,0,Unknown,
0,0,0,999,0,0,0,0,0,0,0,0,0,0,0,Unknown,
0,1,0,0,0,0,0,0,0,2,0,3,0,0,0,Unknown,
0,0,0,0,0,4,0,0,0,2,0,0,1,0,3,Unknown,
0,0,0,0,0,0,0,0,0,999,0,0,0,0,0,Unknown,
