rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,numSeats,numCands
20,20,20,20,20,20,20,20,20,4,20,20,1,20,20,20,20,20,3,20,1.0,20.0
20,3,20,20,20,20,4,20,6,2,20,20,1,20,5,20,20,20,8,7,,
2,7,19,19,11,9,1,15,5,14,8,4,20,3,19,12,13,16,10,6,,
11,9,8,12,5,18,12,9,17,1,10,6,4,20,15,19,16,7,13,2,,
20,20,20,20,20,20,20,20,20,20,1,20,20,2,20,20,20,20,3,2,,
20,20,20,20,20,2,20,20,20,4,3,20,20,20,20,20,20,20,20,1,,
6,3,10,14,5,4,16,19,16,13,20,8,1,7,18,9,11,17,12,2,,
20,20,2,20,20,20,20,20,4,20,20,20,1,20,20,3,20,20,20,20,,
9,5,17,6,8,2,7,18,4,1,13,15,14,12,3,19,11,16,20,10,,
20,20,20,3,20,20,7,20,20,2,20,20,20,6,20,5,20,20,20,1,,
4,5,20,19,19,20,3,19,20,2,20,19,19,19,19,19,6,19,19,1,,
16,1,10,8,12,14,11,6,3,13,20,9,2,17,7,4,18,19,15,5,,
20,20,20,8,20,3,20,20,7,6,20,4,2,20,20,5,20,20,20,1,,
3,14,16,18,11,10,8,17,12,1,9,20,7,4,2,6,13,19,15,5,,
13,2,20,7,10,5,11,3,12,9,8,15,14,4,19,6,18,17,16,1,,
20,2,20,20,20,20,20,20,20,1,20,20,20,20,20,20,20,20,20,20,,
4,20,20,20,20,20,20,20,1,20,3,20,2,20,20,20,20,20,20,20,,
16,9,6,14,8,20,11,18,5,1,17,2,3,15,13,10,12,4,19,7,,
14,10,5,4,15,16,17,11,19,2,9,13,6,7,20,3,8,12,18,1,,
20,20,5,20,13,7,11,20,3,2,20,1,4,20,20,9,6,12,10,8,,
3,10,20,8,5,9,13,12,17,15,19,11,1,7,16,6,14,18,4,2,,
20,5,20,20,7,20,20,20,3,20,4,20,1,20,20,20,20,20,6,1,,
20,20,20,20,9,20,1,2,20,6,5,20,10,20,20,7,20,4,3,8,,
20,20,20,20,6,7,20,20,3,2,20,20,1,20,20,5,20,20,20,20,,
6,7,17,11,10,18,12,2,16,5,14,3,20,15,19,4,13,9,8,1,,
9,13,20,17,3,5,19,16,1,4,11,7,2,12,10,8,6,15,18,14,,
20,4,20,20,20,20,20,20,1,5,20,20,3,20,20,20,20,20,2,20,,
20,20,20,20,20,20,20,20,20,20,20,20,1,20,20,20,20,20,20,20,,
20,3,20,20,4,20,20,20,20,20,20,20,1,6,20,2,20,20,20,5,,
4,10,13,16,20,11,5,9,12,2,15,3,18,15,7,1,19,17,6,8,,
20,20,5,20,20,20,20,7,3,20,2,6,4,8,20,20,20,20,20,1,,
19,19,19,19,3,19,5,19,19,1,19,19,2,19,19,19,19,20,19,4,,
16,9,5,11,20,19,18,7,8,2,17,6,1,10,15,12,13,14,4,3,,
20,20,20,20,20,20,20,20,20,20,3,1,20,20,20,20,20,20,2,20,,
20,5,20,1,20,20,3,20,20,6,20,20,20,2,20,20,20,20,20,20,,
19,20,15,16,10,5,7,1,3,11,17,4,2,18,14,8,12,13,6,9,,
20,20,20,20,4,5,20,1,20,20,3,2,20,20,20,20,20,20,20,20,,
20,2,20,20,20,20,20,20,20,20,20,3,20,20,20,20,20,20,20,1,,
20,20,20,20,20,7,1,20,20,20,3,20,5,20,2,10,9,11,4,20,,
20,20,3,20,20,5,20,20,20,1,20,4,2,20,20,20,20,20,20,20,,
11,12,7,14,9,1,15,2,16,5,4,3,8,6,10,17,18,20,19,14,,
5,10,11,11,1,11,11,9,7,11,4,11,11,6,11,3,11,11,2,8,,
20,6,9,20,20,8,20,20,7,2,20,3,1,10,20,11,5,20,20,20,,
1,1,20,20,20,20,20,20,20,20,20,20,2,20,3,20,2,20,20,20,,
20,5,4,20,20,20,20,20,20,2,20,20,3,20,20,20,20,20,20,20,,
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,,
18,15,10,9,8,6,12,14,5,2,19,3,1,11,17,7,13,20,4,16,,
10,1,11,8,5,6,17,19,13,7,3,2,20,9,15,16,14,18,12,4,,
7,11,18,12,14,1,8,10,5,13,2,15,4,9,6,17,16,19,20,3,,
8,13,7,10,12,9,15,20,11,3,17,7,1,14,18,2,19,16,7,8,,
20,10,11,15,12,8,13,5,6,4,20,7,1,14,16,3,9,20,20,2,,
20,20,20,20,20,20,20,20,20,1,20,20,20,20,20,20,20,20,20,20,,
17,14,14,14,14,14,20,14,14,19,14,14,14,14,14,18,16,15,14,1,,
20,8,20,20,7,1,20,20,6,5,3,20,2,20,20,20,20,20,20,4,,
14,20,19,4,8,20,13,20,20,12,16,5,1,19,17,2,9,20,3,19,,
20,1,7,12,19,8,13,16,6,15,14,18,10,4,2,17,3,5,9,11,,
9,12,18,15,10,17,11,4,7,1,14,6,2,5,16,8,20,19,13,3,,
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,,
6,3,5,14,1,9,5,12,20,7,20,20,10,4,11,20,13,20,20,2,,
20,3,20,20,2,1,20,20,4,20,20,20,20,20,20,20,20,20,20,20,,
20,12,10,20,20,20,20,20,6,3,1,7,4,20,20,9,8,11,5,2,,
20,20,20,20,20,20,20,20,20,20,20,20,1,20,20,20,20,20,20,20,,
20,4,20,20,20,1,20,20,20,2,20,20,5,20,20,3,20,20,20,20,,
20,20,20,20,20,20,20,20,10,20,20,20,1,20,20,20,20,20,20,20,,
20,20,20,20,20,2,1,20,20,20,20,20,20,20,20,20,20,3,20,20,,
20,20,20,20,20,20,20,20,20,20,1,20,2,20,20,20,20,20,20,20,,
16,9,10,18,8,14,7,19,2,13,4,17,1,15,5,11,12,20,3,6,,
13,3,16,4,10,15,11,9,2,7,20,8,19,5,18,6,14,12,17,1,,
5,20,13,4,20,20,10,9,8,1,3,11,12,2,20,20,6,14,20,7,,
20,20,20,20,20,20,20,4,2,20,20,20,3,20,20,20,20,20,1,20,,
13,1,18,7,10,16,3,17,6,4,19,12,5,8,15,2,14,20,11,9,,
10,5,15,19,11,18,9,7,8,1,4,12,2,16,20,3,13,14,17,6,,
20,20,20,20,20,20,2,20,1,20,20,20,20,20,20,20,20,20,20,20,,
12,2,5,16,13,1,14,4,11,19,18,7,3,8,17,20,6,15,10,9,,
10,7,18,20,14,12,11,1,9,2,4,16,3,6,19,8,17,15,13,5,,
20,4,15,2,16,6,15,17,15,15,1,5,3,19,15,15,15,18,15,15,,
2,4,9,18,3,20,1,11,19,13,15,8,6,5,14,16,17,7,12,10,,
10,11,7,18,5,3,2,15,14,16,6,17,20,4,13,9,8,19,12,1,,
13,6,10,5,9,1,16,19,8,17,4,20,2,14,12,11,15,18,7,3,,
20,5,9,20,10,2,20,20,7,20,3,11,1,12,6,8,20,13,20,4,,
20,20,20,20,20,20,1,20,3,20,20,2,20,20,20,5,20,20,19,4,,
13,3,6,17,2,14,1,19,4,20,8,7,16,12,18,10,5,15,9,11,,
20,20,4,20,20,20,20,20,7,20,20,5,1,20,20,20,20,6,2,20,,
20,20,20,20,20,20,20,20,1,20,20,20,20,20,20,20,20,20,1,1,,
20,5,20,20,20,20,20,20,2,20,20,4,1,20,20,20,20,20,20,10,,
19,15,10,17,9,6,4,15,8,20,2,16,1,3,15,15,7,15,5,18,,
20,20,20,2,20,20,20,20,20,20,3,20,20,20,20,20,20,1,20,20,,
20,20,20,20,12,20,20,3,20,1,20,20,15,20,20,2,20,20,10,20,,
20,20,5,8,20,9,6,20,3,7,2,20,1,20,20,20,20,20,20,4,,
15,16,18,18,18,17,18,5,6,2,15,18,1,7,19,3,18,20,18,4,,
20,20,20,20,20,20,20,20,20,2,20,20,1,20,20,20,20,20,20,20,,
12,5,20,15,6,17,7,14,13,2,19,9,3,16,18,1,9,10,11,4,,
9,1,19,6,4,3,8,15,11,10,12,13,7,18,5,17,20,16,14,2,,
4,6,20,13,5,14,15,9,10,17,19,12,1,18,11,7,8,16,2,3,,
20,4,6,20,20,20,20,20,2,20,3,20,1,20,20,20,20,20,5,20,,
16,9,5,11,20,19,18,7,8,2,17,6,1,10,15,12,13,14,4,3,,
15,9,18,15,16,6,15,15,5,5,1,20,2,15,19,4,8,18,3,18,,
8,5,16,2,20,3,19,4,9,18,17,12,1,6,10,11,15,13,14,7,,
20,20,12,20,20,5,20,20,4,20,6,7,1,11,10,20,3,9,8,2,,
9,1,19,1,5,1,8,15,15,15,15,15,6,7,16,20,17,18,15,4,,
20,20,20,20,20,20,20,20,3,1,8,20,2,20,20,4,20,20,20,20,,
7,18,12,19,20,17,15,3,9,6,14,5,2,4,10,8,11,16,13,1,,
20,20,20,7,20,2,20,20,20,3,20,6,1,4,20,20,5,20,20,8,,
6,3,13,1,17,15,7,2,10,4,9,19,12,8,11,14,20,17,18,5,,
20,20,20,20,20,20,20,20,20,20,20,20,2,3,20,20,20,20,20,1,,
20,20,20,20,20,4,20,20,1,20,2,20,20,3,20,4,20,20,3,4,,
13,7,18,5,12,11,6,1,14,9,3,19,10,8,2,16,17,20,15,4,,
20,20,20,20,20,20,20,20,2,20,20,20,1,20,20,20,20,20,20,3,,
19,4,12,12,3,14,5,18,6,2,1,13,9,15,17,8,16,20,12,8,,
15,12,9,16,13,18,5,14,2,19,4,3,1,7,17,20,13,6,11,10,,
