rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,numSeats,numCands
4,10,2,1,6,7,6,9,12,11,5,3,13,8,3,1.0,15.0
10,4,11,14,15,6,3,5,7,13,9,1,2,8,12,,
2,13,4,12,11,3,1,9,6,14,10,5,8,7,15,,
2,12,5,3,11,1,13,10,4,14,4,7,6,10,15,,
15,2,15,7,13,5,8,12,7,9,2,4,3,6,7,,
6,15,7,5,15,15,1,15,3,15,4,15,15,2,15,,
6,11,10,7,15,4,5,2,3,9,1,14,13,8,12,,
3,12,10,11,15,13,1,14,9,6,4,8,5,2,7,,
11,14,12,1,15,10,5,9,6,7,8,2,13,4,3,,
9,12,11,1,15,13,4,8,3,7,2,5,14,10,6,,
5,12,9,1,15,10,7,6,3,14,8,4,11,13,2,,
15,15,3,15,15,15,2,15,15,5,15,6,7,1,4,,
2,9,13,3,15,10,14,6,1,11,5,8,12,4,7,,
15,15,15,15,15,15,15,15,1,15,15,15,15,15,15,,
2,13,1,15,12,3,4,14,6,7,8,9,5,10,11,,
5,14,12,9,15,6,11,1,10,8,3,2,4,7,13,,
4,6,10,1,13,12,8,9,2,11,15,5,14,3,7,,
11,13,7,2,15,13,6,3,4,12,8,1,5,10,9,,
15,15,15,1,15,15,14,15,3,15,2,15,15,15,15,,
3,1,8,4,14,6,13,2,9,11,5,15,10,12,7,,
12,9,3,3,10,13,8,11,2,3,7,1,5,4,6,,
2,15,10,8,14,12,4,7,3,13,1,5,6,9,11,,
5,11,8,7,15,4,13,9,3,6,1,2,12,14,10,,
4,14,2,13,9,8,10,15,7,3,1,11,6,12,5,,
15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,,
1,11,9,3,10,13,5,15,7,12,4,6,14,2,8,,
4,8,11,3,13,6,10,12,2,5,9,15,14,1,7,,
14,11,8,1,15,3,12,2,4,7,10,5,6,13,9,,
4,15,3,9,5,8,6,4,2,5,1,3,15,7,9,,
1,10,12,6,2,14,5,9,8,11,7,3,14,4,13,,
4,13,7,3,15,6,1,10,14,2,9,12,5,11,8,,
5,10,8,6,14,4,13,11,3,7,1,2,12,15,9,,
1,13,12,5,15,6,3,8,9,14,7,4,10,2,11,,
1,9,13,10,15,5,7,4,12,14,2,8,6,11,3,,
2,6,10,1,14,12,8,4,5,11,7,9,13,15,3,,
5,7,9,8,15,6,11,4,1,13,10,12,14,2,3,,
