rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,numSeats,numCands
2,11,1,3,11,3,11,1,11,11,11,1.0,11.0
10,3,1,4,7,5,11,2,6,9,8,,
11,4,2,7,8,3,6,1,5,10,9,,
1,4,2,3,11,11,5,1,5,11,11,,
11,4,1,2,8,3,10,7,9,6,5,,
11,4,2,1,10,3,7,5,6,8,9,,
11,4,11,3,8,2,11,1,11,11,11,,
11,1,6,7,2,8,4,3,9,5,10,,
11,4,1,6,5,11,11,2,3,11,11,,
11,2,1,11,2,11,10,4,11,2,11,,
11,6,1,3,11,2,9,5,4,8,7,,
11,3,2,1,4,10,10,10,10,5,10,,
11,11,1,11,3,2,11,4,11,11,11,,
3,9,2,8,4,10,7,1,5,6,7,,
11,11,1,5,11,11,11,2,11,9,9,,
11,11,1,3,11,2,11,11,11,11,11,,
11,2,4,3,10,1,8,5,9,7,6,,
5,1,3,6,2,4,11,11,11,11,11,,
11,3,3,5,11,3,11,1,11,1,2,,
11,5,1,4,7,3,9,2,6,8,10,,
11,3,1,6,7,10,9,8,2,5,4,,
11,2,1,11,11,1,11,11,11,11,11,,
1,3,2,2,3,11,11,11,2,11,11,,
11,4,2,4,11,8,11,3,11,1,2,,
1,5,1,2,5,11,5,1,3,4,11,,
4,8,1,7,2,11,4,2,11,3,9,,
11,11,1,11,11,1,11,11,11,11,11,,
1,5,2,3,11,10,5,4,5,11,11,,
11,3,6,4,10,5,7,9,8,2,1,,
11,10,4,11,1,11,5,2,11,3,2,,
11,8,1,6,10,5,9,2,7,4,3,,
