rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,numSeats,numCands
15,13,14,4,11,2,5,3,16,10,9,6,12,8,17,1,7,1.0,17.0
17,4,17,5,17,17,17,1,17,2,17,17,17,3,17,17,17,,
5,6,2,13,12,16,10,14,8,4,15,11,3,1,17,9,16,,
8,2,10,17,17,1,6,9,17,3,4,7,11,17,17,17,5,,
17,17,4,17,3,17,17,17,17,1,17,17,17,17,17,2,17,,
17,1,17,17,17,17,2,17,17,17,17,17,17,17,17,17,17,,
5,17,17,17,17,1,17,4,17,6,17,2,17,17,17,17,3,,
10,3,6,12,15,1,2,8,17,5,16,7,4,11,14,9,13,,
2,16,13,1,15,3,10,12,7,9,4,11,5,14,17,6,8,,
3,11,5,12,17,17,17,15,17,4,14,6,2,1,13,17,16,,
17,17,17,17,17,5,17,4,17,17,10,17,17,17,3,6,1,,
17,17,17,17,17,17,17,17,17,17,2,17,17,1,17,17,17,,
15,8,6,14,2,5,12,16,9,7,4,13,3,10,17,1,11,,
8,16,4,9,12,5,6,5,13,12,2,3,17,1,10,7,11,,
8,2,6,16,10,12,1,5,9,4,11,7,13,3,17,15,14,,
14,13,17,6,5,2,12,1,9,3,16,7,15,10,11,4,8,,
17,2,17,17,17,17,17,17,17,17,17,17,17,17,1,17,17,,
17,17,17,17,17,4,17,3,17,11,10,17,17,17,17,2,1,,
2,6,13,14,12,1,11,9,17,10,4,8,15,5,16,7,3,,
17,17,17,17,5,17,17,1,17,1,17,17,17,3,17,17,4,,
1,17,2,17,17,17,17,17,17,17,4,3,17,17,17,17,17,,
12,13,2,6,5,16,15,1,17,7,9,12,8,11,10,3,4,,
17,17,17,3,17,17,17,17,17,17,1,17,17,2,17,17,17,,
7,1,4,17,17,17,17,6,2,8,17,17,3,5,17,17,9,,
17,17,4,3,17,17,17,17,17,17,1,17,17,2,17,17,17,,
17,1,17,17,17,17,2,17,17,17,17,17,17,17,17,17,17,,
16,17,17,9,10,12,2,4,17,1,2,3,6,16,15,1,15,,
13,1,5,11,15,7,2,12,14,6,8,3,4,16,17,10,9,,
2,2,1,5,9,1,1,1,3,17,10,8,16,17,4,4,6,,
17,1,17,17,17,17,2,17,17,17,17,17,17,17,17,17,17,,
17,17,17,1,17,17,17,17,17,17,17,17,17,17,17,17,17,,
17,17,17,17,17,3,17,4,17,17,8,17,17,10,2,17,1,,
