voterId,rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,numSeats,numCands
762,Tariq PARVEZ (Con),Bill BUTLER (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,10
763,Tariq PARVEZ (Con),Bill BUTLER (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,10
764,Tariq PARVEZ (Con),Bill BUTLER (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,10
765,Tariq PARVEZ (Con),Bill BUTLER (Lab),David WALKER (LD),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,10
766,Tariq PARVEZ (Con),Bill BUTLER (Lab),David WALKER (LD),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,10
767,Tariq PARVEZ (Con),Bill BUTLER (Lab),David WALKER (LD),Gisela ALLEN (UKIP),Gillian MACDONALD (Grn),Samuel COOK (Sol),Michael CULLEN (SNP),skipped,skipped,skipped,,10
768,Tariq PARVEZ (Con),Bill BUTLER (Lab),David WALKER (LD),Gillian MACDONALD (Grn),Samuel COOK (Sol),Gisela ALLEN (UKIP),Michael CULLEN (SNP),skipped,skipped,skipped,,10
769,Tariq PARVEZ (Con),Bill BUTLER (Lab),Gisela ALLEN (UKIP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,10
770,Tariq PARVEZ (Con),Bill BUTLER (Lab),Gisela ALLEN (UKIP),Samuel COOK (Sol),skipped,skipped,skipped,skipped,skipped,skipped,,10
771,Tariq PARVEZ (Con),Samuel COOK (Sol),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,10
772,Tariq PARVEZ (Con),Bill BUTLER (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,10
773,Tariq PARVEZ (Con),David WALKER (LD),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,10
774,Tariq PARVEZ (Con),David WALKER (LD),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,10
775,Tariq PARVEZ (Con),David WALKER (LD),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,10
776,Tariq PARVEZ (Con),David WALKER (LD),Bill BUTLER (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,10
777,Tariq PARVEZ (Con),David WALKER (LD),Gisela ALLEN (UKIP),Bill BUTLER (Lab),skipped,skipped,skipped,skipped,skipped,skipped,,10
778,Tariq PARVEZ (Con),David WALKER (LD),Gillian MACDONALD (Grn),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,10
779,Tariq PARVEZ (Con),David WALKER (LD),Gillian MACDONALD (Grn),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,10
780,Tariq PARVEZ (Con),Gisela ALLEN (UKIP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,10
781,Tariq PARVEZ (Con),Gillian MACDONALD (Grn),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,10
782,Samuel COOK (Sol),Bill BUTLER (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,10
783,Samuel COOK (Sol),Bill BUTLER (Lab),Gillian MACDONALD (Grn),Michael CULLEN (SNP),Tariq PARVEZ (Con),David WALKER (LD),Gisela ALLEN (UKIP),skipped,skipped,skipped,,10
784,Samuel COOK (Sol),Bill BUTLER (Lab),Gisela ALLEN (UKIP),Michael CULLEN (SNP),Gillian MACDONALD (Grn),Tariq PARVEZ (Con),David WALKER (LD),skipped,skipped,skipped,,10
785,Samuel COOK (Sol),Bill BUTLER (Lab),Gillian MACDONALD (Grn),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,10
786,Samuel COOK (Sol),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,10
787,Samuel COOK (Sol),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,10
788,Samuel COOK (Sol),David WALKER (LD),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,10
789,Samuel COOK (Sol),Gillian MACDONALD (Grn),Bill BUTLER (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,10
790,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,10
791,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,10
792,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,10
793,Bill BUTLER (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,10
794,Bill BUTLER (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,10
795,Bill BUTLER (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,10
796,Bill BUTLER (Lab),Michael CULLEN (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,10
797,Tariq PARVEZ (Con),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,10
798,David WALKER (LD),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,10
799,Michael CULLEN (SNP),Bill BUTLER (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,10
800,Gillian MACDONALD (Grn),Michael CULLEN (SNP),Samuel COOK (Sol),Bill BUTLER (Lab),Tariq PARVEZ (Con),Gisela ALLEN (UKIP),David WALKER (LD),skipped,skipped,skipped,,10
801,David WALKER (LD),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,10
802,David WALKER (LD),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,10
803,David WALKER (LD),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,10
804,David WALKER (LD),Bill BUTLER (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,10
805,David WALKER (LD),Bill BUTLER (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,10
806,David WALKER (LD),Bill BUTLER (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,10
807,David WALKER (LD),Bill BUTLER (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,10
808,David WALKER (LD),Bill BUTLER (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,10
809,David WALKER (LD),Bill BUTLER (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,10
810,David WALKER (LD),Bill BUTLER (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,10
811,David WALKER (LD),Bill BUTLER (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,10
