,file,plurality,IRV,top-two,borda-pm,borda-om,borda-avg,top-3-truncation,condorcet,minimax,smith_plurality,smith_irv,smith-minimax,ranked-pairs,bucklin,approval,smith,0.4_perturbed_plurality,0.4_perturbed_IRV,0.4_perturbed_top-two,0.4_perturbed_borda-pm,0.4_perturbed_borda-om,0.4_perturbed_borda-avg,0.4_perturbed_top-3-truncation,0.4_perturbed_condorcet,0.4_perturbed_minimax,0.4_perturbed_smith_plurality,0.4_perturbed_smith_irv,0.4_perturbed_smith-minimax,0.4_perturbed_ranked-pairs,0.4_perturbed_bucklin,0.4_perturbed_approval,0.4_perturbed_smith
0,Australia_Victoria_LegAssembly_2022/BallotPaperDetails-Brighton with candidates.csv,['James Newbury'],['James Newbury'],['James Newbury'],['James Newbury'],['James Newbury'],['James Newbury'],['James Newbury'],['James Newbury'],['James Newbury'],['James Newbury'],['James Newbury'],['James Newbury'],['James Newbury'],['James Newbury'],['Allan L. Timms'],['James Newbury'],['James Newbury'],['James Newbury'],['James Newbury'],['James Newbury'],['James Newbury'],['James Newbury'],['James Newbury'],['James Newbury'],['James Newbury'],['James Newbury'],['James Newbury'],['James Newbury'],['James Newbury'],['James Newbury'],['Allan L. Timms'],['James Newbury']
1,Australia_Victoria_LegAssembly_2022/BallotPaperDetails-Northcote with candidates.csv,['Kat Theophanous'],['Kat Theophanous'],['Kat Theophanous'],['Campbell Gome'],['Campbell Gome'],['Campbell Gome'],['Kat Theophanous'],['Kat Theophanous'],['Kat Theophanous'],['Kat Theophanous'],['Kat Theophanous'],['Kat Theophanous'],['Kat Theophanous'],['Kat Theophanous'],['Campbell Gome'],['Kat Theophanous'],['Kat Theophanous'],['Kat Theophanous'],['Kat Theophanous'],['Campbell Gome'],['Campbell Gome'],['Campbell Gome'],['Kat Theophanous'],['Kat Theophanous'],['Kat Theophanous'],['Kat Theophanous'],['Kat Theophanous'],['Kat Theophanous'],['Kat Theophanous'],['Kat Theophanous'],['Campbell Gome'],['Kat Theophanous']
2,Australia_Victoria_LegAssembly_2022/BallotPaperDetails-Hawthorn with candidates.csv,['John Pesutto'],['John Pesutto'],['John Pesutto'],['John Pesutto'],['John Pesutto'],['John Pesutto'],['John Pesutto'],['John Pesutto'],['John Pesutto'],['John Pesutto'],['John Pesutto'],['John Pesutto'],['John Pesutto'],['John Pesutto'],['Faith Fuhrer'],['John Pesutto'],['John Pesutto'],['John Pesutto'],['John Pesutto'],['John Pesutto'],['John Pesutto'],['John Pesutto'],['John Pesutto'],['John Pesutto'],['John Pesutto'],['John Pesutto'],['John Pesutto'],['John Pesutto'],['John Pesutto'],['John Pesutto'],['Faith Fuhrer'],['John Pesutto']
3,Australia_Victoria_LegAssembly_2022/BallotPaperDetails-Preston with Candidates.csv,['Nathan Lambert'],['Nathan Lambert'],['Nathan Lambert'],['Nathan Lambert'],['Nathan Lambert'],['Nathan Lambert'],['Nathan Lambert'],['Nathan Lambert'],['Nathan Lambert'],['Nathan Lambert'],['Nathan Lambert'],['Nathan Lambert'],['Nathan Lambert'],['Nathan Lambert'],['Gaetano Greco'],['Nathan Lambert'],['Nathan Lambert'],['Nathan Lambert'],['Nathan Lambert'],['Nathan Lambert'],['Nathan Lambert'],['Nathan Lambert'],['Nathan Lambert'],['Nathan Lambert'],['Nathan Lambert'],['Nathan Lambert'],['Nathan Lambert'],['Nathan Lambert'],['Nathan Lambert'],['Nathan Lambert'],['Gaetano Greco'],['Nathan Lambert']
4,Australia_NewSouthWales_Mayorals_2021/Ballina-mayoral-finalpreferencedatafile (1).csv,['CADWALLADER Sharon'],['CADWALLADER Sharon'],['CADWALLADER Sharon'],['CADWALLADER Sharon'],['CADWALLADER Sharon'],['CADWALLADER Sharon'],['CADWALLADER Sharon'],['CADWALLADER Sharon'],['CADWALLADER Sharon'],['CADWALLADER Sharon'],['CADWALLADER Sharon'],['CADWALLADER Sharon'],['CADWALLADER Sharon'],['CADWALLADER Sharon'],['CADWALLADER Sharon'],['CADWALLADER Sharon'],['CADWALLADER Sharon'],['CADWALLADER Sharon'],['CADWALLADER Sharon'],['CADWALLADER Sharon'],['CADWALLADER Sharon'],['CADWALLADER Sharon'],['CADWALLADER Sharon'],['CADWALLADER Sharon'],['CADWALLADER Sharon'],['CADWALLADER Sharon'],['CADWALLADER Sharon'],['CADWALLADER Sharon'],['CADWALLADER Sharon'],['CADWALLADER Sharon'],['CADWALLADER Sharon'],['CADWALLADER Sharon']
5,Australia_NewSouthWales_Mayorals_2021/The_Hills_Shire-mayoral-finalpreferencedatafile.csv,['GANGEMI Peter'],['GANGEMI Peter'],['GANGEMI Peter'],['GANGEMI Peter'],['GANGEMI Peter'],['GANGEMI Peter'],['GANGEMI Peter'],['GANGEMI Peter'],['GANGEMI Peter'],['GANGEMI Peter'],['GANGEMI Peter'],['GANGEMI Peter'],['GANGEMI Peter'],['GANGEMI Peter'],['GANGEMI Peter'],['GANGEMI Peter'],['GANGEMI Peter'],['GANGEMI Peter'],['GANGEMI Peter'],['GANGEMI Peter'],['GANGEMI Peter'],['GANGEMI Peter'],['GANGEMI Peter'],['GANGEMI Peter'],['GANGEMI Peter'],['GANGEMI Peter'],['GANGEMI Peter'],['GANGEMI Peter'],['GANGEMI Peter'],['GANGEMI Peter'],['GANGEMI Peter'],['GANGEMI Peter']
6,Australia_NewSouthWales_Mayorals_2021/Nambucca_Valley-mayoral-finalpreferencedatafile.csv,['HOBAN Rhonda'],['HOBAN Rhonda'],['HOBAN Rhonda'],['HOBAN Rhonda'],['HOBAN Rhonda'],['HOBAN Rhonda'],['HOBAN Rhonda'],['HOBAN Rhonda'],['HOBAN Rhonda'],['HOBAN Rhonda'],['HOBAN Rhonda'],['HOBAN Rhonda'],['HOBAN Rhonda'],['HOBAN Rhonda'],['HOBAN Rhonda'],['HOBAN Rhonda'],['HOBAN Rhonda'],['HOBAN Rhonda'],['HOBAN Rhonda'],['HOBAN Rhonda'],['HOBAN Rhonda'],['HOBAN Rhonda'],['HOBAN Rhonda'],['HOBAN Rhonda'],['HOBAN Rhonda'],['HOBAN Rhonda'],['HOBAN Rhonda'],['HOBAN Rhonda'],['HOBAN Rhonda'],['HOBAN Rhonda'],['HOBAN Rhonda'],['HOBAN Rhonda']
7,Australia_NewSouthWales_Mayorals_2021/City_of_Sydney-mayoral-finalpreferencedatafile.csv,['MOORE Clover'],['MOORE Clover'],['MOORE Clover'],['MOORE Clover'],['MOORE Clover'],['MOORE Clover'],['MOORE Clover'],['MOORE Clover'],['MOORE Clover'],['MOORE Clover'],['MOORE Clover'],['MOORE Clover'],['MOORE Clover'],['MOORE Clover'],['MOORE Clover'],['MOORE Clover'],['MOORE Clover'],['MOORE Clover'],['MOORE Clover'],['MOORE Clover'],['MOORE Clover'],['MOORE Clover'],['MOORE Clover'],['MOORE Clover'],['MOORE Clover'],['MOORE Clover'],['MOORE Clover'],['MOORE Clover'],['MOORE Clover'],['MOORE Clover'],['MOORE Clover'],['MOORE Clover']
8,Australia_NewSouthWales_Mayorals_2021/City_of_Coffs_Harbour-mayoral-finalpreferencedatafile.csv,['AMOS Paul'],['AMOS Paul'],['AMOS Paul'],['AMOS Paul'],['AMOS Paul'],['AMOS Paul'],['AMOS Paul'],['AMOS Paul'],['AMOS Paul'],['AMOS Paul'],['AMOS Paul'],['AMOS Paul'],['AMOS Paul'],['AMOS Paul'],['AMOS Paul'],['AMOS Paul'],['AMOS Paul'],['AMOS Paul'],['AMOS Paul'],['AMOS Paul'],['AMOS Paul'],['AMOS Paul'],['AMOS Paul'],['AMOS Paul'],['AMOS Paul'],['AMOS Paul'],['AMOS Paul'],['AMOS Paul'],['AMOS Paul'],['AMOS Paul'],['AMOS Paul'],['AMOS Paul']
9,Australia_NewSouthWales_Mayorals_2021/City_of_Lismore-mayoral-finalpreferencedatafile.csv,['KRIEG Steve'],['KRIEG Steve'],['KRIEG Steve'],['KRIEG Steve'],['KRIEG Steve'],['KRIEG Steve'],['KRIEG Steve'],['KRIEG Steve'],['KRIEG Steve'],['KRIEG Steve'],['KRIEG Steve'],['KRIEG Steve'],['KRIEG Steve'],['KRIEG Steve'],['KRIEG Steve'],['KRIEG Steve'],['KRIEG Steve'],['KRIEG Steve'],['KRIEG Steve'],['KRIEG Steve'],['KRIEG Steve'],['KRIEG Steve'],['KRIEG Steve'],['KRIEG Steve'],['KRIEG Steve'],['KRIEG Steve'],['KRIEG Steve'],['KRIEG Steve'],['KRIEG Steve'],['KRIEG Steve'],['KRIEG Steve'],['KRIEG Steve']
