ballotID,ward,rank1,rank2,numSeats,numCands
12,200,Cindy Dyballa,skipped,1,2
15,200,Cindy Dyballa,skipped,1,2
16,200,Cindy Dyballa,skipped,1,2
20,200,Cindy Dyballa,skipped,1,2
35,200,Cindy Dyballa,skipped,1,2
36,200,Cindy Dyballa,skipped,1,2
50,200,Cindy Dyballa,skipped,1,2
73,200,Cindy Dyballa,skipped,1,2
75,200,Cindy Dyballa,skipped,1,2
76,200,Cindy Dyballa,skipped,1,2
77,200,Cindy Dyballa,skipped,1,2
79,200,Cindy Dyballa,skipped,1,2
85,200,Cindy Dyballa,skipped,1,2
86,200,Cindy Dyballa,skipped,1,2
98,200,Cindy Dyballa,skipped,1,2
99,200,Cindy Dyballa,skipped,1,2
112,200,Cindy Dyballa,skipped,1,2
120,200,Cindy Dyballa,skipped,1,2
124,200,Cindy Dyballa,skipped,1,2
128,200,Cindy Dyballa,skipped,1,2
130,200,Cindy Dyballa,skipped,1,2
131,200,Cindy Dyballa,skipped,1,2
133,200,Cindy Dyballa,skipped,1,2
135,200,Cindy Dyballa,skipped,1,2
139,200,Cindy Dyballa,skipped,1,2
145,200,Cindy Dyballa,skipped,1,2
153,200,Cindy Dyballa,skipped,1,2
165,200,Cindy Dyballa,skipped,1,2
173,200,Cindy Dyballa,skipped,1,2
180,200,Cindy Dyballa,skipped,1,2
181,200,Cindy Dyballa,skipped,1,2
182,200,Cindy Dyballa,skipped,1,2
212,200,Cindy Dyballa,skipped,1,2
213,200,Cindy Dyballa,skipped,1,2
217,200,Cindy Dyballa,skipped,1,2
227,200,Cindy Dyballa,skipped,1,2
230,200,Cindy Dyballa,skipped,1,2
237,200,Cindy Dyballa,skipped,1,2
242,200,Cindy Dyballa,skipped,1,2
244,200,Cindy Dyballa,skipped,1,2
250,200,Cindy Dyballa,skipped,1,2
253,200,Cindy Dyballa,skipped,1,2
254,200,Cindy Dyballa,skipped,1,2
266,200,Cindy Dyballa,skipped,1,2
267,200,Cindy Dyballa,skipped,1,2
268,200,Cindy Dyballa,skipped,1,2
269,200,Cindy Dyballa,skipped,1,2
272,200,Cindy Dyballa,skipped,1,2
274,200,Cindy Dyballa,skipped,1,2
