Ballot Style,Cast Vote Record,Precinct,rank1,rank2,rank3,rank4,rank5,rank6,rank7,numSeats,numCands
MUN Ballot Style 1,3,Portland 1-3,"Mancini, Kimberly A.","Hang, Stacey L.","Grant, Benjamin K.",skipped,skipped,skipped,skipped,2.0,7
MUN Ballot Style 1,4,Portland 1-3,"Lentz, Sarah M.","Hang, Stacey L.","Grant, Benjamin K.",skipped,skipped,skipped,skipped,,7
MUN Ballot Style 1,5,Portland 1-3,"Hang, Stacey L.","Lentz, Sarah M.",skipped,skipped,skipped,skipped,skipped,,7
MUN Ballot Style 1,6,Portland 1-3,"Hang, Stacey L.","Grant, Benjamin K.","Lentz, Sarah M.",skipped,skipped,skipped,skipped,,7
MUN Ballot Style 1,7,Portland 1-3,"Grant, Benjamin K.","Mancini, Kimberly A.","Lentz, Sarah M.",skipped,skipped,skipped,skipped,,7
MUN Ballot Style 1,8,Portland 1-3,"Hang, Stacey L.","Lentz, Sarah M.","Grant, Benjamin K.","Albert, Stephanie G.",skipped,skipped,skipped,,7
MUN Ballot Style 1,9,Portland 1-3,"Hang, Stacey L.","Albert, Stephanie G.","Grant, Benjamin K.","Lentz, Sarah M.","Schertz, Amber J.","Ward, Richard L.","Mancini, Kimberly A.",,7
MUN Ballot Style 1,10,Portland 1-3,"Mancini, Kimberly A.","Lentz, Sarah M.","Hang, Stacey L.","Albert, Stephanie G.","Schertz, Amber J.",skipped,skipped,,7
MUN Ballot Style 1,11,Portland 1-3,"Grant, Benjamin K.","Albert, Stephanie G.",skipped,skipped,skipped,skipped,skipped,,7
MUN Ballot Style 1,12,Portland 1-3,"Albert, Stephanie G.","Grant, Benjamin K.","Hang, Stacey L.",skipped,skipped,skipped,skipped,,7
MUN Ballot Style 1,13,Portland 1-3,"Lentz, Sarah M.","Grant, Benjamin K.","Albert, Stephanie G.","Hang, Stacey L.","Mancini, Kimberly A.","Schertz, Amber J.","Ward, Richard L.",,7
MUN Ballot Style 1,14,Portland 1-3,"Grant, Benjamin K.","Albert, Stephanie G.","Mancini, Kimberly A.",skipped,skipped,skipped,skipped,,7
MUN Ballot Style 1,16,Portland 1-3,"Schertz, Amber J.","Ward, Richard L.","Mancini, Kimberly A.",skipped,skipped,skipped,skipped,,7
MUN Ballot Style 1,18,Portland 1-3,"Schertz, Amber J.","Ward, Richard L.","Mancini, Kimberly A.",skipped,skipped,skipped,skipped,,7
MUN Ballot Style 1,19,Portland 1-3,"Albert, Stephanie G.","Grant, Benjamin K.","Lentz, Sarah M.",skipped,skipped,skipped,skipped,,7
MUN Ballot Style 1,20,Portland 1-3,"Lentz, Sarah M.","Schertz, Amber J.","Albert, Stephanie G.",skipped,skipped,skipped,skipped,,7
MUN Ballot Style 1,22,Portland 1-3,"Hang, Stacey L.","Grant, Benjamin K.","Mancini, Kimberly A.","Schertz, Amber J.","Lentz, Sarah M.","Ward, Richard L.","Albert, Stephanie G.",,7
MUN Ballot Style 1,23,Portland 1-3,"Lentz, Sarah M.",skipped,skipped,skipped,skipped,skipped,skipped,,7
MUN Ballot Style 1,24,Portland 1-3,"Grant, Benjamin K.","Lentz, Sarah M.","Albert, Stephanie G.","Mancini, Kimberly A.","Schertz, Amber J.","Hang, Stacey L.","Ward, Richard L.",,7
MUN Ballot Style 1,25,Portland 1-3,"Grant, Benjamin K.","Lentz, Sarah M.",skipped,skipped,skipped,skipped,skipped,,7
MUN Ballot Style 1,26,Portland 1-3,"Grant, Benjamin K.","Lentz, Sarah M.","Ward, Richard L.","Albert, Stephanie G.","Hang, Stacey L.","Schertz, Amber J.","Mancini, Kimberly A.",,7
MUN Ballot Style 1,27,Portland 1-3,"Grant, Benjamin K.","Lentz, Sarah M.",skipped,skipped,skipped,skipped,skipped,,7
MUN Ballot Style 1,28,Portland 1-3,"Schertz, Amber J.","Ward, Richard L.","Mancini, Kimberly A.",skipped,skipped,skipped,skipped,,7
MUN Ballot Style 1,29,Portland 1-3,"Albert, Stephanie G.","Grant, Benjamin K.","Hang, Stacey L.","Lentz, Sarah M.","Mancini, Kimberly A.","Schertz, Amber J.","Ward, Richard L.",,7
MUN Ballot Style 1,30,Portland 1-3,"Lentz, Sarah M.","Grant, Benjamin K.","Albert, Stephanie G.",skipped,skipped,skipped,skipped,,7
MUN Ballot Style 1,31,Portland 1-3,"Lentz, Sarah M.","Hang, Stacey L.","Mancini, Kimberly A.","Schertz, Amber J.","Albert, Stephanie G.","Grant, Benjamin K.","Ward, Richard L.",,7
MUN Ballot Style 1,32,Portland 1-3,"Grant, Benjamin K.","Mancini, Kimberly A.",skipped,skipped,skipped,skipped,skipped,,7
MUN Ballot Style 1,33,Portland 1-3,"Grant, Benjamin K.","Albert, Stephanie G.","Hang, Stacey L.","Lentz, Sarah M.","Mancini, Kimberly A.","Schertz, Amber J.","Ward, Richard L.",,7
MUN Ballot Style 1,34,Portland 1-3,"Lentz, Sarah M.","Grant, Benjamin K.","Ward, Richard L.","Albert, Stephanie G.","Hang, Stacey L.",skipped,skipped,,7
MUN Ballot Style 1,35,Portland 1-3,"Grant, Benjamin K.","Lentz, Sarah M.","Ward, Richard L.",skipped,skipped,skipped,skipped,,7
MUN Ballot Style 1,36,Portland 1-3,"Lentz, Sarah M.","Grant, Benjamin K.",skipped,skipped,skipped,skipped,skipped,,7
MUN Ballot Style 1,37,Portland 1-3,"Lentz, Sarah M.","Grant, Benjamin K.",skipped,skipped,skipped,skipped,skipped,,7
MUN Ballot Style 1,38,Portland 1-3,"Grant, Benjamin K.","Lentz, Sarah M.",skipped,skipped,skipped,skipped,skipped,,7
MUN Ballot Style 1,39,Portland 1-3,"Albert, Stephanie G.","Lentz, Sarah M.","Mancini, Kimberly A.",skipped,skipped,skipped,skipped,,7
MUN Ballot Style 1,40,Portland 1-3,"Grant, Benjamin K.","Lentz, Sarah M.",skipped,skipped,skipped,skipped,skipped,,7
MUN Ballot Style 1,41,Portland 1-3,"Mancini, Kimberly A.","Ward, Richard L.","Albert, Stephanie G.",skipped,skipped,skipped,skipped,,7
MUN Ballot Style 1,42,Portland 1-3,"Grant, Benjamin K.","Albert, Stephanie G.","Lentz, Sarah M.","Mancini, Kimberly A.",skipped,skipped,skipped,,7
MUN Ballot Style 1,44,Portland 1-3,"Lentz, Sarah M.","Grant, Benjamin K.",skipped,skipped,skipped,skipped,skipped,,7
MUN Ballot Style 1,45,Portland 1-3,"Mancini, Kimberly A.","Grant, Benjamin K.","Ward, Richard L.","Hang, Stacey L.","Schertz, Amber J.",skipped,skipped,,7
MUN Ballot Style 1,46,Portland 1-3,"Lentz, Sarah M.",skipped,skipped,skipped,skipped,skipped,skipped,,7
MUN Ballot Style 1,47,Portland 1-3,"Mancini, Kimberly A.",skipped,skipped,skipped,skipped,skipped,skipped,,7
MUN Ballot Style 1,48,Portland 1-3,"Grant, Benjamin K.","Lentz, Sarah M.",skipped,skipped,skipped,skipped,skipped,,7
MUN Ballot Style 1,49,Portland 1-3,"Grant, Benjamin K.","Lentz, Sarah M.","Albert, Stephanie G.","Ward, Richard L.",skipped,skipped,skipped,,7
MUN Ballot Style 1,50,Portland 1-3,"Grant, Benjamin K.","Lentz, Sarah M.","Hang, Stacey L.",skipped,skipped,skipped,skipped,,7
MUN Ballot Style 1,52,Portland 1-3,"Schertz, Amber J.","Mancini, Kimberly A.","Albert, Stephanie G.","Grant, Benjamin K.","Lentz, Sarah M.",skipped,skipped,,7
MUN Ballot Style 1,53,Portland 1-3,"Lentz, Sarah M.","Grant, Benjamin K.",skipped,skipped,skipped,skipped,skipped,,7
MUN Ballot Style 1,54,Portland 1-3,"Lentz, Sarah M.","Grant, Benjamin K.",skipped,skipped,skipped,skipped,skipped,,7
MUN Ballot Style 1,56,Portland 1-3,"Mancini, Kimberly A.","Lentz, Sarah M.","Hang, Stacey L.","Grant, Benjamin K.","Albert, Stephanie G.","Schertz, Amber J.",skipped,,7
MUN Ballot Style 1,57,Portland 1-3,"Lentz, Sarah M.","Grant, Benjamin K.","Albert, Stephanie G.",skipped,skipped,skipped,skipped,,7
MUN Ballot Style 1,58,Portland 1-3,"Grant, Benjamin K.","Albert, Stephanie G.",skipped,skipped,skipped,skipped,skipped,,7
MUN Ballot Style 1,59,Portland 1-3,"Lentz, Sarah M.","Albert, Stephanie G.","Grant, Benjamin K.",skipped,skipped,skipped,skipped,,7
MUN Ballot Style 1,60,Portland 1-3,"Lentz, Sarah M.","Grant, Benjamin K.",skipped,skipped,skipped,skipped,skipped,,7
MUN Ballot Style 1,61,Portland 1-3,"Lentz, Sarah M.","Grant, Benjamin K.",skipped,skipped,skipped,skipped,skipped,,7
MUN Ballot Style 1,62,Portland 1-3,"Mancini, Kimberly A.","Ward, Richard L.",skipped,skipped,skipped,skipped,skipped,,7
MUN Ballot Style 1,63,Portland 1-3,"Lentz, Sarah M.","Mancini, Kimberly A.","Schertz, Amber J.","Ward, Richard L.","Albert, Stephanie G.","Hang, Stacey L.","Grant, Benjamin K.",,7
MUN Ballot Style 1,64,Portland 1-3,"Grant, Benjamin K.","Lentz, Sarah M.","Hang, Stacey L.","Ward, Richard L.",skipped,skipped,skipped,,7
MUN Ballot Style 1,66,Portland 1-3,"Schertz, Amber J.","Hang, Stacey L.","Mancini, Kimberly A.",skipped,skipped,skipped,skipped,,7
MUN Ballot Style 1,67,Portland 1-3,"Albert, Stephanie G.","Lentz, Sarah M.","Schertz, Amber J.","Grant, Benjamin K.","Ward, Richard L.","Hang, Stacey L.",skipped,,7
MUN Ballot Style 1,68,Portland 1-3,"Lentz, Sarah M.","Hang, Stacey L.","Albert, Stephanie G.","Mancini, Kimberly A.","Schertz, Amber J.","Grant, Benjamin K.","Ward, Richard L.",,7
MUN Ballot Style 1,69,Portland 1-3,"Grant, Benjamin K.",skipped,skipped,skipped,skipped,skipped,skipped,,7
MUN Ballot Style 1,71,Portland 1-3,"Grant, Benjamin K.","Schertz, Amber J.","Mancini, Kimberly A.","Hang, Stacey L.","Lentz, Sarah M.","Ward, Richard L.","Albert, Stephanie G.",,7
MUN Ballot Style 1,72,Portland 1-3,"Albert, Stephanie G.","Grant, Benjamin K.","Lentz, Sarah M.","Hang, Stacey L.","Mancini, Kimberly A.","Schertz, Amber J.","Ward, Richard L.",,7
MUN Ballot Style 1,73,Portland 1-3,"Lentz, Sarah M.","Grant, Benjamin K.","Schertz, Amber J.",skipped,skipped,skipped,skipped,,7
MUN Ballot Style 1,74,Portland 1-3,"Albert, Stephanie G.","Hang, Stacey L.","Ward, Richard L.","Schertz, Amber J.","Lentz, Sarah M.","Mancini, Kimberly A.","Grant, Benjamin K.",,7
MUN Ballot Style 1,75,Portland 1-3,"Mancini, Kimberly A.",skipped,skipped,skipped,skipped,skipped,skipped,,7
MUN Ballot Style 1,76,Portland 1-3,"Albert, Stephanie G.","Lentz, Sarah M.","Hang, Stacey L.","Grant, Benjamin K.","Schertz, Amber J.","Mancini, Kimberly A.","Ward, Richard L.",,7
MUN Ballot Style 1,77,Portland 1-3,"Grant, Benjamin K.","Lentz, Sarah M.",skipped,skipped,skipped,skipped,skipped,,7
MUN Ballot Style 1,78,Portland 1-3,"Lentz, Sarah M.","Grant, Benjamin K.",skipped,skipped,skipped,skipped,skipped,,7
MUN Ballot Style 1,79,Portland 1-3,"Grant, Benjamin K.","Lentz, Sarah M.",skipped,skipped,skipped,skipped,skipped,,7
MUN Ballot Style 1,80,Portland 1-3,"Lentz, Sarah M.","Grant, Benjamin K.","Ward, Richard L.",skipped,skipped,skipped,skipped,,7
MUN Ballot Style 1,81,Portland 1-3,"Lentz, Sarah M.","Grant, Benjamin K.",skipped,skipped,skipped,skipped,skipped,,7
MUN Ballot Style 1,82,Portland 1-3,"Grant, Benjamin K.",skipped,skipped,skipped,skipped,skipped,skipped,,7
MUN Ballot Style 1,83,Portland 1-3,"Albert, Stephanie G.","Hang, Stacey L.","Mancini, Kimberly A.",skipped,skipped,skipped,skipped,,7
MUN Ballot Style 1,84,Portland 1-3,"Lentz, Sarah M.","Grant, Benjamin K.","Ward, Richard L.",skipped,skipped,skipped,skipped,,7
MUN Ballot Style 1,86,Portland 1-3,"Lentz, Sarah M.","Grant, Benjamin K.",skipped,skipped,skipped,skipped,skipped,,7
MUN Ballot Style 1,87,Portland 1-3,"Albert, Stephanie G.","Lentz, Sarah M.",skipped,skipped,skipped,skipped,skipped,,7
MUN Ballot Style 1,88,Portland 1-3,"Lentz, Sarah M.","Grant, Benjamin K.",skipped,skipped,skipped,skipped,skipped,,7
MUN Ballot Style 1,89,Portland 1-3,"Grant, Benjamin K.","Lentz, Sarah M.",skipped,skipped,skipped,skipped,skipped,,7
MUN Ballot Style 1,91,Portland 1-3,"Schertz, Amber J.",skipped,skipped,skipped,skipped,skipped,skipped,,7
MUN Ballot Style 1,93,Portland 1-3,"Lentz, Sarah M.","Ward, Richard L.",skipped,skipped,skipped,skipped,skipped,,7
MUN Ballot Style 1,94,Portland 1-3,"Grant, Benjamin K.","Lentz, Sarah M.","Mancini, Kimberly A.","Ward, Richard L.","Albert, Stephanie G.","Hang, Stacey L.","Schertz, Amber J.",,7
MUN Ballot Style 1,95,Portland 1-3,"Hang, Stacey L.","Lentz, Sarah M.","Schertz, Amber J.","Mancini, Kimberly A.","Albert, Stephanie G.","Ward, Richard L.","Grant, Benjamin K.",,7
MUN Ballot Style 1,96,Portland 1-3,"Hang, Stacey L.",skipped,skipped,skipped,skipped,skipped,skipped,,7
MUN Ballot Style 1,97,Portland 1-3,"Grant, Benjamin K.","Lentz, Sarah M.",skipped,skipped,skipped,skipped,skipped,,7
MUN Ballot Style 1,98,Portland 1-3,"Lentz, Sarah M.","Ward, Richard L.",skipped,skipped,skipped,skipped,skipped,,7
MUN Ballot Style 1,99,Portland 1-3,"Lentz, Sarah M.","Grant, Benjamin K.","Hang, Stacey L.","Albert, Stephanie G.",skipped,skipped,skipped,,7
MUN Ballot Style 1,100,Portland 1-3,"Lentz, Sarah M.","Grant, Benjamin K.","Schertz, Amber J.","Albert, Stephanie G.","Ward, Richard L.","Mancini, Kimberly A.","Hang, Stacey L.",,7
MUN Ballot Style 1,101,Portland 1-3,"Lentz, Sarah M.","Hang, Stacey L.",skipped,skipped,skipped,skipped,skipped,,7
MUN Ballot Style 1,102,Portland 1-3,"Hang, Stacey L.","Ward, Richard L.",skipped,skipped,skipped,skipped,skipped,,7
MUN Ballot Style 1,103,Portland 1-3,"Albert, Stephanie G.","Hang, Stacey L.","Grant, Benjamin K.","Mancini, Kimberly A.","Ward, Richard L.","Lentz, Sarah M.","Schertz, Amber J.",,7
MUN Ballot Style 1,104,Portland 1-3,"Mancini, Kimberly A.","Hang, Stacey L.","Albert, Stephanie G.","Schertz, Amber J.",skipped,skipped,skipped,,7
MUN Ballot Style 1,105,Portland 1-3,"Lentz, Sarah M.","Grant, Benjamin K.",skipped,skipped,skipped,skipped,skipped,,7
MUN Ballot Style 1,106,Portland 1-3,"Albert, Stephanie G.","Hang, Stacey L.","Lentz, Sarah M.","Schertz, Amber J.","Mancini, Kimberly A.","Grant, Benjamin K.","Ward, Richard L.",,7
MUN Ballot Style 1,107,Portland 1-3,"Albert, Stephanie G.","Grant, Benjamin K.",skipped,skipped,skipped,skipped,skipped,,7
MUN Ballot Style 1,108,Portland 1-3,"Hang, Stacey L.","Mancini, Kimberly A.","Schertz, Amber J.",skipped,skipped,skipped,skipped,,7
MUN Ballot Style 1,109,Portland 1-3,"Grant, Benjamin K.","Lentz, Sarah M.","Albert, Stephanie G.",skipped,skipped,skipped,skipped,,7
MUN Ballot Style 1,110,Portland 1-3,"Grant, Benjamin K.",skipped,skipped,skipped,skipped,skipped,skipped,,7
MUN Ballot Style 1,111,Portland 1-3,"Albert, Stephanie G.","Ward, Richard L.","Lentz, Sarah M.","Grant, Benjamin K.","Mancini, Kimberly A.","Hang, Stacey L.","Schertz, Amber J.",,7
MUN Ballot Style 1,112,Portland 1-3,"Schertz, Amber J.","Mancini, Kimberly A.","Ward, Richard L.","Grant, Benjamin K.","Lentz, Sarah M.","Albert, Stephanie G.","Hang, Stacey L.",,7
MUN Ballot Style 1,113,Portland 1-3,"Albert, Stephanie G.","Grant, Benjamin K.",skipped,skipped,skipped,skipped,skipped,,7
MUN Ballot Style 1,114,Portland 1-3,"Lentz, Sarah M.","Hang, Stacey L.","Schertz, Amber J.","Albert, Stephanie G.","Mancini, Kimberly A.","Grant, Benjamin K.","Ward, Richard L.",,7
MUN Ballot Style 1,115,Portland 1-3,"Grant, Benjamin K.","Lentz, Sarah M.","Mancini, Kimberly A.","Schertz, Amber J.","Ward, Richard L.","Hang, Stacey L.","Albert, Stephanie G.",,7
MUN Ballot Style 1,116,Portland 1-3,"Grant, Benjamin K.",skipped,skipped,skipped,skipped,skipped,skipped,,7
MUN Ballot Style 1,117,Portland 1-3,"Lentz, Sarah M.","Grant, Benjamin K.",skipped,skipped,skipped,skipped,skipped,,7
MUN Ballot Style 1,118,Portland 1-3,"Albert, Stephanie G.","Grant, Benjamin K.","Schertz, Amber J.",skipped,skipped,skipped,skipped,,7
MUN Ballot Style 1,119,Portland 1-3,"Grant, Benjamin K.","Mancini, Kimberly A.",skipped,skipped,skipped,skipped,skipped,,7
MUN Ballot Style 1,120,Portland 1-3,"Schertz, Amber J.","Hang, Stacey L.","Mancini, Kimberly A.","Albert, Stephanie G.","Grant, Benjamin K.","Lentz, Sarah M.","Ward, Richard L.",,7
MUN Ballot Style 1,121,Portland 1-3,"Grant, Benjamin K.","Ward, Richard L.","Hang, Stacey L.","Lentz, Sarah M.","Mancini, Kimberly A.","Schertz, Amber J.","Albert, Stephanie G.",,7
MUN Ballot Style 1,122,Portland 1-3,"Lentz, Sarah M.","Grant, Benjamin K.",skipped,skipped,skipped,skipped,skipped,,7
MUN Ballot Style 1,123,Portland 1-3,"Lentz, Sarah M.","Grant, Benjamin K.","Schertz, Amber J.","Albert, Stephanie G.","Hang, Stacey L.","Mancini, Kimberly A.","Ward, Richard L.",,7
MUN Ballot Style 1,124,Portland 1-3,"Grant, Benjamin K.","Albert, Stephanie G.","Mancini, Kimberly A.",skipped,skipped,skipped,skipped,,7
MUN Ballot Style 1,125,Portland 1-3,"Grant, Benjamin K.","Lentz, Sarah M.",skipped,skipped,skipped,skipped,skipped,,7
MUN Ballot Style 1,126,Portland 1-3,"Albert, Stephanie G.","Hang, Stacey L.","Schertz, Amber J.","Mancini, Kimberly A.",skipped,skipped,skipped,,7
MUN Ballot Style 1,127,Portland 1-3,"Lentz, Sarah M.","Grant, Benjamin K.",skipped,skipped,skipped,skipped,skipped,,7
MUN Ballot Style 1,128,Portland 1-3,"Lentz, Sarah M.","Grant, Benjamin K.",skipped,skipped,skipped,skipped,skipped,,7
MUN Ballot Style 1,129,Portland 1-3,"Lentz, Sarah M.","Schertz, Amber J.",skipped,skipped,skipped,skipped,skipped,,7
MUN Ballot Style 1,130,Portland 1-3,"Grant, Benjamin K.","Lentz, Sarah M.",skipped,skipped,skipped,skipped,skipped,,7
MUN Ballot Style 1,131,Portland 1-3,"Grant, Benjamin K.","Lentz, Sarah M.",skipped,skipped,skipped,skipped,skipped,,7
MUN Ballot Style 1,132,Portland 1-3,"Lentz, Sarah M.","Grant, Benjamin K.","Albert, Stephanie G.",skipped,skipped,skipped,skipped,,7
MUN Ballot Style 1,133,Portland 1-3,"Albert, Stephanie G.",skipped,skipped,skipped,skipped,skipped,skipped,,7
MUN Ballot Style 1,134,Portland 1-3,"Grant, Benjamin K.","Schertz, Amber J.","Lentz, Sarah M.","Albert, Stephanie G.","Ward, Richard L.","Hang, Stacey L.","Mancini, Kimberly A.",,7
MUN Ballot Style 1,135,Portland 1-3,"Grant, Benjamin K.","Lentz, Sarah M.",skipped,skipped,skipped,skipped,skipped,,7
MUN Ballot Style 1,136,Portland 1-3,"Grant, Benjamin K.","Hang, Stacey L.","Lentz, Sarah M.","Ward, Richard L.","Schertz, Amber J.","Mancini, Kimberly A.","Albert, Stephanie G.",,7
MUN Ballot Style 1,138,Portland 1-3,"Grant, Benjamin K.","Lentz, Sarah M.",skipped,skipped,skipped,skipped,skipped,,7
MUN Ballot Style 1,139,Portland 1-3,"Lentz, Sarah M.","Albert, Stephanie G.","Schertz, Amber J.","Mancini, Kimberly A.","Hang, Stacey L.",skipped,skipped,,7
MUN Ballot Style 1,140,Portland 1-3,"Grant, Benjamin K.","Albert, Stephanie G.","Lentz, Sarah M.",skipped,skipped,skipped,skipped,,7
MUN Ballot Style 1,141,Portland 1-3,"Lentz, Sarah M.","Grant, Benjamin K.",skipped,skipped,skipped,skipped,skipped,,7
MUN Ballot Style 1,142,Portland 1-3,"Lentz, Sarah M.","Grant, Benjamin K.","Albert, Stephanie G.",skipped,skipped,skipped,skipped,,7
MUN Ballot Style 1,143,Portland 1-3,"Hang, Stacey L.",skipped,skipped,skipped,skipped,skipped,skipped,,7
MUN Ballot Style 1,144,Portland 1-3,"Grant, Benjamin K.","Lentz, Sarah M.",skipped,skipped,skipped,skipped,skipped,,7
MUN Ballot Style 1,145,Portland 1-3,"Lentz, Sarah M.","Grant, Benjamin K.","Albert, Stephanie G.","Hang, Stacey L.","Mancini, Kimberly A.","Schertz, Amber J.","Ward, Richard L.",,7
MUN Ballot Style 1,146,Portland 1-3,"Lentz, Sarah M.","Ward, Richard L.","Grant, Benjamin K.","Albert, Stephanie G.","Hang, Stacey L.","Schertz, Amber J.","Mancini, Kimberly A.",,7
MUN Ballot Style 1,148,Portland 1-3,"Grant, Benjamin K.","Lentz, Sarah M.",skipped,skipped,skipped,skipped,skipped,,7
MUN Ballot Style 1,149,Portland 1-3,"Lentz, Sarah M.","Grant, Benjamin K.",skipped,skipped,skipped,skipped,skipped,,7
MUN Ballot Style 1,151,Portland 1-3,"Grant, Benjamin K.","Mancini, Kimberly A.","Lentz, Sarah M.","Schertz, Amber J.","Ward, Richard L.","Albert, Stephanie G.","Hang, Stacey L.",,7
MUN Ballot Style 1,152,Portland 1-3,"Grant, Benjamin K.","Lentz, Sarah M.","Schertz, Amber J.","Albert, Stephanie G.","Hang, Stacey L.","Ward, Richard L.",skipped,,7
MUN Ballot Style 1,153,Portland 1-3,"Grant, Benjamin K.","Lentz, Sarah M.",skipped,skipped,skipped,skipped,skipped,,7
MUN Ballot Style 1,155,Portland 1-3,"Mancini, Kimberly A.","Schertz, Amber J.","Hang, Stacey L.",skipped,skipped,skipped,skipped,,7
MUN Ballot Style 1,156,Portland 1-3,"Ward, Richard L.","Albert, Stephanie G.","Grant, Benjamin K.","Hang, Stacey L.","Lentz, Sarah M.","Mancini, Kimberly A.","Schertz, Amber J.",,7
MUN Ballot Style 1,158,Portland 1-3,"Lentz, Sarah M.","Grant, Benjamin K.","Mancini, Kimberly A.","Schertz, Amber J.","Albert, Stephanie G.","Hang, Stacey L.","Ward, Richard L.",,7
MUN Ballot Style 1,159,Portland 1-3,"Lentz, Sarah M.","Albert, Stephanie G.","Grant, Benjamin K.",skipped,skipped,skipped,skipped,,7
MUN Ballot Style 1,160,Portland 1-3,"Grant, Benjamin K.","Lentz, Sarah M.",skipped,skipped,skipped,skipped,skipped,,7
MUN Ballot Style 1,162,Portland 1-3,"Lentz, Sarah M.","Albert, Stephanie G.","Mancini, Kimberly A.","Schertz, Amber J.","Grant, Benjamin K.","Hang, Stacey L.","Ward, Richard L.",,7
MUN Ballot Style 1,163,Portland 1-3,"Hang, Stacey L.","Schertz, Amber J.","Grant, Benjamin K.",skipped,skipped,skipped,skipped,,7
MUN Ballot Style 1,164,Portland 1-3,"Grant, Benjamin K.","Albert, Stephanie G.","Hang, Stacey L.","Mancini, Kimberly A.","Lentz, Sarah M.","Schertz, Amber J.","Ward, Richard L.",,7
MUN Ballot Style 1,165,Portland 1-3,"Lentz, Sarah M.","Grant, Benjamin K.",skipped,skipped,skipped,skipped,skipped,,7
MUN Ballot Style 1,166,Portland 1-3,"Grant, Benjamin K.","Lentz, Sarah M.",skipped,skipped,skipped,skipped,skipped,,7
MUN Ballot Style 1,167,Portland 1-3,"Schertz, Amber J.","Mancini, Kimberly A.","Lentz, Sarah M.",skipped,skipped,skipped,skipped,,7
MUN Ballot Style 1,169,Portland 1-3,"Lentz, Sarah M.","Grant, Benjamin K.",skipped,skipped,skipped,skipped,skipped,,7
MUN Ballot Style 1,170,Portland 1-3,"Mancini, Kimberly A.","Lentz, Sarah M.","Hang, Stacey L.","Schertz, Amber J.","Ward, Richard L.",skipped,skipped,,7
MUN Ballot Style 1,172,Portland 1-3,"Lentz, Sarah M.","Grant, Benjamin K.",skipped,skipped,skipped,skipped,skipped,,7
MUN Ballot Style 1,173,Portland 1-3,"Grant, Benjamin K.","Albert, Stephanie G.","Schertz, Amber J.","Lentz, Sarah M.","Hang, Stacey L.","Ward, Richard L.","Mancini, Kimberly A.",,7
MUN Ballot Style 1,174,Portland 1-3,"Lentz, Sarah M.","Albert, Stephanie G.","Grant, Benjamin K.",skipped,skipped,skipped,skipped,,7
MUN Ballot Style 1,175,Portland 1-3,"Lentz, Sarah M.","Hang, Stacey L.",skipped,skipped,skipped,skipped,skipped,,7
MUN Ballot Style 1,176,Portland 1-3,"Grant, Benjamin K.","Lentz, Sarah M.",skipped,skipped,skipped,skipped,skipped,,7
MUN Ballot Style 1,177,Portland 1-3,"Lentz, Sarah M.",skipped,skipped,skipped,skipped,skipped,skipped,,7
MUN Ballot Style 1,178,Portland 1-3,"Grant, Benjamin K.","Mancini, Kimberly A.","Schertz, Amber J.",skipped,skipped,skipped,skipped,,7
MUN Ballot Style 1,179,Portland 1-3,"Grant, Benjamin K.","Lentz, Sarah M.","Hang, Stacey L.","Albert, Stephanie G.","Schertz, Amber J.","Ward, Richard L.",skipped,,7
MUN Ballot Style 1,181,Portland 1-3,"Mancini, Kimberly A.","Lentz, Sarah M.","Hang, Stacey L.","Albert, Stephanie G.","Grant, Benjamin K.","Schertz, Amber J.","Ward, Richard L.",,7
MUN Ballot Style 1,182,Portland 1-3,"Albert, Stephanie G.","Grant, Benjamin K.","Hang, Stacey L.","Lentz, Sarah M.","Mancini, Kimberly A.","Schertz, Amber J.","Ward, Richard L.",,7
MUN Ballot Style 1,183,Portland 1-3,"Schertz, Amber J.",skipped,skipped,skipped,skipped,skipped,skipped,,7
MUN Ballot Style 1,185,Portland 1-3,"Grant, Benjamin K.","Lentz, Sarah M.",skipped,skipped,skipped,skipped,skipped,,7
MUN Ballot Style 1,186,Portland 1-3,"Lentz, Sarah M.","Grant, Benjamin K.",skipped,skipped,skipped,skipped,skipped,,7
MUN Ballot Style 1,187,Portland 1-3,"Ward, Richard L.","Schertz, Amber J.","Albert, Stephanie G.","Grant, Benjamin K.","Lentz, Sarah M.","Hang, Stacey L.","Mancini, Kimberly A.",,7
MUN Ballot Style 1,189,Portland 1-3,"Grant, Benjamin K.","Hang, Stacey L.","Lentz, Sarah M.","Mancini, Kimberly A.","Schertz, Amber J.","Albert, Stephanie G.","Ward, Richard L.",,7
MUN Ballot Style 1,190,Portland 1-3,"Mancini, Kimberly A.",skipped,skipped,skipped,skipped,skipped,skipped,,7
