18 1.0
1 3 1 16 2 15 17 8 0
1 3 2 18 7 1 17 8 16 15 0
1 3 7 18 16 1 8 2 15 0
1 3 8 16 15 18 2 1 0
1 3 16 8 15 1 0
1 3 16 8 17 1 0
1 3 17 7 16 15 8 2 18 1 0
1 3 18 1 7 17 2 15 16 8 0
1 3 18 15 17 7 2 16 8 1 0
1 4 1 7 16 8 15 14 2 18 0
1 4 2 16 7 14 1 15 8 18 0
1 4 14 16 7 8 1 15 2 18 0
1 4 15 1 14 7 18 8 16 2 0
1 4 15 16 7 14 18 8 2 1 0
1 4 18 2 16 15 8 14 7 1 0
1 5 8 2 16 15 17 18 7 14 0
1 5 8 7 2 17 14 18 16 15 0
1 5 8 16 0
1 5 8 17 2 15 18 16 7 14 0
1 5 8 18 2 15 17 16 7 14 0
1 5 14 16 15 8 2 0
1 5 17 7 16 15 2 14 0
1 5 18 2 7 15 14 16 8 17 0
1 6 2 16 14 18 17 8 7 1 0
1 6 7 16 14 17 2 1 0
1 6 8 7 16 1 17 18 2 14 0
1 6 8 7 16 14 17 1 0
1 6 8 7 16 17 14 18 2 1 0
1 9 1 17 7 18 8 15 16 14 0
1 9 8 1 14 16 18 17 15 7 0
1 9 8 18 14 15 17 16 1 7 0
1 9 14 15 17 1 18 8 16 7 0
1 9 17 15 1 16 8 14 18 0
1 9 17 15 1 18 8 14 0
1 9 18 1 15 8 16 17 14 7 0
2 10 0
3 10 1 0
1 10 7 1 15 8 18 17 14 2 0
1 10 7 15 1 14 0
1 10 7 15 17 1 8 18 2 14 0
1 10 8 14 1 7 18 17 15 2 0
1 10 8 15 1 17 14 0
1 10 8 15 14 18 2 17 1 7 0
1 10 14 1 15 0
1 10 14 1 15 18 2 8 17 7 0
1 10 15 14 1 0
1 10 15 14 1 8 17 18 7 2 0
1 10 17 14 1 2 18 8 15 7 0
1 10 17 15 1 2 18 8 14 7 0
1 10 18 1 0
1 11 14 16 7 15 1 8 2 17 0
1 12 7 15 1 18 2 17 14 16 0
1 12 14 2 16 17 15 18 7 1 0
1 12 14 2 17 18 15 16 7 1 0
1 12 15 1 7 2 14 17 16 18 0
1 12 17 16 15 2 14 7 1 0
1 12 18 17 16 15 1 2 7 14 0
1 13 8 2 14 1 16 15 17 18 0
1 13 8 15 1 16 0
1 13 14 15 1 16 2 8 18 0
1 13 15 2 14 1 16 18 17 8 0
1 13 15 17 16 1 0
1 13 16 1 15 2 8 17 14 18 0
0
1
7
3
4
1
2
8
5
7
9
6
5
8
3
2
9
4
6
