30 1.0
1 1 7 28 8 26 22 18 23 27 19 30 29 14 21 25 0
1 1 7 29 25 8 14 18 26 27 30 19 28 22 21 23 0
1 1 14 27 18 0
1 1 19 29 21 28 18 23 7 14 25 26 27 22 30 8 0
1 1 22 7 30 21 23 28 19 26 14 18 29 27 8 25 0
1 1 25 19 30 23 18 14 28 7 21 22 8 27 29 26 0
38 1 27 0
1 1 27 14 0
3 1 27 14 18 0
1 1 27 14 18 22 0
1 1 27 14 26 18 23 22 0
1 1 27 14 29 23 7 26 18 22 0
16 1 27 18 0
4 1 27 18 14 0
1 1 27 18 14 22 0
1 1 27 18 21 0
1 1 27 21 18 14 30 22 0
1 1 27 21 18 22 26 14 7 0
1 1 27 22 14 18 0
2 1 27 22 18 14 0
1 1 27 22 18 26 14 0
1 1 27 23 25 8 22 7 29 26 19 18 30 28 14 21 0
1 1 27 26 14 18 29 23 7 22 0
1 1 27 26 22 14 18 23 0
1 1 27 26 22 14 23 18 0
1 1 27 26 23 29 14 18 22 0
1 1 29 14 27 21 18 25 19 7 8 22 23 28 26 30 0
1 1 29 21 22 26 25 8 19 23 14 28 27 18 30 7 0
1 1 29 28 19 25 14 26 8 21 7 18 27 23 22 30 0
1 2 7 28 22 23 19 14 25 27 26 8 30 24 21 29 0
1 2 19 14 7 28 26 22 27 24 8 29 21 23 30 25 0
1 2 19 28 22 21 14 25 8 27 29 23 24 7 26 30 0
1 2 21 22 14 23 24 26 25 7 8 27 28 29 30 19 0
1 2 21 23 7 29 24 26 8 25 28 14 22 27 0
1 2 22 21 27 25 23 26 19 7 8 24 28 29 30 14 0
1 2 22 23 25 8 21 28 30 14 29 26 24 19 7 27 0
1 2 25 19 26 24 23 28 7 8 29 14 21 22 30 27 0
1 2 25 22 7 19 14 24 8 26 27 29 28 23 30 21 0
1 2 26 23 22 27 8 30 21 19 25 7 14 24 29 28 0
1 2 27 14 22 26 24 23 0
1 2 27 14 24 0
1 2 27 22 24 14 0
1 2 27 23 30 26 22 24 19 7 29 21 25 14 28 8 0
7 2 27 24 0
2 2 27 24 14 0
1 2 27 24 26 22 14 0
1 2 27 26 14 22 24 0
1 2 30 26 24 22 8 25 28 27 21 7 23 29 14 19 0
1 3 7 29 27 24 26 19 23 25 22 0
1 3 8 30 28 18 22 7 27 21 23 25 19 24 29 26 0
1 3 18 24 0
1 3 19 28 21 8 24 22 7 29 27 26 30 18 23 25 0
1 3 19 29 30 25 24 26 8 23 28 18 21 22 7 27 0
1 3 21 24 19 27 26 25 8 18 23 29 22 7 28 30 0
1 3 21 27 24 26 23 18 22 0
1 3 22 28 21 18 26 24 29 7 27 19 25 23 30 8 0
1 3 23 26 24 7 8 22 19 30 27 29 21 18 25 28 0
1 3 24 18 0
1 3 25 7 19 18 26 21 27 8 22 29 23 24 30 28 0
1 3 25 18 26 8 19 27 29 22 28 7 23 21 24 30 0
1 3 27 8 18 24 0
1 3 27 18 24 0
1 3 27 18 24 22 26 23 0
1 3 27 21 7 23 24 19 28 30 22 26 8 18 29 25 0
1 3 27 22 18 24 0
1 3 27 22 24 18 23 26 29 0
2 3 27 24 0
2 3 27 24 18 0
1 3 27 24 22 23 26 18 0
1 3 27 24 23 22 18 26 0
1 3 27 24 26 23 18 22 0
1 3 27 26 24 22 18 0
1 3 27 29 22 30 18 26 25 23 7 8 19 24 28 21 0
1 3 27 29 24 18 26 23 22 7 0
1 3 27 30 24 26 25 22 23 18 21 0
1 3 30 27 23 24 18 29 25 21 26 22 7 8 0
1 4 7 29 8 25 23 27 19 21 28 18 30 26 24 14 0
1 4 14 27 26 24 23 18 0
1 4 21 23 7 30 24 26 19 29 25 27 14 18 28 0
1 4 23 18 30 24 14 27 26 8 29 7 21 19 25 28 0
1 4 24 18 0
1 4 25 21 30 8 14 24 19 27 29 7 26 18 23 28 0
1 4 27 18 24 14 0
1 4 27 24 14 0
1 4 27 24 14 29 26 18 0
1 4 27 24 18 14 0
1 4 27 25 26 8 14 28 29 21 18 7 23 24 19 30 0
1 4 27 29 14 18 24 23 7 26 25 0
