8 Unknown
1 2 3 1 8 0
1 2 5 6 8 0
1 3 2 1 0
21 3 2 1 8 0
2 4 2 1 0
6 4 2 1 6 0
1 4 2 6 1 0
3 4 3 1 7 0
6 4 5 0
0
1
2
3
4
1
3
2
4
