10 1.0
1 2 1 7 8 0
1 2 1 8 0
1 2 1 8 10 0
1 2 7 1 8 0
5 2 7 1 8 10 0
3 2 7 1 10 8 0
2 2 7 8 1 0
3 2 7 8 1 10 0
4 2 7 8 10 1 0
6 2 7 10 1 8 0
1 2 7 10 8 1 0
1 2 8 1 7 10 0
1 2 10 1 7 8 0
1 2 10 1 8 7 0
1 3 1 9 10 0
1 3 1 10 7 0
8 3 7 1 9 10 0
2 3 7 1 10 9 0
9 3 7 9 1 10 0
9 3 7 10 1 9 0
2 3 7 10 9 1 0
1 3 9 1 7 10 0
1 3 10 1 9 7 0
1 3 10 7 1 9 0
1 3 10 9 1 0
3 4 7 1 8 9 0
7 4 7 1 9 8 0
2 4 7 8 1 9 0
4 4 7 8 9 1 0
5 4 7 9 1 8 0
4 4 7 9 8 1 0
1 4 8 7 1 9 0
1 5 0
1 5 1 0
1 5 1 10 8 9 0
1 5 8 1 9 0
1 5 8 9 1 0
1 5 9 10 1 8 0
1 5 10 8 1 9 0
1 5 10 8 9 1 0
1 6 0
1 6 7 0
1 6 7 8 9 0
4 6 7 8 9 10 0
2 6 7 8 10 9 0
4 6 7 9 8 10 0
1 6 7 10 0
1 6 7 10 8 9 0
3 6 7 10 9 8 0
1 6 8 0
1 6 8 9 10 0
2 6 9 0
1 6 10 7 8 0
1 6 10 9 7 8 0
0
1
2
3
4
5
1
5
3
2
4
