8 1.0
1 1 2 6 0
7 1 2 6 8 0
1 1 2 8 0
9 1 2 8 6 0
1 1 3 7 0
5 1 3 7 8 0
5 1 3 8 7 0
2 1 4 0
6 1 4 6 7 0
10 1 4 7 6 0
11 2 1 6 8 0
2 2 1 8 0
6 2 1 8 6 0
1 2 3 5 8 0
4 2 3 8 5 0
1 2 4 5 0
4 2 4 5 6 0
12 2 4 6 5 0
3 3 1 7 0
2 3 1 7 8 0
1 3 1 8 7 0
2 3 2 5 0
2 3 2 5 8 0
9 3 2 8 5 0
6 3 4 5 7 0
10 3 4 7 5 0
2 4 1 0
10 4 1 6 7 0
5 4 1 7 6 0
2 4 2 5 0
2 4 2 5 6 0
6 4 2 6 5 0
1 4 3 5 7 0
7 4 3 7 5 0
0
1
2
3
4
1
3
2
4
