12 1.0
1 2 3 0
1 2 5 12 1 11 9 0
1 4 2 1 9 0
1 4 3 8 9 10 12 0
1 4 3 12 9 8 10 0
1 4 3 12 10 9 0
1 4 7 12 1 8 10 0
1 4 7 12 1 10 0
1 5 2 12 1 0
1 5 2 12 1 11 9 0
1 5 3 12 9 10 11 0
1 5 3 12 10 11 9 0
1 5 6 1 0
1 5 6 1 10 0
1 5 6 11 9 10 1 0
1 5 7 12 1 11 10 0
2 6 2 1 0
3 6 2 1 9 0
1 6 2 8 1 9 11 0
10 6 3 0
1 6 3 8 0
1 6 3 10 0
1 6 5 1 0
1 7 2 12 1 8 11 0
1 7 4 12 1 8 10 0
1 7 6 8 1 11 10 0
0
1
2
1
4
5
6
3
5
3
2
4
6
