10 1.0
1 2 7 9 8 0
1 2 8 10 7 0
1 2 9 7 10 8 0
1 2 9 10 8 7 0
1 2 10 7 9 8 0
2 2 10 8 9 7 0
1 2 10 9 8 7 0
1 3 1 7 10 8 0
1 3 7 1 0
2 3 8 1 10 7 0
1 3 8 7 1 0
2 3 10 1 7 8 0
1 3 10 1 8 7 0
1 3 10 7 1 8 0
1 3 10 8 7 1 0
1 4 1 8 9 7 0
2 4 8 1 9 7 0
8 4 9 7 8 1 0
2 5 0
1 5 1 10 8 9 0
3 5 9 1 0
1 5 9 1 10 8 0
2 5 9 8 1 0
1 5 9 8 10 1 0
2 5 9 10 1 8 0
1 5 10 0
1 5 10 1 0
1 6 1 7 10 9 0
1 6 7 1 9 10 0
1 6 9 7 10 1 0
1 6 9 10 1 7 0
1 6 10 9 1 7 0
0
1
1
2
4
5
3
5
3
2
4
