8 Unknown
1 2 1 6 0
3 2 1 8 0
11 2 1 8 6 0
17 2 6 8 1 0
2 2 8 1 0
1 2 8 6 1 0
1 3 0
10 3 6 8 7 0
3 3 7 0
1 3 7 8 0
6 3 7 8 6 0
8 3 8 0
7 4 0
2 4 1 0
2 4 1 6 7 0
2 4 1 7 0
1 4 1 7 6 0
1 4 7 6 1 0
1 5 1 8 0
11 5 1 8 7 0
1 5 7 8 0
14 5 7 8 1 0
2 5 8 0
1 5 8 1 0
0
1
2
1
4
3
3
2
4
