voter_id,rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,num_positions
0,Ricky BELL Scottish National Party (SNP),John FLANAGAN (Ind),Imran ALAM Glasgow Labour,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
1,Imran ALAM Glasgow Labour,Mamun RASHID Scottish Conservative and Unionist,Neil O'DOCHERTY Scottish Liberal Democrats,John FLANAGAN (Ind),Funmi FAJEMISEYE Scottish National Party (SNP),Stephen DORNAN Scottish National Party (SNP),William BONNAR Scottish Socialist Party - People Not Profit,Ricky BELL Scottish National Party (SNP),Uche Gladys EMORDI Alba Party for independence,Ruth S HALL Glasgow Labour,Dan HUTCHISON Elect a Scottish Green Councillor,4
2,Stephen DORNAN Scottish National Party (SNP),Ricky BELL Scottish National Party (SNP),Funmi FAJEMISEYE Scottish National Party (SNP),Neil O'DOCHERTY Scottish Liberal Democrats,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
3,Imran ALAM Glasgow Labour,John FLANAGAN (Ind),Mamun RASHID Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
4,Neil O'DOCHERTY Scottish Liberal Democrats,Stephen DORNAN Scottish National Party (SNP),Ricky BELL Scottish National Party (SNP),Funmi FAJEMISEYE Scottish National Party (SNP),Ruth S HALL Glasgow Labour,John FLANAGAN (Ind),Dan HUTCHISON Elect a Scottish Green Councillor,Mamun RASHID Scottish Conservative and Unionist,Uche Gladys EMORDI Alba Party for independence,Imran ALAM Glasgow Labour,William BONNAR Scottish Socialist Party - People Not Profit,4
5,John FLANAGAN (Ind),Ruth S HALL Glasgow Labour,Imran ALAM Glasgow Labour,Ricky BELL Scottish National Party (SNP),Neil O'DOCHERTY Scottish Liberal Democrats,Stephen DORNAN Scottish National Party (SNP),Mamun RASHID Scottish Conservative and Unionist,William BONNAR Scottish Socialist Party - People Not Profit,skipped,skipped,skipped,4
6,Ricky BELL Scottish National Party (SNP),Stephen DORNAN Scottish National Party (SNP),Dan HUTCHISON Elect a Scottish Green Councillor,Funmi FAJEMISEYE Scottish National Party (SNP),William BONNAR Scottish Socialist Party - People Not Profit,John FLANAGAN (Ind),skipped,skipped,skipped,skipped,skipped,4
7,Funmi FAJEMISEYE Scottish National Party (SNP),Dan HUTCHISON Elect a Scottish Green Councillor,Stephen DORNAN Scottish National Party (SNP),Ricky BELL Scottish National Party (SNP),John FLANAGAN (Ind),skipped,skipped,skipped,skipped,skipped,skipped,4
8,William BONNAR Scottish Socialist Party - People Not Profit,Uche Gladys EMORDI Alba Party for independence,Neil O'DOCHERTY Scottish Liberal Democrats,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
9,William BONNAR Scottish Socialist Party - People Not Profit,Uche Gladys EMORDI Alba Party for independence,Neil O'DOCHERTY Scottish Liberal Democrats,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
10,Dan HUTCHISON Elect a Scottish Green Councillor,Funmi FAJEMISEYE Scottish National Party (SNP),Ricky BELL Scottish National Party (SNP),William BONNAR Scottish Socialist Party - People Not Profit,Stephen DORNAN Scottish National Party (SNP),Imran ALAM Glasgow Labour,Ruth S HALL Glasgow Labour,Uche Gladys EMORDI Alba Party for independence,Mamun RASHID Scottish Conservative and Unionist,John FLANAGAN (Ind),skipped,4
11,Dan HUTCHISON Elect a Scottish Green Councillor,Ricky BELL Scottish National Party (SNP),Funmi FAJEMISEYE Scottish National Party (SNP),Imran ALAM Glasgow Labour,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
12,Imran ALAM Glasgow Labour,Ruth S HALL Glasgow Labour,Neil O'DOCHERTY Scottish Liberal Democrats,Mamun RASHID Scottish Conservative and Unionist,William BONNAR Scottish Socialist Party - People Not Profit,Uche Gladys EMORDI Alba Party for independence,John FLANAGAN (Ind),Dan HUTCHISON Elect a Scottish Green Councillor,Funmi FAJEMISEYE Scottish National Party (SNP),Stephen DORNAN Scottish National Party (SNP),Ricky BELL Scottish National Party (SNP),4
