voter_id,rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,num_positions
0,Kilian RILEY Scottish National Party (SNP),Annette CHRISTIE Scottish National Party (SNP),Declan BLENCH Scottish National Party (SNP),Hannah SMITH Scottish Greens - Delivering For Our Community,William MCLACHLAN Independent,Ann JENKINS Glasgow Labour,Kieran J TURNER Glasgow Labour,Ruth LINDSAY Scottish Liberal Democrats,Faten HAMEED Scottish Conservative and Unionist,Matt DOBSON Scottish Trade Unionist and Socialist Coalition,Tony OSY Alba Party for independence,4
1,Annette CHRISTIE Scottish National Party (SNP),William MCLACHLAN Independent,Declan BLENCH Scottish National Party (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
2,Annette CHRISTIE Scottish National Party (SNP),William MCLACHLAN Independent,Declan BLENCH Scottish National Party (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
3,Faten HAMEED Scottish Conservative and Unionist,Ruth LINDSAY Scottish Liberal Democrats,William MCLACHLAN Independent,Kieran J TURNER Glasgow Labour,Ann JENKINS Glasgow Labour,Matt DOBSON Scottish Trade Unionist and Socialist Coalition,skipped,skipped,skipped,skipped,skipped,4
4,Ann JENKINS Glasgow Labour,Faten HAMEED Scottish Conservative and Unionist,Kieran J TURNER Glasgow Labour,Ruth LINDSAY Scottish Liberal Democrats,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
5,Ann JENKINS Glasgow Labour,Faten HAMEED Scottish Conservative and Unionist,Kieran J TURNER Glasgow Labour,Ruth LINDSAY Scottish Liberal Democrats,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
6,Ann JENKINS Glasgow Labour,Faten HAMEED Scottish Conservative and Unionist,Kieran J TURNER Glasgow Labour,Ruth LINDSAY Scottish Liberal Democrats,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
7,Annette CHRISTIE Scottish National Party (SNP),Matt DOBSON Scottish Trade Unionist and Socialist Coalition,Kilian RILEY Scottish National Party (SNP),Declan BLENCH Scottish National Party (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
8,Faten HAMEED Scottish Conservative and Unionist,Kieran J TURNER Glasgow Labour,Ann JENKINS Glasgow Labour,Hannah SMITH Scottish Greens - Delivering For Our Community,Ruth LINDSAY Scottish Liberal Democrats,Matt DOBSON Scottish Trade Unionist and Socialist Coalition,skipped,skipped,skipped,skipped,skipped,4
9,Declan BLENCH Scottish National Party (SNP),Annette CHRISTIE Scottish National Party (SNP),Kilian RILEY Scottish National Party (SNP),Ann JENKINS Glasgow Labour,Kieran J TURNER Glasgow Labour,Hannah SMITH Scottish Greens - Delivering For Our Community,Tony OSY Alba Party for independence,Ruth LINDSAY Scottish Liberal Democrats,skipped,skipped,skipped,4
10,Faten HAMEED Scottish Conservative and Unionist,William MCLACHLAN Independent,Ann JENKINS Glasgow Labour,Annette CHRISTIE Scottish National Party (SNP),Declan BLENCH Scottish National Party (SNP),Ruth LINDSAY Scottish Liberal Democrats,Tony OSY Alba Party for independence,Kilian RILEY Scottish National Party (SNP),Hannah SMITH Scottish Greens - Delivering For Our Community,Kieran J TURNER Glasgow Labour,Matt DOBSON Scottish Trade Unionist and Socialist Coalition,4
11,Ann JENKINS Glasgow Labour,Kieran J TURNER Glasgow Labour,Declan BLENCH Scottish National Party (SNP),Annette CHRISTIE Scottish National Party (SNP),Kilian RILEY Scottish National Party (SNP),Hannah SMITH Scottish Greens - Delivering For Our Community,skipped,skipped,skipped,skipped,skipped,4
12,Ann JENKINS Glasgow Labour,Kieran J TURNER Glasgow Labour,Declan BLENCH Scottish National Party (SNP),Annette CHRISTIE Scottish National Party (SNP),Kilian RILEY Scottish National Party (SNP),Hannah SMITH Scottish Greens - Delivering For Our Community,skipped,skipped,skipped,skipped,skipped,4
13,Ann JENKINS Glasgow Labour,Kieran J TURNER Glasgow Labour,William MCLACHLAN Independent,Ruth LINDSAY Scottish Liberal Democrats,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
14,Matt DOBSON Scottish Trade Unionist and Socialist Coalition,Ann JENKINS Glasgow Labour,Hannah SMITH Scottish Greens - Delivering For Our Community,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
15,Hannah SMITH Scottish Greens - Delivering For Our Community,Tony OSY Alba Party for independence,Declan BLENCH Scottish National Party (SNP),Annette CHRISTIE Scottish National Party (SNP),Matt DOBSON Scottish Trade Unionist and Socialist Coalition,Kilian RILEY Scottish National Party (SNP),skipped,skipped,skipped,skipped,skipped,4
16,Declan BLENCH Scottish National Party (SNP),Annette CHRISTIE Scottish National Party (SNP),Kilian RILEY Scottish National Party (SNP),Ann JENKINS Glasgow Labour,Kieran J TURNER Glasgow Labour,Hannah SMITH Scottish Greens - Delivering For Our Community,Matt DOBSON Scottish Trade Unionist and Socialist Coalition,Tony OSY Alba Party for independence,Faten HAMEED Scottish Conservative and Unionist,Ruth LINDSAY Scottish Liberal Democrats,William MCLACHLAN Independent,4
17,Declan BLENCH Scottish National Party (SNP),Annette CHRISTIE Scottish National Party (SNP),Kilian RILEY Scottish National Party (SNP),Kieran J TURNER Glasgow Labour,William MCLACHLAN Independent,Hannah SMITH Scottish Greens - Delivering For Our Community,Ann JENKINS Glasgow Labour,Ruth LINDSAY Scottish Liberal Democrats,Matt DOBSON Scottish Trade Unionist and Socialist Coalition,Tony OSY Alba Party for independence,Faten HAMEED Scottish Conservative and Unionist,4
18,Ann JENKINS Glasgow Labour,Kieran J TURNER Glasgow Labour,Tony OSY Alba Party for independence,Annette CHRISTIE Scottish National Party (SNP),Declan BLENCH Scottish National Party (SNP),Kilian RILEY Scottish National Party (SNP),Ruth LINDSAY Scottish Liberal Democrats,Matt DOBSON Scottish Trade Unionist and Socialist Coalition,Hannah SMITH Scottish Greens - Delivering For Our Community,Faten HAMEED Scottish Conservative and Unionist,skipped,4
19,Annette CHRISTIE Scottish National Party (SNP),Declan BLENCH Scottish National Party (SNP),Ann JENKINS Glasgow Labour,Kilian RILEY Scottish National Party (SNP),Kieran J TURNER Glasgow Labour,skipped,skipped,skipped,skipped,skipped,skipped,4
20,Annette CHRISTIE Scottish National Party (SNP),Declan BLENCH Scottish National Party (SNP),Ann JENKINS Glasgow Labour,Kilian RILEY Scottish National Party (SNP),Kieran J TURNER Glasgow Labour,skipped,skipped,skipped,skipped,skipped,skipped,4
21,Annette CHRISTIE Scottish National Party (SNP),Declan BLENCH Scottish National Party (SNP),Ann JENKINS Glasgow Labour,Kilian RILEY Scottish National Party (SNP),Kieran J TURNER Glasgow Labour,skipped,skipped,skipped,skipped,skipped,skipped,4
22,Kieran J TURNER Glasgow Labour,Ann JENKINS Glasgow Labour,Tony OSY Alba Party for independence,Matt DOBSON Scottish Trade Unionist and Socialist Coalition,Hannah SMITH Scottish Greens - Delivering For Our Community,Ruth LINDSAY Scottish Liberal Democrats,William MCLACHLAN Independent,Declan BLENCH Scottish National Party (SNP),Annette CHRISTIE Scottish National Party (SNP),Kilian RILEY Scottish National Party (SNP),Faten HAMEED Scottish Conservative and Unionist,4
23,Ann JENKINS Glasgow Labour,Declan BLENCH Scottish National Party (SNP),Annette CHRISTIE Scottish National Party (SNP),Kieran J TURNER Glasgow Labour,Kilian RILEY Scottish National Party (SNP),Matt DOBSON Scottish Trade Unionist and Socialist Coalition,Hannah SMITH Scottish Greens - Delivering For Our Community,Ruth LINDSAY Scottish Liberal Democrats,William MCLACHLAN Independent,Faten HAMEED Scottish Conservative and Unionist,Tony OSY Alba Party for independence,4
