voterId,rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,numSeats,numCands
16,James SCANLON Glasgow (Lab),Soryia SIDDIQUE Glasgow (Lab),Mhairi HUNTER (SNP) Party (SNP),Alexander BELIC (SNP) Party (SNP),Kamran BUTT (Alba) Party for independence,Paul Robert DONNELLY (Soc) Party - End Fuel Poverty,Jamie DYER (Ind),Elaine GALLAGHER Elect a (Grn) Councillor,Sam GLASGOW-JACKSON Scottish (LD),Tariq PARVEZ Scottish (Con) and Unionist,4,10
17,Alexander BELIC (SNP) Party (SNP),Kamran BUTT (Alba) Party for independence,Mhairi HUNTER (SNP) Party (SNP),Elaine GALLAGHER Elect a (Grn) Councillor,skipped,skipped,skipped,skipped,skipped,skipped,4,10
18,Alexander BELIC (SNP) Party (SNP),Kamran BUTT (Alba) Party for independence,Mhairi HUNTER (SNP) Party (SNP),Elaine GALLAGHER Elect a (Grn) Councillor,skipped,skipped,skipped,skipped,skipped,skipped,4,10
19,Paul Robert DONNELLY (Soc) Party - End Fuel Poverty,Elaine GALLAGHER Elect a (Grn) Councillor,Soryia SIDDIQUE Glasgow (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,4,10
20,Paul Robert DONNELLY (Soc) Party - End Fuel Poverty,Elaine GALLAGHER Elect a (Grn) Councillor,Soryia SIDDIQUE Glasgow (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,4,10
21,Paul Robert DONNELLY (Soc) Party - End Fuel Poverty,Alexander BELIC (SNP) Party (SNP),Elaine GALLAGHER Elect a (Grn) Councillor,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4,10
22,Paul Robert DONNELLY (Soc) Party - End Fuel Poverty,Alexander BELIC (SNP) Party (SNP),Elaine GALLAGHER Elect a (Grn) Councillor,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4,10
23,Paul Robert DONNELLY (Soc) Party - End Fuel Poverty,Elaine GALLAGHER Elect a (Grn) Councillor,Soryia SIDDIQUE Glasgow (Lab),James SCANLON Glasgow (Lab),skipped,skipped,skipped,skipped,skipped,skipped,4,10
24,Paul Robert DONNELLY (Soc) Party - End Fuel Poverty,Elaine GALLAGHER Elect a (Grn) Councillor,Soryia SIDDIQUE Glasgow (Lab),James SCANLON Glasgow (Lab),skipped,skipped,skipped,skipped,skipped,skipped,4,10
25,Alexander BELIC (SNP) Party (SNP),Kamran BUTT (Alba) Party for independence,Mhairi HUNTER (SNP) Party (SNP),Paul Robert DONNELLY (Soc) Party - End Fuel Poverty,skipped,skipped,skipped,skipped,skipped,skipped,4,10
26,Alexander BELIC (SNP) Party (SNP),Kamran BUTT (Alba) Party for independence,Mhairi HUNTER (SNP) Party (SNP),Paul Robert DONNELLY (Soc) Party - End Fuel Poverty,skipped,skipped,skipped,skipped,skipped,skipped,4,10
27,Alexander BELIC (SNP) Party (SNP),Kamran BUTT (Alba) Party for independence,Mhairi HUNTER (SNP) Party (SNP),Paul Robert DONNELLY (Soc) Party - End Fuel Poverty,skipped,skipped,skipped,skipped,skipped,skipped,4,10
28,Alexander BELIC (SNP) Party (SNP),Kamran BUTT (Alba) Party for independence,Mhairi HUNTER (SNP) Party (SNP),Paul Robert DONNELLY (Soc) Party - End Fuel Poverty,skipped,skipped,skipped,skipped,skipped,skipped,4,10
29,Alexander BELIC (SNP) Party (SNP),Kamran BUTT (Alba) Party for independence,Mhairi HUNTER (SNP) Party (SNP),Paul Robert DONNELLY (Soc) Party - End Fuel Poverty,skipped,skipped,skipped,skipped,skipped,skipped,4,10
30,James SCANLON Glasgow (Lab),Mhairi HUNTER (SNP) Party (SNP),Alexander BELIC (SNP) Party (SNP),Soryia SIDDIQUE Glasgow (Lab),skipped,skipped,skipped,skipped,skipped,skipped,4,10
31,James SCANLON Glasgow (Lab),Mhairi HUNTER (SNP) Party (SNP),Alexander BELIC (SNP) Party (SNP),Soryia SIDDIQUE Glasgow (Lab),skipped,skipped,skipped,skipped,skipped,skipped,4,10
32,James SCANLON Glasgow (Lab),Mhairi HUNTER (SNP) Party (SNP),Alexander BELIC (SNP) Party (SNP),Soryia SIDDIQUE Glasgow (Lab),skipped,skipped,skipped,skipped,skipped,skipped,4,10
