voter_id,rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,num_positions
2620,Abdul BOSTANI Scottish National Party (SNP),Franny SCALLY Scottish National Party (SNP),skipped,skipped,skipped,skipped,skipped,skipped,3
2621,Abdul BOSTANI Scottish National Party (SNP),Franny SCALLY Scottish National Party (SNP),skipped,skipped,skipped,skipped,skipped,skipped,3
2622,Abdul BOSTANI Scottish National Party (SNP),Franny SCALLY Scottish National Party (SNP),skipped,skipped,skipped,skipped,skipped,skipped,3
2623,Abdul BOSTANI Scottish National Party (SNP),Franny SCALLY Scottish National Party (SNP),skipped,skipped,skipped,skipped,skipped,skipped,3
2624,Abdul BOSTANI Scottish National Party (SNP),Franny SCALLY Scottish National Party (SNP),skipped,skipped,skipped,skipped,skipped,skipped,3
2625,Abdul BOSTANI Scottish National Party (SNP),Franny SCALLY Scottish National Party (SNP),skipped,skipped,skipped,skipped,skipped,skipped,3
2626,Abdul BOSTANI Scottish National Party (SNP),Franny SCALLY Scottish National Party (SNP),skipped,skipped,skipped,skipped,skipped,skipped,3
2627,Abdul BOSTANI Scottish National Party (SNP),Franny SCALLY Scottish National Party (SNP),skipped,skipped,skipped,skipped,skipped,skipped,3
2628,Abdul BOSTANI Scottish National Party (SNP),Franny SCALLY Scottish National Party (SNP),skipped,skipped,skipped,skipped,skipped,skipped,3
2629,Abdul BOSTANI Scottish National Party (SNP),Franny SCALLY Scottish National Party (SNP),skipped,skipped,skipped,skipped,skipped,skipped,3
2630,Abdul BOSTANI Scottish National Party (SNP),Franny SCALLY Scottish National Party (SNP),skipped,skipped,skipped,skipped,skipped,skipped,3
2631,Abdul BOSTANI Scottish National Party (SNP),Franny SCALLY Scottish National Party (SNP),skipped,skipped,skipped,skipped,skipped,skipped,3
2632,Abdul BOSTANI Scottish National Party (SNP),Franny SCALLY Scottish National Party (SNP),skipped,skipped,skipped,skipped,skipped,skipped,3
2633,Abdul BOSTANI Scottish National Party (SNP),Franny SCALLY Scottish National Party (SNP),skipped,skipped,skipped,skipped,skipped,skipped,3
2634,Abdul BOSTANI Scottish National Party (SNP),Franny SCALLY Scottish National Party (SNP),skipped,skipped,skipped,skipped,skipped,skipped,3
2635,Abdul BOSTANI Scottish National Party (SNP),Franny SCALLY Scottish National Party (SNP),skipped,skipped,skipped,skipped,skipped,skipped,3
2636,Abdul BOSTANI Scottish National Party (SNP),Franny SCALLY Scottish National Party (SNP),skipped,skipped,skipped,skipped,skipped,skipped,3
2637,Abdul BOSTANI Scottish National Party (SNP),Franny SCALLY Scottish National Party (SNP),skipped,skipped,skipped,skipped,skipped,skipped,3
2638,Abdul BOSTANI Scottish National Party (SNP),Franny SCALLY Scottish National Party (SNP),skipped,skipped,skipped,skipped,skipped,skipped,3
2639,Abdul BOSTANI Scottish National Party (SNP),Franny SCALLY Scottish National Party (SNP),skipped,skipped,skipped,skipped,skipped,skipped,3
2640,Abdul BOSTANI Scottish National Party (SNP),Franny SCALLY Scottish National Party (SNP),skipped,skipped,skipped,skipped,skipped,skipped,3
2641,Abdul BOSTANI Scottish National Party (SNP),Franny SCALLY Scottish National Party (SNP),skipped,skipped,skipped,skipped,skipped,skipped,3
2642,Abdul BOSTANI Scottish National Party (SNP),Franny SCALLY Scottish National Party (SNP),skipped,skipped,skipped,skipped,skipped,skipped,3
2643,Abdul BOSTANI Scottish National Party (SNP),Franny SCALLY Scottish National Party (SNP),skipped,skipped,skipped,skipped,skipped,skipped,3
2644,Abdul BOSTANI Scottish National Party (SNP),Franny SCALLY Scottish National Party (SNP),skipped,skipped,skipped,skipped,skipped,skipped,3
2645,Abdul BOSTANI Scottish National Party (SNP),Franny SCALLY Scottish National Party (SNP),skipped,skipped,skipped,skipped,skipped,skipped,3
2646,Abdul BOSTANI Scottish National Party (SNP),Franny SCALLY Scottish National Party (SNP),skipped,skipped,skipped,skipped,skipped,skipped,3
2647,Abdul BOSTANI Scottish National Party (SNP),Franny SCALLY Scottish National Party (SNP),skipped,skipped,skipped,skipped,skipped,skipped,3
2648,Abdul BOSTANI Scottish National Party (SNP),Franny SCALLY Scottish National Party (SNP),skipped,skipped,skipped,skipped,skipped,skipped,3
2649,Abdul BOSTANI Scottish National Party (SNP),Franny SCALLY Scottish National Party (SNP),skipped,skipped,skipped,skipped,skipped,skipped,3
2650,Abdul BOSTANI Scottish National Party (SNP),Franny SCALLY Scottish National Party (SNP),skipped,skipped,skipped,skipped,skipped,skipped,3
2651,Abdul BOSTANI Scottish National Party (SNP),Franny SCALLY Scottish National Party (SNP),skipped,skipped,skipped,skipped,skipped,skipped,3
2652,Abdul BOSTANI Scottish National Party (SNP),Franny SCALLY Scottish National Party (SNP),skipped,skipped,skipped,skipped,skipped,skipped,3
2653,Abdul BOSTANI Scottish National Party (SNP),Franny SCALLY Scottish National Party (SNP),skipped,skipped,skipped,skipped,skipped,skipped,3
2654,Abdul BOSTANI Scottish National Party (SNP),Franny SCALLY Scottish National Party (SNP),skipped,skipped,skipped,skipped,skipped,skipped,3
2655,Abdul BOSTANI Scottish National Party (SNP),Franny SCALLY Scottish National Party (SNP),skipped,skipped,skipped,skipped,skipped,skipped,3
2656,Abdul BOSTANI Scottish National Party (SNP),Franny SCALLY Scottish National Party (SNP),skipped,skipped,skipped,skipped,skipped,skipped,3
2657,Abdul BOSTANI Scottish National Party (SNP),Franny SCALLY Scottish National Party (SNP),skipped,skipped,skipped,skipped,skipped,skipped,3
2658,Abdul BOSTANI Scottish National Party (SNP),Franny SCALLY Scottish National Party (SNP),skipped,skipped,skipped,skipped,skipped,skipped,3
2659,Abdul BOSTANI Scottish National Party (SNP),Franny SCALLY Scottish National Party (SNP),skipped,skipped,skipped,skipped,skipped,skipped,3
2660,Abdul BOSTANI Scottish National Party (SNP),Franny SCALLY Scottish National Party (SNP),skipped,skipped,skipped,skipped,skipped,skipped,3
2661,Abdul BOSTANI Scottish National Party (SNP),Franny SCALLY Scottish National Party (SNP),skipped,skipped,skipped,skipped,skipped,skipped,3
2662,Abdul BOSTANI Scottish National Party (SNP),Franny SCALLY Scottish National Party (SNP),skipped,skipped,skipped,skipped,skipped,skipped,3
2663,Abdul BOSTANI Scottish National Party (SNP),Franny SCALLY Scottish National Party (SNP),skipped,skipped,skipped,skipped,skipped,skipped,3
2664,Abdul BOSTANI Scottish National Party (SNP),Franny SCALLY Scottish National Party (SNP),skipped,skipped,skipped,skipped,skipped,skipped,3
2665,Abdul BOSTANI Scottish National Party (SNP),Franny SCALLY Scottish National Party (SNP),skipped,skipped,skipped,skipped,skipped,skipped,3
2666,Abdul BOSTANI Scottish National Party (SNP),Franny SCALLY Scottish National Party (SNP),skipped,skipped,skipped,skipped,skipped,skipped,3
2667,Abdul BOSTANI Scottish National Party (SNP),Franny SCALLY Scottish National Party (SNP),skipped,skipped,skipped,skipped,skipped,skipped,3
2668,Abdul BOSTANI Scottish National Party (SNP),Franny SCALLY Scottish National Party (SNP),skipped,skipped,skipped,skipped,skipped,skipped,3
2669,Abdul BOSTANI Scottish National Party (SNP),Franny SCALLY Scottish National Party (SNP),skipped,skipped,skipped,skipped,skipped,skipped,3
2670,Abdul BOSTANI Scottish National Party (SNP),Franny SCALLY Scottish National Party (SNP),skipped,skipped,skipped,skipped,skipped,skipped,3
2671,Abdul BOSTANI Scottish National Party (SNP),Franny SCALLY Scottish National Party (SNP),skipped,skipped,skipped,skipped,skipped,skipped,3
2672,Abdul BOSTANI Scottish National Party (SNP),Franny SCALLY Scottish National Party (SNP),skipped,skipped,skipped,skipped,skipped,skipped,3
