election,IRV,Borda
2460a21056.csv,0,0
e4119ed4da.csv,2,1
2d79140816.csv,23,1
cbd4c8f99e.csv,104,104
002b987e0e.csv,3,1
fe8e8df1f6.csv,1,1
d277605e04.csv,1,5
79713f1df3.csv,5,5
36b42b323d.csv,2,2
6a36603563.csv,7,7
dc8e4b3d7e.csv,14,14
7416608758.csv,1,1
c46b966c9b.csv,6,6
c0a2e57b26.csv,2,2
1d56c3efa4.csv,2,1
5b0fdc2526.csv,3,3
ec8b755183.csv,1,1
03da1b092a.csv,31,31
f41f8979dd.csv,3,3
29b50de509.csv,2,1
f38262c349.csv,1,1
f777ef16bf.csv,7,7
342bd6eea7.csv,9,11
ad8b6669b7.csv,31,31
00515ef6e8.csv,3,3
daa64ea6ab.csv,81,81
8c021a1d3f.csv,17,17
0ad286a666.csv,7,3
275dc3a473.csv,14,14
85b885c9c4.csv,2,2
375feb6ddb.csv,6,6
aa1b41b208.csv,6,6
f3c5262afa.csv,2,1
22ac5892df.csv,11,11
44345c0ec9.csv,3,3
f54832957c.csv,46,46
cc46406260.csv,3,1
10405996cc.csv,4,1
12009ebe7f.csv,5,5
fbbbe3ae72.csv,5,2
cf2adbb8c7.csv,9,4
772f39b930.csv,3,3
0428dd6721.csv,10,10
9bad295c2f.csv,2,2
006040facf.csv,16,16
21ab3bef6f.csv,4,4
541011ac5f.csv,15,15
8b9d6283bf.csv,6,1
a46d8a3fc9.csv,7,7
ade63f642c.csv,1,1
105a6b1903.csv,5,5
c466c1defc.csv,50,50
d7336a15d4.csv,0,0
80d4cc708b.csv,3,3
c76d4fdaca.csv,8,8
d2e7d355f7.csv,17,2
5b6b3df1d7.csv,10,10
e0f124dd49.csv,1,1
38385bc46b.csv,12,12
9cf43b0f8b.csv,3,1
b649caa8e2.csv,6,6
c0771dfce6.csv,1,1
42ccc4667a.csv,3,3
c3be3365f7.csv,5,5
30b4916fc2.csv,4,4
5ec74f9b05.csv,3,3
2e2997bc63.csv,36,36
01328a3ae9.csv,22,22
845c262c66.csv,16,16
975987aec1.csv,1,1
2b8bb6d43a.csv,1,1
616b90a1e3.csv,4,4
dc253fca78.csv,24,24
880ced8349.csv,5,5
c8a5f913da.csv,8,8
271eb9092b.csv,3,3
0b624cefd0.csv,6,3
9479d62c8f.csv,16,16
ce763043de.csv,4,4
d95937169e.csv,8,8
9874fd1603.csv,1,1
17786271e1.csv,2,2
c8d8cb3cd7.csv,12,12
17c08f5aed.csv,31,31
fab11dc966.csv,1,1
81063b0ad8.csv,3,3
324d040899.csv,16,16
c6eb4b11b4.csv,74,74
34d230ee29.csv,1,1
2bfba1b691.csv,3,5
d907b76488.csv,3,3
1d9cc095e6.csv,11,11
e77ea66915.csv,1,6
07ba006e21.csv,1,1
7d80c0b27e.csv,22,22
0b9415b913.csv,10,10
8e32a983ba.csv,10,10
417bf33678.csv,7,7
623c13d2c1.csv,Skipped,Skipped
8af9726074.csv,14,14
517aa351f6.csv,13,13
fce7e6b889.csv,6,6
fc7cb6479e.csv,6,6
8960f63795.csv,55,55
caf5812585.csv,12,2
f8523c0bf5.csv,1,1
78abd93719.csv,25,25
86dff5d3c3.csv,8,8
e8e74ee066.csv,2,10
b1b8763c2a.csv,35,35
42c16181ff.csv,32,1
676f9f4174.csv,3,3
d2ecdc924e.csv,3,3
2c9c40dd0a.csv,4,4
dd3a3b6636.csv,29,29
b6cb63d9ec.csv,3,3
5bc94729e1.csv,5,5
176aeb7d1e.csv,1,1
2ff4bea6b7.csv,5,5
e28f76bf6f.csv,12,2
d3abdeaed7.csv,3,3
b23f69f553.csv,18,18
48f62f99f7.csv,13,13
f8c9f15bcd.csv,3,6
d79155a77d.csv,11,11
f1faf34abd.csv,5,5
5fbac884ca.csv,13,13
a7fc110a23.csv,9,1
48a8fe64d2.csv,1,1
b6ec122b70.csv,4,1
b4d3d436d0.csv,1,1
136ad9c8e1.csv,3,3
310bc64fb5.csv,4,2
980e9d60a9.csv,136,136
d7f099f2ca.csv,1,1
19855330ee.csv,1,1
fa68623142.csv,3,3
af2806566c.csv,2,5
ecfb178de1.csv,6,6
e2fbed553e.csv,15,15
e94c46cbe2.csv,2,1
e7c401385b.csv,1,1
4e75bb0427.csv,2,1
ef11b42c33.csv,9,9
99f3c72f0f.csv,17,8
20fadf6373.csv,6,6
26b0f0c366.csv,1,1
465e39005e.csv,3,1
62613bd959.csv,1,1
3b92bd95b4.csv,32,32
8233498975.csv,1,1
fabd136b5d.csv,2,2
9da5e2163d.csv,5,3
c6196e3430.csv,10,10
fb03115db2.csv,3,3
ef5903ac2b.csv,13,13
1114134ca1.csv,3,3
db036e182f.csv,7,7
c97841c100.csv,8,8
d38a0e89eb.csv,1,1
7417846d27.csv,6,6
