voter_id,rank1,rank2,rank3,rank4,rank5,num_positions
308,Steven HEDDLE Independent,John Ross SCOTT Scottish Greens,skipped,skipped,skipped,4
309,Steven HEDDLE Independent,John Ross SCOTT Scottish Greens,skipped,skipped,skipped,4
310,Steven HEDDLE Independent,John Ross SCOTT Scottish Greens,skipped,skipped,skipped,4
311,Steven HEDDLE Independent,John Ross SCOTT Scottish Greens,skipped,skipped,skipped,4
312,Steven HEDDLE Independent,John Ross SCOTT Scottish Greens,skipped,skipped,skipped,4
313,Steven HEDDLE Independent,John Ross SCOTT Scottish Greens,skipped,skipped,skipped,4
314,Steven HEDDLE Independent,John Ross SCOTT Scottish Greens,skipped,skipped,skipped,4
315,Steven HEDDLE Independent,John Ross SCOTT Scottish Greens,skipped,skipped,skipped,4
316,Steven HEDDLE Independent,John Ross SCOTT Scottish Greens,skipped,skipped,skipped,4
317,Steven HEDDLE Independent,John Ross SCOTT Scottish Greens,skipped,skipped,skipped,4
318,Steven HEDDLE Independent,John Ross SCOTT Scottish Greens,skipped,skipped,skipped,4
319,Steven HEDDLE Independent,John Ross SCOTT Scottish Greens,skipped,skipped,skipped,4
320,David DAWSON Independent,Steven HEDDLE Independent,Gwenda SHEARER Independent,Graham MACDONALD Independent,skipped,4
321,David DAWSON Independent,Steven HEDDLE Independent,Gwenda SHEARER Independent,Graham MACDONALD Independent,skipped,4
322,Gwenda SHEARER Independent,Steven HEDDLE Independent,David DAWSON Independent,Graham MACDONALD Independent,skipped,4
323,Gwenda SHEARER Independent,Steven HEDDLE Independent,David DAWSON Independent,Graham MACDONALD Independent,skipped,4
324,Gwenda SHEARER Independent,Steven HEDDLE Independent,David DAWSON Independent,Graham MACDONALD Independent,skipped,4
325,Gwenda SHEARER Independent,Steven HEDDLE Independent,David DAWSON Independent,Graham MACDONALD Independent,skipped,4
326,Gwenda SHEARER Independent,Steven HEDDLE Independent,David DAWSON Independent,Graham MACDONALD Independent,skipped,4
327,Gwenda SHEARER Independent,Steven HEDDLE Independent,David DAWSON Independent,Graham MACDONALD Independent,skipped,4
328,Gwenda SHEARER Independent,Steven HEDDLE Independent,David DAWSON Independent,Graham MACDONALD Independent,skipped,4
329,Gwenda SHEARER Independent,Steven HEDDLE Independent,David DAWSON Independent,Graham MACDONALD Independent,skipped,4
330,Gwenda SHEARER Independent,Steven HEDDLE Independent,David DAWSON Independent,Graham MACDONALD Independent,skipped,4
331,David DAWSON Independent,Steven HEDDLE Independent,Graham MACDONALD Independent,John Ross SCOTT Scottish Greens,skipped,4
332,John Ross SCOTT Scottish Greens,Graham MACDONALD Independent,Steven HEDDLE Independent,skipped,skipped,4
333,John Ross SCOTT Scottish Greens,Graham MACDONALD Independent,Steven HEDDLE Independent,skipped,skipped,4
334,John Ross SCOTT Scottish Greens,Graham MACDONALD Independent,Steven HEDDLE Independent,skipped,skipped,4
335,John Ross SCOTT Scottish Greens,Graham MACDONALD Independent,Steven HEDDLE Independent,skipped,skipped,4
336,John Ross SCOTT Scottish Greens,Graham MACDONALD Independent,Steven HEDDLE Independent,skipped,skipped,4
337,John Ross SCOTT Scottish Greens,Graham MACDONALD Independent,Steven HEDDLE Independent,skipped,skipped,4
338,John Ross SCOTT Scottish Greens,Graham MACDONALD Independent,Steven HEDDLE Independent,skipped,skipped,4
339,John Ross SCOTT Scottish Greens,Graham MACDONALD Independent,Steven HEDDLE Independent,skipped,skipped,4
340,Gwenda SHEARER Independent,Graham MACDONALD Independent,Steven HEDDLE Independent,skipped,skipped,4
341,John Ross SCOTT Scottish Greens,David DAWSON Independent,Gwenda SHEARER Independent,Steven HEDDLE Independent,skipped,4
342,John Ross SCOTT Scottish Greens,David DAWSON Independent,Gwenda SHEARER Independent,Steven HEDDLE Independent,skipped,4
