voter_id,rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,num_positions
543,Sandy COWIE Independent,Ivan TAYLOR Independent,Leslie SINCLAIR Independent,skipped,skipped,skipped,skipped,skipped,4
544,Sandy COWIE Independent,Ivan TAYLOR Independent,Leslie SINCLAIR Independent,skipped,skipped,skipped,skipped,skipped,4
545,Ivan TAYLOR Independent,Sandy COWIE Independent,Barbara FOULKES Independent,skipped,skipped,skipped,skipped,skipped,4
546,Ivan TAYLOR Independent,Sandy COWIE Independent,Barbara FOULKES Independent,skipped,skipped,skipped,skipped,skipped,4
547,Ivan TAYLOR Independent,Sandy COWIE Independent,Barbara FOULKES Independent,skipped,skipped,skipped,skipped,skipped,4
548,Ivan TAYLOR Independent,Sandy COWIE Independent,Barbara FOULKES Independent,skipped,skipped,skipped,skipped,skipped,4
549,Ivan TAYLOR Independent,Sandy COWIE Independent,Barbara FOULKES Independent,skipped,skipped,skipped,skipped,skipped,4
550,Ivan TAYLOR Independent,Sandy COWIE Independent,Barbara FOULKES Independent,skipped,skipped,skipped,skipped,skipped,4
551,Barbara FOULKES Independent,Leslie MANSON Independent,Ivan TAYLOR Independent,Leslie SINCLAIR Independent,skipped,skipped,skipped,skipped,4
552,Barbara FOULKES Independent,Leslie MANSON Independent,Ivan TAYLOR Independent,Leslie SINCLAIR Independent,skipped,skipped,skipped,skipped,4
553,Barbara FOULKES Independent,Leslie MANSON Independent,Ivan TAYLOR Independent,Leslie SINCLAIR Independent,skipped,skipped,skipped,skipped,4
554,Ivan TAYLOR Independent,Leslie MANSON Independent,Sandy COWIE Independent,skipped,skipped,skipped,skipped,skipped,4
555,Ivan TAYLOR Independent,Leslie MANSON Independent,Sandy COWIE Independent,skipped,skipped,skipped,skipped,skipped,4
556,Ivan TAYLOR Independent,Leslie MANSON Independent,Sandy COWIE Independent,skipped,skipped,skipped,skipped,skipped,4
557,Ivan TAYLOR Independent,Leslie MANSON Independent,Sandy COWIE Independent,skipped,skipped,skipped,skipped,skipped,4
558,Ivan TAYLOR Independent,Leslie MANSON Independent,Sandy COWIE Independent,skipped,skipped,skipped,skipped,skipped,4
559,Ivan TAYLOR Independent,Leslie MANSON Independent,Sandy COWIE Independent,skipped,skipped,skipped,skipped,skipped,4
560,Kristopher LEASK Scottish Greens,Beverly CLUBLEY Independent,Barbara FOULKES Independent,Leslie SINCLAIR Independent,skipped,skipped,skipped,skipped,4
561,Kristopher LEASK Scottish Greens,Ivan TAYLOR Independent,skipped,skipped,skipped,skipped,skipped,skipped,4
562,Kristopher LEASK Scottish Greens,Ivan TAYLOR Independent,skipped,skipped,skipped,skipped,skipped,skipped,4
563,Kristopher LEASK Scottish Greens,Ivan TAYLOR Independent,skipped,skipped,skipped,skipped,skipped,skipped,4
