ballotID,ballot_type,countingGroup,district,districtType,precinct,precinctPortion,votingLocation,rank1,rank2,rank3,rank4,numSeats,numCands
36026_00001_000006,Ballot 38 - Type 38,Election Day,Judicial 4,Judicial,36-026 Bettles,36-026 Bettles,Region III,"Cronk, Mike",skipped,skipped,skipped,1,4
36026_00001_000009,Ballot 38 - Type 38,Election Day,Judicial 4,Judicial,36-026 Bettles,36-026 Bettles,Region III,"Cronk, Mike","Fletcher, Savannah","Williams, Robert ""Bert""",skipped,1,4
36026_00001_000002,Ballot 38 - Type 38,Election Day,Judicial 4,Judicial,36-026 Bettles,36-026 Bettles,Region III,"Fletcher, Savannah",skipped,skipped,skipped,1,4
36026_00001_000005,Ballot 38 - Type 38,Election Day,Judicial 4,Judicial,36-026 Bettles,36-026 Bettles,Region III,"Cronk, Mike",skipped,skipped,skipped,1,4
36026_00001_000008,Ballot 38 - Type 38,Election Day,Judicial 4,Judicial,36-026 Bettles,36-026 Bettles,Region III,"Fletcher, Savannah",skipped,skipped,skipped,1,4
36026_00001_000007,Ballot 38 - Type 38,Election Day,Judicial 4,Judicial,36-026 Bettles,36-026 Bettles,Region III,"Williams, Robert ""Bert""","Fletcher, Savannah",skipped,skipped,1,4
36026_00001_000010,Ballot 38 - Type 38,Election Day,Judicial 4,Judicial,36-026 Bettles,36-026 Bettles,Region III,"Williams, Robert ""Bert""",skipped,skipped,skipped,1,4
36026_00001_000011,Ballot 38 - Type 38,Election Day,Judicial 4,Judicial,36-026 Bettles,36-026 Bettles,Region III,"Williams, Robert ""Bert""","Cronk, Mike","Fletcher, Savannah",skipped,1,4
36026_00001_000001,Ballot 38 - Type 38,Election Day,Judicial 4,Judicial,36-026 Bettles,36-026 Bettles,Region III,"Cronk, Mike",skipped,skipped,skipped,1,4
36026_00001_000004,Ballot 38 - Type 38,Election Day,Judicial 4,Judicial,36-026 Bettles,36-026 Bettles,Region III,"Fletcher, Savannah",skipped,skipped,skipped,1,4
36082_00001_000039,Ballot 38 - Type 38,Election Day,Judicial 4,Judicial,36-082 Grayling,36-082 Grayling,Region III,"Williams, Robert ""Bert""",skipped,skipped,skipped,1,4
36082_00001_000019,Ballot 38 - Type 38,Election Day,Judicial 4,Judicial,36-082 Grayling,36-082 Grayling,Region III,"Fletcher, Savannah",skipped,skipped,skipped,1,4
36082_00001_000040,Ballot 38 - Type 38,Election Day,Judicial 4,Judicial,36-082 Grayling,36-082 Grayling,Region III,"Williams, Robert ""Bert""",skipped,skipped,skipped,1,4
36082_00001_000020,Ballot 38 - Type 38,Election Day,Judicial 4,Judicial,36-082 Grayling,36-082 Grayling,Region III,"Cronk, Mike","Fletcher, Savannah","Williams, Robert ""Bert""",skipped,1,4
36082_00001_000002,Ballot 38 - Type 38,Election Day,Judicial 4,Judicial,36-082 Grayling,36-082 Grayling,Region III,"Williams, Robert ""Bert""",skipped,skipped,skipped,1,4
36082_00001_000055,Ballot 38 - Type 38,Election Day,Judicial 4,Judicial,36-082 Grayling,36-082 Grayling,Region III,"Cronk, Mike",skipped,skipped,skipped,1,4
36082_00001_000037,Ballot 38 - Type 38,Election Day,Judicial 4,Judicial,36-082 Grayling,36-082 Grayling,Region III,"Cronk, Mike",skipped,skipped,skipped,1,4
36082_00001_000021,Ballot 38 - Type 38,Election Day,Judicial 4,Judicial,36-082 Grayling,36-082 Grayling,Region III,"Williams, Robert ""Bert""",skipped,skipped,skipped,1,4
36082_00001_000009,Ballot 38 - Type 38,Election Day,Judicial 4,Judicial,36-082 Grayling,36-082 Grayling,Region III,"Williams, Robert ""Bert""",skipped,skipped,skipped,1,4
36082_00001_000041,Ballot 38 - Type 38,Election Day,Judicial 4,Judicial,36-082 Grayling,36-082 Grayling,Region III,"Williams, Robert ""Bert""","Fletcher, Savannah","Cronk, Mike",skipped,1,4
36082_00001_000022,Ballot 38 - Type 38,Election Day,Judicial 4,Judicial,36-082 Grayling,36-082 Grayling,Region III,Write-in,skipped,skipped,skipped,1,4
36082_00001_000012,Ballot 38 - Type 38,Election Day,Judicial 4,Judicial,36-082 Grayling,36-082 Grayling,Region III,"Cronk, Mike",skipped,skipped,skipped,1,4
36082_00001_000044,Ballot 38 - Type 38,Election Day,Judicial 4,Judicial,36-082 Grayling,36-082 Grayling,Region III,"Fletcher, Savannah",skipped,skipped,skipped,1,4
36082_00001_000023,Ballot 38 - Type 38,Election Day,Judicial 4,Judicial,36-082 Grayling,36-082 Grayling,Region III,"Fletcher, Savannah","Williams, Robert ""Bert""",skipped,skipped,1,4
36082_00001_000015,Ballot 38 - Type 38,Election Day,Judicial 4,Judicial,36-082 Grayling,36-082 Grayling,Region III,"Williams, Robert ""Bert""",skipped,skipped,skipped,1,4
36082_00001_000043,Ballot 38 - Type 38,Election Day,Judicial 4,Judicial,36-082 Grayling,36-082 Grayling,Region III,"Fletcher, Savannah","Williams, Robert ""Bert""","Cronk, Mike",skipped,1,4
36082_00001_000024,Ballot 38 - Type 38,Election Day,Judicial 4,Judicial,36-082 Grayling,36-082 Grayling,Region III,"Williams, Robert ""Bert""",skipped,skipped,skipped,1,4
36082_00001_000011,Ballot 38 - Type 38,Election Day,Judicial 4,Judicial,36-082 Grayling,36-082 Grayling,Region III,"Williams, Robert ""Bert""",skipped,skipped,skipped,1,4
36082_00001_000042,Ballot 38 - Type 38,Election Day,Judicial 4,Judicial,36-082 Grayling,36-082 Grayling,Region III,"Williams, Robert ""Bert""",skipped,skipped,skipped,1,4
36082_00001_000025,Ballot 38 - Type 38,Election Day,Judicial 4,Judicial,36-082 Grayling,36-082 Grayling,Region III,"Williams, Robert ""Bert""","Fletcher, Savannah","Cronk, Mike",skipped,1,4
36082_00001_000016,Ballot 38 - Type 38,Election Day,Judicial 4,Judicial,36-082 Grayling,36-082 Grayling,Region III,"Cronk, Mike",skipped,skipped,skipped,1,4
36082_00001_000045,Ballot 38 - Type 38,Election Day,Judicial 4,Judicial,36-082 Grayling,36-082 Grayling,Region III,"Williams, Robert ""Bert""","Fletcher, Savannah",skipped,skipped,1,4
