ballotID,ballot_type,countingGroup,district,districtType,precinct,precinctPortion,votingLocation,rank1,rank2,rank3,numSeats,numCands
91400_00002_000019,Ballot 6 - Type 6,Question,Judicial 3,Judicial,District 5  - Question,District 5  - Question,Region I,"Stutes, Louise B.",skipped,skipped,1,3
91400_00002_000001,Ballot 6 - Type 6,Question,Judicial 3,Judicial,District 5  - Question,District 5  - Question,Region I,"Stutes, Louise B.","Radner, Leighton",skipped,1,3
91400_00002_000024,Ballot 6 - Type 6,Question,Judicial 3,Judicial,District 5  - Question,District 5  - Question,Region I,"Stutes, Louise B.",skipped,skipped,1,3
91400_00002_000020,Ballot 6 - Type 6,Question,Judicial 3,Judicial,District 5  - Question,District 5  - Question,Region I,"Stutes, Louise B.",skipped,skipped,1,3
91400_00002_000009,Ballot 6 - Type 6,Question,Judicial 3,Judicial,District 5  - Question,District 5  - Question,Region I,"Stutes, Louise B.",skipped,skipped,1,3
91400_00002_000021,Ballot 6 - Type 6,Question,Judicial 3,Judicial,District 5  - Question,District 5  - Question,Region I,"Stutes, Louise B.",skipped,skipped,1,3
91400_00002_000011,Ballot 6 - Type 6,Question,Judicial 3,Judicial,District 5  - Question,District 5  - Question,Region I,"Radner, Leighton",skipped,skipped,1,3
91400_00002_000022,Ballot 6 - Type 6,Question,Judicial 3,Judicial,District 5  - Question,District 5  - Question,Region I,"Stutes, Louise B.",skipped,skipped,1,3
91400_00002_000023,Ballot 6 - Type 6,Question,Judicial 3,Judicial,District 5  - Question,District 5  - Question,Region I,"Stutes, Louise B.",skipped,skipped,1,3
91400_00002_000015,Ballot 6 - Type 6,Question,Judicial 3,Judicial,District 5  - Question,District 5  - Question,Region I,"Stutes, Louise B.",skipped,skipped,1,3
91400_00002_000025,Ballot 6 - Type 6,Question,Judicial 3,Judicial,District 5  - Question,District 5  - Question,Region I,"Radner, Leighton",skipped,skipped,1,3
