ballotID,ballot_type,countingGroup,district,districtType,precinct,precinctPortion,votingLocation,rank1,rank2,numSeats,numCands
100033_00001_000001,Ballot 35 - Type 35,Election Day,Judicial 4,Judicial,33-175 North Pole,33-175 North Pole,Director,"Prax, Glenn ""Mike""",skipped,1,2
100033_00001_000002,Ballot 35 - Type 35,Election Day,Judicial 4,Judicial,33-175 North Pole,33-175 North Pole,Director,"Prax, Glenn ""Mike""",skipped,1,2
93600_00010_000105,Ballot 35 - Type 35,Early Voting,Judicial 4,Judicial,District 33 - Early Voting,District 33 - Early Voting,Region III,"Prax, Glenn ""Mike""",skipped,1,2
93600_00010_000092,Ballot 35 - Type 35,Early Voting,Judicial 4,Judicial,District 33 - Early Voting,District 33 - Early Voting,Region III,"Prax, Glenn ""Mike""",skipped,1,2
93600_00010_000091,Ballot 35 - Type 35,Early Voting,Judicial 4,Judicial,District 33 - Early Voting,District 33 - Early Voting,Region III,"Prax, Glenn ""Mike""",skipped,1,2
93600_00010_000048,Ballot 35 - Type 35,Early Voting,Judicial 4,Judicial,District 33 - Early Voting,District 33 - Early Voting,Region III,"Prax, Glenn ""Mike""",skipped,1,2
93600_00010_000047,Ballot 35 - Type 35,Early Voting,Judicial 4,Judicial,District 33 - Early Voting,District 33 - Early Voting,Region III,"Prax, Glenn ""Mike""",skipped,1,2
93600_00010_000038,Ballot 35 - Type 35,Early Voting,Judicial 4,Judicial,District 33 - Early Voting,District 33 - Early Voting,Region III,"Prax, Glenn ""Mike""",skipped,1,2
93600_00010_000019,Ballot 35 - Type 35,Early Voting,Judicial 4,Judicial,District 33 - Early Voting,District 33 - Early Voting,Region III,"Prax, Glenn ""Mike""",skipped,1,2
93600_00010_000094,Ballot 35 - Type 35,Early Voting,Judicial 4,Judicial,District 33 - Early Voting,District 33 - Early Voting,Region III,"Prax, Glenn ""Mike""",skipped,1,2
93600_00010_000093,Ballot 35 - Type 35,Early Voting,Judicial 4,Judicial,District 33 - Early Voting,District 33 - Early Voting,Region III,"Prax, Glenn ""Mike""",skipped,1,2
93600_00010_000043,Ballot 35 - Type 35,Early Voting,Judicial 4,Judicial,District 33 - Early Voting,District 33 - Early Voting,Region III,"Prax, Glenn ""Mike""",skipped,1,2
93600_00010_000042,Ballot 35 - Type 35,Early Voting,Judicial 4,Judicial,District 33 - Early Voting,District 33 - Early Voting,Region III,"Prax, Glenn ""Mike""",skipped,1,2
93600_00010_000025,Ballot 35 - Type 35,Early Voting,Judicial 4,Judicial,District 33 - Early Voting,District 33 - Early Voting,Region III,"Prax, Glenn ""Mike""",skipped,1,2
93600_00010_000020,Ballot 35 - Type 35,Early Voting,Judicial 4,Judicial,District 33 - Early Voting,District 33 - Early Voting,Region III,"Prax, Glenn ""Mike""",skipped,1,2
93600_00010_000017,Ballot 35 - Type 35,Early Voting,Judicial 4,Judicial,District 33 - Early Voting,District 33 - Early Voting,Region III,"Prax, Glenn ""Mike""",skipped,1,2
93600_00010_000098,Ballot 35 - Type 35,Early Voting,Judicial 4,Judicial,District 33 - Early Voting,District 33 - Early Voting,Region III,"Prax, Glenn ""Mike""",skipped,1,2
93600_00010_000097,Ballot 35 - Type 35,Early Voting,Judicial 4,Judicial,District 33 - Early Voting,District 33 - Early Voting,Region III,"Prax, Glenn ""Mike""",skipped,1,2
93600_00010_000058,Ballot 35 - Type 35,Early Voting,Judicial 4,Judicial,District 33 - Early Voting,District 33 - Early Voting,Region III,"Prax, Glenn ""Mike""",skipped,1,2
93600_00010_000057,Ballot 35 - Type 35,Early Voting,Judicial 4,Judicial,District 33 - Early Voting,District 33 - Early Voting,Region III,"Prax, Glenn ""Mike""",skipped,1,2
93600_00010_000039,Ballot 35 - Type 35,Early Voting,Judicial 4,Judicial,District 33 - Early Voting,District 33 - Early Voting,Region III,"Prax, Glenn ""Mike""",skipped,1,2
93600_00010_000021,Ballot 35 - Type 35,Early Voting,Judicial 4,Judicial,District 33 - Early Voting,District 33 - Early Voting,Region III,"Prax, Glenn ""Mike""",skipped,1,2
93600_00010_000004,Ballot 35 - Type 35,Early Voting,Judicial 4,Judicial,District 33 - Early Voting,District 33 - Early Voting,Region III,"Prax, Glenn ""Mike""",skipped,1,2
93600_00010_000095,Ballot 35 - Type 35,Early Voting,Judicial 4,Judicial,District 33 - Early Voting,District 33 - Early Voting,Region III,"Prax, Glenn ""Mike""",skipped,1,2
93600_00010_000046,Ballot 35 - Type 35,Early Voting,Judicial 4,Judicial,District 33 - Early Voting,District 33 - Early Voting,Region III,"Prax, Glenn ""Mike""",skipped,1,2
93600_00010_000045,Ballot 35 - Type 35,Early Voting,Judicial 4,Judicial,District 33 - Early Voting,District 33 - Early Voting,Region III,"Prax, Glenn ""Mike""",skipped,1,2
93600_00010_000027,Ballot 35 - Type 35,Early Voting,Judicial 4,Judicial,District 33 - Early Voting,District 33 - Early Voting,Region III,"Prax, Glenn ""Mike""",skipped,1,2
93600_00010_000022,Ballot 35 - Type 35,Early Voting,Judicial 4,Judicial,District 33 - Early Voting,District 33 - Early Voting,Region III,"Prax, Glenn ""Mike""",skipped,1,2
93600_00010_000066,Ballot 35 - Type 35,Early Voting,Judicial 4,Judicial,District 33 - Early Voting,District 33 - Early Voting,Region III,"Prax, Glenn ""Mike""",skipped,1,2
93600_00010_000065,Ballot 35 - Type 35,Early Voting,Judicial 4,Judicial,District 33 - Early Voting,District 33 - Early Voting,Region III,"Prax, Glenn ""Mike""",Write-in,1,2
