Precinct,Ballot Style,source_file,rank1,rank2,rank3,numSeats,numCands
AD: 26 ED: 044,REP AB2 Ballot Style 28,2021P4V1_ABS_REP_CON,Alex Amoroso,James F. Reilly,skipped,1,3
AD: 26 ED: 045,REP AB2 Ballot Style 28,2021P4V1_ABS_REP_CON,Alex Amoroso,skipped,skipped,1,3
AD: 26 ED: 046,REP AB2 Ballot Style 28,2021P4V1_ABS_REP_CON,James F. Reilly,Alex Amoroso,skipped,1,3
AD: 26 ED: 046,REP AB2 Ballot Style 28,2021P4V1_ABS_REP_CON,Alex Amoroso,skipped,skipped,1,3
AD: 26 ED: 047,REP AB2 Ballot Style 28,2021P4V1_ABS_REP_CON,James F. Reilly,Alex Amoroso,skipped,1,3
AD: 26 ED: 047,REP AB2 Ballot Style 28,2021P4V1_ABS_REP_CON,James F. Reilly,Alex Amoroso,skipped,1,3
AD: 33 ED: 002,REP AB2 Ballot Style 68,2021P4V1_ABS_REP_CON,James F. Reilly,skipped,skipped,1,3
AD: 33 ED: 002,REP AB2 Ballot Style 68,2021P4V1_ABS_REP_CON,James F. Reilly,skipped,skipped,1,3
AD: 33 ED: 005,REP AB2 Ballot Style 68,2021P4V1_ABS_REP_CON,Alex Amoroso,James F. Reilly,skipped,1,3
AD: 26 ED: 044,REP AB2 Ballot Style 28,2021P4V1_ABS_REP_CON,James F. Reilly,Alex Amoroso,skipped,1,3
AD: 25 ED: 075,REP AB2 Ballot Style 21,2021P4V1_ABS_REP_CON,James F. Reilly,skipped,skipped,1,3
AD: 25 ED: 075,REP AB2 Ballot Style 21,2021P4V1_ABS_REP_CON,James F. Reilly,skipped,skipped,1,3
AD: 25 ED: 071,REP AB2 Ballot Style 21,2021P4V1_ABS_REP_CON,James F. Reilly,Alex Amoroso,skipped,1,3
AD: 24 ED: 089,REP AB2 Ballot Style 9,2021P4V1_ABS_REP_CON,writein,skipped,skipped,1,3
AD: 25 ED: 058,REP AB2 Ballot Style 22,2021P4V1_ABS_REP_CON,James F. Reilly,skipped,skipped,1,3
AD: 25 ED: 058,REP AB2 Ballot Style 22,2021P4V1_ABS_REP_CON,James F. Reilly,skipped,skipped,1,3
AD: 25 ED: 058,REP AB2 Ballot Style 22,2021P4V1_ABS_REP_CON,James F. Reilly,skipped,skipped,1,3
AD: 26 ED: 071,REP AB2 Ballot Style 29,2021P4V1_ABS_REP_CON,James F. Reilly,skipped,skipped,1,3
AD: 26 ED: 072,REP AB2 Ballot Style 30,2021P4V1_ABS_REP_CON,James F. Reilly,Alex Amoroso,skipped,1,3
AD: 26 ED: 072,REP AB2 Ballot Style 30,2021P4V1_ABS_REP_CON,Alex Amoroso,James F. Reilly,skipped,1,3
AD: 24 ED: 091,REP ELE Ballot Style 112,2021P4V1_AFF,Alex Amoroso,skipped,skipped,1,3
AD: 25 ED: 023,REP ELE Ballot Style 184,2021P4V1_AFF,Alex Amoroso,James F. Reilly,skipped,1,3
AD: 33 ED: 015,REP ELE Ballot Style 684,2021P4V1_AFF,James F. Reilly,skipped,skipped,1,3
AD: 26 ED: 071,REP ELE Ballot Style 284,2021P4V1_AFF,James F. Reilly,skipped,skipped,1,3
AD: 33 ED: 075,,2021P4V1_ELE1,James F. Reilly,skipped,skipped,1,3
AD: 33 ED: 002,,2021P4V1_ELE1,Alex Amoroso,skipped,skipped,1,3
AD: 33 ED: 001,,2021P4V1_ELE1,Alex Amoroso,skipped,skipped,1,3
AD: 33 ED: 001,,2021P4V1_ELE1,Alex Amoroso,skipped,skipped,1,3
AD: 33 ED: 001,,2021P4V1_ELE1,James F. Reilly,Alex Amoroso,skipped,1,3
AD: 33 ED: 002,,2021P4V1_ELE1,James F. Reilly,skipped,skipped,1,3
AD: 33 ED: 075,,2021P4V1_ELE1,Alex Amoroso,skipped,skipped,1,3
AD: 33 ED: 075,,2021P4V1_ELE1,Alex Amoroso,James F. Reilly,skipped,1,3
AD: 33 ED: 006,,2021P4V1_ELE1,James F. Reilly,Alex Amoroso,skipped,1,3
AD: 33 ED: 001,,2021P4V1_ELE1,James F. Reilly,skipped,skipped,1,3
AD: 33 ED: 005,,2021P4V1_ELE1,James F. Reilly,Alex Amoroso,skipped,1,3
AD: 33 ED: 075,,2021P4V1_ELE1,James F. Reilly,Alex Amoroso,skipped,1,3
AD: 33 ED: 075,,2021P4V1_ELE1,James F. Reilly,Alex Amoroso,skipped,1,3
AD: 33 ED: 075,,2021P4V1_ELE1,James F. Reilly,skipped,skipped,1,3
AD: 33 ED: 002,,2021P4V1_ELE1,James F. Reilly,skipped,skipped,1,3
AD: 33 ED: 006,,2021P4V1_ELE1,James F. Reilly,Alex Amoroso,skipped,1,3
AD: 33 ED: 001,,2021P4V1_ELE1,James F. Reilly,Alex Amoroso,skipped,1,3
AD: 33 ED: 001,,2021P4V1_ELE1,James F. Reilly,skipped,skipped,1,3
AD: 33 ED: 075,,2021P4V1_ELE1,Alex Amoroso,skipped,skipped,1,3
AD: 33 ED: 075,,2021P4V1_ELE1,Alex Amoroso,skipped,skipped,1,3
AD: 33 ED: 075,,2021P4V1_ELE1,Alex Amoroso,skipped,skipped,1,3
